Day#,2011,2012,2013,2014,
24,0,8.97,0,0,
25,0.06,10.48,0,0,
26,0.06,13.34,0,0,
27,0.06,25.87,0,1.22,
28,0.06,28.44,0,1.22,
29,0.06,29.36,3.76,1.22,
30,0.06,29.51,17.89,1.22,
31,0.06,39.02,26.16,1.94,
32,0.06,52.64,26.16,3.82,
33,4.42,55.66,26.16,8.28,
34,4.42,56.54,26.16,8.67,
35,4.42,57.44,26.16,8.67,
36,6.38,57.51,26.16,8.67,
37,7.62,60.65,26.16,8.67,
38,9.29,64.45,26.16,8.67,
39,9.29,64.65,26.82,8.67,
40,9.29,65.01,26.82,8.67,
41,9.29,67.41,26.95,8.67,
42,9.4,67.41,34.69,8.67,
43,9.66,67.41,38.17,8.67,
44,11.82,67.67,38.84,8.67,
45,23.16,70.58,39.66,9.69,
46,23.32,71.89,43.72,9.69,
47,26.8,72.54,43.83,9.69,
48,37.41,77.05,43.83,9.69,
49,55.1,80.29,43.83,11.34,
50,60.84,80.96,47.23,13.48,
51,61.01,81.93,47.23,16.85,
52,61.29,85.25,47.23,24.94,
53,61.29,94.21,47.23,30.97,
54,61.94,106.55,49.39,39.9,
55,63.95,111.26,51.08,39.9,
56,70.88,112.28,52.15,39.9,
57,71.68,113.35,53.14,39.9,
58,76.46,120.61,60.46,39.9,
59,88.6,125.56,61.99,39.9,
60,90.03,128.5,63.37,40.4,
61,95.34,134.39,63.39,40.63,
62,95.34,136.55,63.39,40.63,
63,95.76,147.34,63.48,40.63,
64,106.26,149.14,64.82,41.04,
65,120.06,149.79,64.9,41.04,
66,123.47,150.81,65.28,41.04,
67,124.93,160.87,65.28,48.83,
68,125.86,180.6,69.5,50.41,
69,136.22,189.37,72.09,54.02,
70,144.7,189.58,78.59,64.73,
71,151.19,195.98,90.4,75.06,
72,157.54,208.25,93.27,75.06,
73,159.14,229.65,93.38,75.9,
74,161.68,249.34,95.96,88.61,
75,169.64,254.41,95.99,89.35,
76,181.13,262.12,95.99,89.35,
77,201.38,271.15,96.09,89.35,
78,214.21,282.03,98.33,92.61,
79,216.64,297.21,100.51,100.12,
80,222.83,315.96,100.56,104.57,
81,229.46,334.84,100.62,115.62,
82,229.79,357.48,102.92,117.5,
83,229.8,376.81,103.8,117.5,
84,230.41,389.73,103.8,117.5,
85,230.6,398.14,107.4,117.5,
86,231.4,404.1,111.44,118.05,
87,232.21,406.95,114.75,130.05,
88,234.69,421.6,120.13,137.94,
89,236.57,437.35,126.73,147.04,
90,236.6,443.39,132.66,151.15,
91,237.6,447.1,144.01,156.34,
92,243.22,452.61,145.44,164.22,
93,250.78,460.73,147.59,175.52,
94,269.78,471.22,150.13,180.06,
95,283.11,488.28,157.87,188.71,
96,290.18,496.57,161.45,193.83,
97,295.07,504.19,169.58,199.07,
98,296.29,514.18,188.62,215.69,
99,302.54,528.53,218.09,229.03,
100,312.08,544.61,248.43,238.76,
101,336.33,557.94,265.63,264.22,
102,355.3,565.15,272.12,283.07,
103,365.37,573.09,281.82,305.36,
104,379.15,582.18,292.59,330.9,
105,385.38,598.24,302.05,347.92,
106,393.84,625.48,318.91,349.75,
107,409.56,654.76,338.18,351.32,
108,425.36,685.31,352.25,354,
109,440.15,699.85,376.55,364.16,
110,461.91,715.3,389.52,370.62,
111,479.83,730.03,394.32,381.62,
112,483.9,753.72,398.32,398.98,
113,497.72,765.5,403.05,412.85,
114,528.21,772.92,415.92,422.87,
115,558.23,781.21,430.21,432.09,
116,587.9,792.18,443.96,448.39,
117,616.04,803.21,456.31,459.23,
118,644.88,815.34,469.27,468.51,
119,665.71,821.67,482.42,475.21,
120,679.16,833.07,498.04,485.35,
121,692.65,842.93,509.27,510.01,
122,711,865.62,519.12,529.52,
123,737.02,877.2,531.98,545.95,
124,751.43,892.39,543.67,560.92,
125,763.9,917.46,551.52,577.21,
126,779.28,936.98,563.43,591.06,
127,797.55,952.76,579.29,602.56,
128,814.8,965.84,601.58,618.73,
129,834.38,988.24,617.72,636.09,
130,851.66,1011.52,660.91,664.15,
131,866.99,1030.27,660.91,691.58,
132,884.55,1047.25,660.91,719.85,
133,901.03,1068.41,672.51,740.15,
134,919.21,1092.99,681.62,755.57,
135,944.73,1118.87,694.46,780.91,
136,970.68,1144.04,727.02,804.95,
137,992.96,1174.64,751.43,824.05,
138,1016.22,1197.29,768.83,838.8,
