Day#,2011,2012,2013,2014,
240,0,2,0,0,
241,0,6,0,0,
242,0,10,0,0,
243,1,13,0,1,
244,1,18,0,2,
245,1,20,0,3,
246,1,23,0,3,
247,1,27,4,3,
248,1,30,4,4,
249,3,33,4,4,
250,3,39,4,10,
251,3,40,4,10,
252,3,43,4,10,
253,4,45,4,10,
254,4,50,4,10,
255,4,53,5,10,
256,4,56,6,11,
257,4,61,6,11,
258,4,65,6,18,
259,5,68,6,18,
260,5,68,14,20,
261,5,68,14,30,
262,5,68,14,46,
263,5,69,14,63,
264,7,69,14,63,
265,7,69,14,63,
266,7,69,14,68,
267,7,69,24,76,
268,7,69,33,82,
269,7,69,33,84,
270,7,69,33,84,
271,7,70,33,84,
272,7,70,33,86,
273,7,70,33,88,
274,8,70,35,94,
275,8,71,35,94,
276,8,77,35,95,
277,9,85,35,95,
278,9,85,35,97,
279,14,91,35,98,
280,14,101,41,101,
281,16,110,50,101,
282,16,112,50,102,
283,24,112,51,103,
284,24,112,61,103,
285,24,112,73,104,
286,27,112,87,104,
287,36,112,95,104,
288,38,112,95,108,
289,41,112,98,108,
290,51,112,110,108,
291,58,117,120,109,
292,60,117,120,122,
293,73,117,124,129,
294,79,118,125,141,
295,91,130,130,152,
296,101,140,139,166,
297,102,150,139,182,
298,102,153,139,197,
299,102,161,139,212,
300,102,163,140,223,
301,102,180,140,237,
302,107,204,140,250,
303,119,222,140,260,
304,127,237,140,261,
305,145,242,144,262,
306,162,257,157,264,
307,178,271,165,274,
308,179,285,180,295,
309,187,302,198,308,
310,203,318,222,316,
311,221,333,246,321,
312,240,346,270,337,
313,250,356,291,353,
314,256,357,308,357,
315,272,375,322,367,
316,288,390,326,383,
317,302,399,332,407,
318,317,399,345,425,
319,323,399,365,441,
320,323,399,389,457,
321,323,414,409,457,
322,328,435,426,457,
323,345,450,436,469,
324,360,452,442,491,
325,375,452,455,507,
326,385,452,471,513,
327,390,454,488,529,
328,403,471,504,553,
329,426,485,526,577,
330,430,500,550,598,
331,454,509,568,611,
332,475,509,592,635,
333,492,509,616,659,
334,498,518,636,683,
335,505,536,654,702,
336,529,551,667,722,
337,553,570,679,739,
338,577,586,682,749,
339,601,596,687,749,
340,625,596,690,758,
341,649,596,714,782,
342,673,617,729,806,
343,697,633,729,830,
344,721,657,730,854,
345,744,681,730,877,
346,746,703,741,901,
347,767,722,765,925,
348,791,740,785,948,
