"","BrixYear","BrixMonth","BrixSept","BrixOct"
"Ben Lear",8.80924381779003,8.79484010450904,8.56062892341001,9.17428192429384
"CNJ02_1_1",8.39072664047229,8.40074950085952,8.46312213500097,8.65509081036283
"CNJ02_1_10",8.98262205370156,9.01893738175868,8.78548587335162,9.20916345434729
"CNJ02_1_100",8.9540363701886,8.95537993547409,8.75313276651262,9.1294927151204
"CNJ02_1_101",8.89470625117903,8.91055870486138,8.65934390950059,9.23503369303156
"CNJ02_1_102",8.51645447981202,8.52183669903446,8.61285430633531,8.52887840914243
"CNJ02_1_103",8.92205955711099,8.94845859795147,8.76409601024807,8.97744924013796
"CNJ02_1_104",8.93183302896247,8.96216285485865,8.81829830748354,8.87864442623768
"CNJ02_1_105",8.77240153986375,8.77326434325683,8.67332972481634,8.93420206728496
"CNJ02_1_106",8.71789621684929,8.69784754676951,8.67153517191496,8.8492131357229
"CNJ02_1_107",8.77497392433849,8.73997139445463,8.66462945052822,8.9180542817475
"CNJ02_1_108",8.5691515097396,8.5197579120721,8.56119072998172,8.69806549587581
"CNJ02_1_109",8.68370284759779,8.67633448992151,8.6867404043153,8.66177377839097
"CNJ02_1_11",8.35002552552302,8.4042096258922,8.47612856930598,8.56344264593452
"CNJ02_1_110",8.69605597301534,8.70655023143739,8.71352113932837,8.74298465505395
"CNJ02_1_111",9.11178852776062,9.14593844627061,8.76142846722823,9.45842310596374
"CNJ02_1_112",8.99397013009611,9.00665652779174,8.67968458336564,9.32780963925328
"CNJ02_1_113",8.65486805663959,8.65104748222375,8.62331846915217,8.73990531324896
"CNJ02_1_114",9.1717417819077,9.1691973269073,8.85299413817026,9.33670214307671
"CNJ02_1_115",8.70600768744792,8.72884546061305,8.68788328943539,8.7458960748204
"CNJ02_1_116",8.58333608428721,8.57507687850929,8.48750551169227,8.94008388425587
"CNJ02_1_117",8.4717238082096,8.48599268780598,8.60018015320706,8.46340947283598
"CNJ02_1_118",8.32600429849389,8.38980314529933,8.44347167025729,8.74110826550029
"CNJ02_1_119",8.8421667702067,8.85378456382087,8.66152738183749,9.05026216172177
"CNJ02_1_12",8.93479327751512,8.93498213798003,8.79716601255729,8.85778465530365
"CNJ02_1_120",8.65793897581413,8.66585734335193,8.66600508487934,8.73873081080494
"CNJ02_1_121",8.8499827453637,8.84929661333869,8.68602926737301,8.91044546676797
"CNJ02_1_122",8.82811712246403,8.84690040639359,8.54134403871539,9.27100959160664
"CNJ02_1_123",8.74113805208047,8.74570594577456,8.7095228528658,8.80994447770837
"CNJ02_1_124",8.85879231881319,8.88269886274258,8.79295079175112,8.82582756179575
"CNJ02_1_125",9.15926368446299,9.16893637248098,8.76423451926376,9.37888349038312
"CNJ02_1_126",9.16479930030105,9.15484664553982,8.82669316134982,9.23287582365332
"CNJ02_1_127",8.71015778688102,8.70216881690158,8.64464653583786,8.86739591845457
"CNJ02_1_128",8.85289144898224,8.88136434625547,8.63380813570437,9.17713600233916
"CNJ02_1_129",9.15443775276175,9.1498306519094,8.84494492414801,9.29867877948592
"CNJ02_1_13",9.12540266661578,9.09647464694827,8.78924520883543,9.31596493083536
"CNJ02_1_130",9.23604793560095,9.21844619841614,8.86794263931015,9.36306594142341
"CNJ02_1_131",8.88386201252578,8.91242758865658,8.71949491548452,9.07883853091863
"CNJ02_1_132",8.52587691822759,8.56505422166446,8.62316280926537,8.61568625835842
"CNJ02_1_133",8.82656765848656,8.84441071871068,8.7220148660725,8.95046682414381
"CNJ02_1_134",9.01569381368851,9.00034402319932,8.59755868475769,9.53317296073383
"CNJ02_1_135",9.30939968440172,9.27064974740379,8.77801259054502,9.6848702140439
"CNJ02_1_136",8.7713800044299,8.83022051967467,8.69359900950294,8.92179857690125
