Row,Col,Plant,Year,Month,TY,SFY,MFW,PFR,Tacy,Brix,TA,PAC
7,41,Stevens,y2011,September,569.6,507.1,3.2,11,12,8.1,2.46,NA
7,42,Ben Lear,y2011,September,581.8,479.9,2.1,17.5,30,8.1,2.33,NA
7,43,Crimson Queen,y2011,September,595.9,457.1,2.4,23.1,22,8.8,2.42,NA
7,45,Mullica Queen,y2011,September,643.3,580.5,2.6,9.4,16,8.8,2.36,NA
7,46,CNJ02_1_1,y2011,September,507.4,268.6,2.3,46.6,19,7.9,2.28,2.07
7,47,CNJ02_1_2,y2011,September,723.6,651.9,2.4,9.6,33,7.9,2.59,1.27
7,48,CNJ02_1_3,y2011,September,667.8,406.6,2.2,38.2,28,8.4,2.48,1.35
7,49,CNJ02_1_4,y2011,September,561.5,495.3,2.3,11.7,17,7.7,2.25,1.44
7,50,CNJ02_1_5,y2011,September,540.6,485.2,2.4,9.5,22,7.3,2.62,1.13
7,51,CNJ02_1_6,y2011,September,667,391.9,2,40.9,13,8.1,2.28,1.72
7,52,CNJ02_1_7,y2011,September,497.2,400.5,2.5,19.4,33,7.5,2.54,1.12
7,53,CNJ02_1_8,y2011,September,630.6,529.4,2,15.8,26,7.9,2.38,1.41
7,54,CNJ02_1_9,y2011,September,695.4,601.5,2.6,13.5,27,7.7,2.37,1.63
8,1,CNJ02_1_10,y2011,September,128.8,76.2,1.5,40.1,32,8.8,2.18,2.24
8,2,CNJ02_1_11,y2011,September,307.7,115.7,1.9,61.9,16,9,2.24,1.38
8,3,CNJ02_1_12,y2011,September,286.1,256.3,1.9,10.4,25,8.1,2.26,1.6
8,4,CNJ02_1_13,y2011,September,216.4,123.5,1.9,42.8,22,9.7,2.15,2.2
8,5,CNJ02_1_14,y2011,September,115.4,85.5,1.9,25.9,30,8.1,2.67,2.03
8,6,CNJ02_1_15,y2011,September,387.1,336.5,1.9,12.6,7,8.8,2.21,1.39
8,7,CNJ02_1_16,y2011,September,369.6,342,2.3,7.3,12,8.1,2.53,1.3
8,8,CNJ02_1_17,y2011,September,209.8,165,2.9,20.6,27,8.4,2.31,1.48
8,9,CNJ02_1_18,y2011,September,529.1,499.8,2.2,5.5,16,8.6,2.18,1.53
8,10,CNJ02_1_19,y2011,September,362.6,318,1.7,12.2,27,9,2.12,1.82
8,11,CNJ02_1_20,y2011,September,409.9,337.9,1.9,17.5,9,7.5,2.52,1.98
8,12,CNJ02_1_21,y2011,September,430.1,348.7,1.9,18.9,20,8.1,2.46,1.8
8,13,CNJ02_1_22,y2011,September,261,150.4,2,42.1,20,8.8,2.14,1.09
8,14,CNJ02_1_23,y2011,September,526,333.9,2.7,36.3,16,8.4,2.41,1.95
8,15,CNJ02_1_24,y2011,September,505.6,434,2.1,14,17,8.4,2.19,1.39
8,16,CNJ02_1_25,y2011,September,232.7,137.7,2.6,40.8,17,9,2.35,2.25
8,17,CNJ02_1_26,y2011,September,843.1,543.8,2.1,35.1,24,8.1,2.18,1.32
8,18,CNJ02_1_27,y2011,September,549.9,505.6,3,8,27,7.9,2.48,1.08
8,19,CNJ02_1_28,y2011,September,317.1,234.8,2.1,25.9,18,8.6,2.72,2.06
8,20,CNJ02_1_29,y2011,September,633.5,531.8,2.3,16,10,7.7,2.14,0.83
8,21,CNJ02_1_30,y2011,September,313.3,266.4,2.3,15,15,9.2,2.53,1.52
8,22,CNJ02_1_31,y2011,September,517.4,333.9,2.6,35.4,13,8.4,2.32,1.44
8,23,CNJ02_1_32,y2011,September,484.3,374.6,2.1,22.5,19,7.9,1.95,1.34
8,24,CNJ02_1_33,y2011,September,634.1,388.6,2.4,38.7,32,8.1,2.21,1.51
8,25,CNJ02_1_34,y2011,September,588.5,540.7,2.1,8.1,21,8.4,2.14,2.23
8,26,CNJ02_1_35,y2011,September,132.7,76,2.6,42.7,25,7.9,2.37,1.81
8,27,CNJ02_1_36,y2011,September,244.2,227,2.4,6.9,30,9.5,2.4,1.24
8,28,CNJ02_1_37,y2011,September,481.6,296,2.2,38.5,23,9.2,2.79,1.34
8,29,CNJ02_1_38,y2011,September,555.2,440.6,3.1,20.4,19,8.4,2.28,1.79
8,30,CNJ02_1_39,y2011,September,760.9,594,2.6,21.9,13,8.1,2.76,1.01
8,31,CNJ02_1_40,y2011,September,358.3,302.6,2.3,15.5,14,8.6,2.48,2.24
8,32,CNJ02_1_41,y2011,September,539.8,405.1,2.1,24.7,22,7.9,2.16,1.08
8,33,CNJ02_1_42,y2011,September,403,381.7,1.9,5.3,13,8.4,2.3,1.28
8,34,CNJ02_1_43,y2011,September,569.9,520.5,2,8.2,20,8.1,2.52,1.71
8,35,CNJ02_1_44,y2011,September,491.9,323,2.3,34.3,26,9.2,2.3,1.25
8,36,CNJ02_1_45,y2011,September,500.4,408.2,2.2,18.4,16,8.4,2.16,1.53
8,37,CNJ02_1_46,y2011,September,526.4,374.8,2,28.8,28,8.1,2.33,1.5
8,38,CNJ02_1_47,y2011,September,597.7,461.1,2,22.8,27,7.9,2.42,1.17
8,39,CNJ02_1_48,y2011,September,711,651.5,2.8,8.3,17,7.9,2.82,1.25
8,40,CNJ02_1_49,y2011,September,502.5,424.2,2.1,15.5,22,8.4,2.2,1.65
8,41,CNJ02_1_50,y2011,September,653.9,560.9,2.8,14,16,7.3,2.69,1.11
