"","TAYear","TAMonth","TASept","TAOct"
"Ben Lear",2.49452800949773,2.46075314547689,2.43375213167659,2.52586034179554
"CNJ02_1_1",2.53272440520521,2.51872330044972,2.51795274507915,2.48990364854484
"CNJ02_1_10",2.48023904987211,2.48501002268707,2.46912284066804,2.52281778838187
"CNJ02_1_100",2.44819661472373,2.44582329202373,2.42438864404441,2.51892134205667
"CNJ02_1_101",2.51282136953761,2.52321331600841,2.4883921227448,2.5241515117759
"CNJ02_1_102",2.5453844121812,2.52561192129382,2.47411738903654,2.57206839549516
"CNJ02_1_103",2.45894061060443,2.45561979947866,2.43690120587799,2.50989754023535
"CNJ02_1_104",2.67310242479962,2.6458233854156,2.58289320269918,2.63957693189198
"CNJ02_1_105",2.50802784014892,2.51006765809598,2.45027366688754,2.56755443222412
"CNJ02_1_106",2.61218501810746,2.59184591116233,2.57994872027385,2.52582476749319
"CNJ02_1_107",2.58658778530724,2.575627674576,2.5203621935536,2.57311963930843
"CNJ02_1_108",2.5127446525762,2.48996989055832,2.47636141695381,2.52255892087433
"CNJ02_1_109",2.52290121515067,2.51335295212327,2.48635459324427,2.53710333772461
"CNJ02_1_11",2.42223632885603,2.43057647005325,2.4582433637535,2.42376241390051
"CNJ02_1_110",2.51022631530246,2.46890521482128,2.48577659473916,2.47831353171954
"CNJ02_1_111",2.61498618768723,2.58798869073693,2.49454742212027,2.6402899885247
"CNJ02_1_112",2.45202069754969,2.44783641233473,2.4265231856662,2.52330414997626
"CNJ02_1_113",2.35945068494976,2.36154449990857,2.44716720799957,2.33369836575643
"CNJ02_1_114",2.6474171935533,2.63361650438573,2.56748574491008,2.61472717108933
"CNJ02_1_115",2.43838564415827,2.43400698037807,2.44732444194357,2.45049253363889
"CNJ02_1_116",2.5937072137542,2.59429126935023,2.54368230598059,2.57706354526647
"CNJ02_1_117",2.4859007970131,2.46968635468936,2.46315733069916,2.5133456061838
"CNJ02_1_118",2.56453359202279,2.53830303179355,2.51747651307184,2.50653156898776
"CNJ02_1_119",2.41974930797757,2.38322219380049,2.41364890574262,2.45996560624078
"CNJ02_1_12",2.44516349849191,2.43564366090639,2.45604832000435,2.47438556946017
"CNJ02_1_120",2.54597071956031,2.53930875925233,2.56713221714477,2.44118138085802
"CNJ02_1_121",2.57549007028966,2.5884482049808,2.50829537450456,2.61210086288495
"CNJ02_1_122",2.38627127159618,2.40056103884448,2.40196824476358,2.45784482284014
"CNJ02_1_123",2.24096575110251,2.25791099492294,2.33609098114148,2.35284491776159
"CNJ02_1_124",2.27809713377665,2.28415504627063,2.37910652254647,2.35456873242948
"CNJ02_1_125",2.54399829734436,2.50519736783591,2.50342097530435,2.50352258512986
"CNJ02_1_126",2.36895841147011,2.38002568038399,2.41274161853558,2.41913846955083
"CNJ02_1_127",2.39310483034372,2.42113362720221,2.47699432266863,2.39979997549614
"CNJ02_1_128",2.4753318086391,2.48328739380862,2.48381118952173,2.48839554748313
"CNJ02_1_129",2.26129598617325,2.27512035523788,2.35548254374934,2.33420853360794
"CNJ02_1_13",2.60938881391718,2.59565389177082,2.53262470772989,2.59905135644821
"CNJ02_1_130",2.24634828998357,2.28027727229331,2.33720844091506,2.3496197373369
"CNJ02_1_131",2.46869496052204,2.45712067423878,2.48172407458529,2.45109308559253
"CNJ02_1_132",2.47434412236883,2.47013418628958,2.4619883063187,2.50615707879783
"CNJ02_1_133",2.45367457382074,2.47962519794131,2.51358123193228,2.41873104541327
"CNJ02_1_134",2.54743791838736,2.52807001300026,2.48942343627636,2.56002076736336
"CNJ02_1_135",2.38029074919666,2.37522037422406,2.41463210752582,2.41920567480051
"CNJ02_1_136",2.41659542243668,2.41169180737304,2.47953807660265,2.40639902600824
"CNJ02_1_137",2.54609234343084,2.53770783184021,2.50739156197754,2.54593555740795
"CNJ02_1_138",2.48476787572356,2.49478585196115,2.49122714198586,2.49417714770039
"CNJ02_1_139",2.51712467041697,2.51261174085795,2.49231612246425,2.51871844416777
"CNJ02_1_14",2.60741543796693,2.61404538722778,2.59830887860199,2.54092173234545
"CNJ02_1_140",2.39843646406921,2.40598674262511,2.42572330329177,2.45829647404976
"CNJ02_1_141",2.44386739544724,2.44082396660063,2.46393927419364,2.46120824350481
"CNJ02_1_142",2.37394057947513,2.38841461457178,2.45618348953797,2.38000597547881
"CNJ02_1_143",2.47538926955096,2.48246872671477,2.42016662176021,2.56973009600013
"CNJ02_1_144",2.42842542376948,2.42999608431563,2.43492809573873,2.48755546422259
"CNJ02_1_145",2.53681724897596,2.51708192973105,2.52840916887202,2.50355623283582
"CNJ02_1_146",2.43688937310661,2.44465763692723,2.45481993002089,2.44693767902606
"CNJ02_1_147",2.37977514342379,2.38079228059601,2.44864925435194,2.3886975596409
"CNJ02_1_148",2.48556020698025,2.48860848959196,2.45255726955744,2.53040258195402
"CNJ02_1_149",2.32756162972864,2.33698047555821,2.43366658737791,2.31209151403862
"CNJ02_1_15",2.44398251316663,2.45245511686858,2.52692249273846,2.36880887865091
"CNJ02_1_150",2.56121344952993,2.56973062103994,2.46327927761935,2.62388771997116
"CNJ02_1_151",2.3739806599589,2.37079413390897,2.41903486943139,2.39602052641987
"CNJ02_1_152",2.42515734146421,2.42774137129667,2.44401417684311,2.44846981178185
"CNJ02_1_153",2.51084478076451,2.5111395713093,2.47083329219252,2.54641212439424
"CNJ02_1_154",2.33028965476438,2.34364543774206,2.42860106934044,2.34381648270793
"CNJ02_1_155",2.47188199615614,2.47503533101235,2.40940452284465,2.55577973144145
"CNJ02_1_156",2.37763553994956,2.36769712763709,2.43954448851057,2.37913351352091
"CNJ02_1_157",2.54966850513608,2.5335122430678,2.53171578157964,2.52422127977313
"CNJ02_1_16",2.54378956481582,2.5566135445767,2.52969942720098,2.54476624952163
"CNJ02_1_17",2.53761623629847,2.54824338980885,2.56450970477727,2.50075123003796
"CNJ02_1_18",2.43268898621056,2.42245582217682,2.490783752214,2.40557587883395
"CNJ02_1_19",2.22980848404265,2.24635812664509,2.32399398374795,2.32167760886521
"CNJ02_1_2",2.58180257907369,2.53848965752569,2.53098278945468,2.54749306854936
"CNJ02_1_20",2.68865693456081,2.69987291747518,2.63641357239927,2.60557479287405
"CNJ02_1_21",2.46550861858455,2.47391782833144,2.494382409172,2.45360763636462
"CNJ02_1_22",2.4000485456937,2.40500111683112,2.40733328404198,2.48792290414761
"CNJ02_1_23",2.39246824204493,2.41098726723276,2.42503817144617,2.44472865745592
"CNJ02_1_24",2.47851815057659,2.46280909154188,2.48321517317599,2.45573290194472
"CNJ02_1_25",2.58362711172564,2.56916130250159,2.5317567279035,2.59115170320866
"CNJ02_1_26",2.47700465020028,2.49889613161953,2.50602027513781,2.44058467731324
"CNJ02_1_27",2.52987896616486,2.51607029392275,2.53214118677729,2.48103739227825
"CNJ02_1_28",2.52763860001484,2.51369341734579,2.47430949646942,2.5739481363423
"CNJ02_1_29",2.38510985673568,2.37772546247048,2.41594177813221,2.42627324675932
"CNJ02_1_3",2.62849307401223,2.5951515620529,2.64740992372096,2.42281495785241
"CNJ02_1_30",2.65046373776039,2.63580749323378,2.60061086543482,2.57695371514006
"CNJ02_1_31",2.47248888815538,2.4810690612988,2.46365725212587,2.52202939652462
"CNJ02_1_32",2.47046451765788,2.46712541096088,2.44018284333691,2.51505783793611
"CNJ02_1_33",2.52245423850784,2.51611577506705,2.45723279927906,2.58509104814805
"CNJ02_1_34",2.47456486436769,2.46513382189738,2.45613128361133,2.49679526544869
"CNJ02_1_35",2.4734003787774,2.47891037400376,2.50718391512002,2.45363334161032
"CNJ02_1_36",2.44469180063051,2.44540266829242,2.45092330645862,2.47143792012994
"CNJ02_1_37",2.53470178648774,2.52909626268169,2.55559636491615,2.47604013583151
"CNJ02_1_38",2.45454803226914,2.43597213571602,2.42365399018779,2.50929926487327
"CNJ02_1_39",2.58792092019524,2.58580269458747,2.52794751899574,2.57677481082855
"CNJ02_1_4",2.67549827129059,2.65733776649708,2.60956001590569,2.60242114895181
"CNJ02_1_40",2.66955925003287,2.6466002912267,2.52644539033805,2.70421757355166
"CNJ02_1_41",2.45977433308707,2.4599225964699,2.4106561947975,2.52767339541354
"CNJ02_1_42",2.45906958658386,2.46020553931582,2.45627059745887,2.48292264999566
"CNJ02_1_43",2.71961238915947,2.72385587786027,2.54804004135726,2.75974058923489
"CNJ02_1_44",2.4145013189339,2.40638519467891,2.41398375506536,2.46566620510384
"CNJ02_1_45",2.46936169670967,2.46829252335086,2.45011796269836,2.51655696267613
"CNJ02_1_46",2.59065819995769,2.57981403839248,2.49761371509117,2.62743155824313
"CNJ02_1_47",2.67164550915983,2.65589628271843,2.5732724702514,2.6491453307668
"CNJ02_1_48",2.71132225373567,2.69365833978736,2.62219066536152,2.62926226285695
"CNJ02_1_49",2.42021489259873,2.40561647658595,2.41494150976924,2.47304107945925
"CNJ02_1_5",2.47610106684748,2.46527411076543,2.49117549588021,2.46081266409874
"CNJ02_1_50",2.60167162239988,2.58773862747837,2.57673025891114,2.52897004177991
"CNJ02_1_51",2.48078768583,2.47481815403171,2.48328869524465,2.47802440436184
"CNJ02_1_52",2.65016677062113,2.63333420125832,2.59986080745461,2.58268411988343
"CNJ02_1_53",2.47996537142537,2.45405091302912,2.46265802751571,2.49513857198669
"CNJ02_1_54",2.68605578396147,2.66690804479719,2.60329293584566,2.60700531256081
"CNJ02_1_55",2.53767392012209,2.51538926248736,2.48823693851357,2.52951795891305
"CNJ02_1_56",2.69353711110044,2.66044272722423,2.56451825022136,2.64209970115213
"CNJ02_1_57",2.68238252426133,2.67877042409484,2.60131976026288,2.6267793840723
"CNJ02_1_58",2.52288450279398,2.50838422159041,2.53715250602447,2.45725774775424
"CNJ02_1_59",2.50477224712369,2.51357897175289,2.4855116431946,2.5294462989832
"CNJ02_1_6",2.48042296262603,2.46506008033956,2.47980475734732,2.46724128235083
"CNJ02_1_60",2.68818940006226,2.66936661032021,2.5780218731056,2.64962511007322
"CNJ02_1_61",2.46278765179417,2.45820131209163,2.50645685504425,2.42907360000275
"CNJ02_1_62",2.51464182639561,2.52028769815626,2.52898024854037,2.459896979483
"CNJ02_1_63",2.56377360367997,2.55297784256675,2.48235404580672,2.6089549644239
"CNJ02_1_64",2.28614733055667,2.294909001449,2.38644326573725,2.33415442409681
"CNJ02_1_65",2.17725396132227,2.20290238933468,2.26492038675433,2.3318194984879
"CNJ02_1_66",2.49542369338068,2.51082962436712,2.53515599165532,2.47597091663304
"CNJ02_1_67",2.39557937561733,2.40550797475334,2.42290100105588,2.45999863487957
"CNJ02_1_68",2.41270084949142,2.41153255746486,2.468591676684,2.38446559859474
"CNJ02_1_69",2.45179376975972,2.46116297455868,2.5023520038123,2.43631754381126
"CNJ02_1_7",2.6164309638969,2.6060130104442,2.59555958223786,2.51582094613976
"CNJ02_1_70",2.46677673539102,2.47014550990722,2.45578514006679,2.49597796057888
"CNJ02_1_71",2.49663250441558,2.50179415040589,2.53627564358365,2.4418748915809
"CNJ02_1_72",2.59129672138654,2.59536808816455,2.52830289868071,2.59943093208182
"CNJ02_1_73",2.48100424425644,2.48820668028906,2.441470043712,2.54223519783613
"CNJ02_1_74",2.43345228005105,2.44204130656736,2.42420601498024,2.51673986725619
"CNJ02_1_75",2.43656500269051,2.44564814643386,2.45619041854373,2.46497003141207
"CNJ02_1_76",2.46511283704624,2.47846231932356,2.44344486401227,2.52299916604005
"CNJ02_1_77",2.49882232839454,2.50692779965733,2.52926441539223,2.46125329477589
"CNJ02_1_78",2.5737324657645,2.56877519677977,2.53962533260705,2.54711897980612
"CNJ02_1_79",2.38801377452865,2.37810739441371,2.39147006282171,2.44664769825837
"CNJ02_1_8",2.5531865547792,2.55813944868304,2.53458217343076,2.52900263649697
"CNJ02_1_80",2.38746811083359,2.39473078984515,2.43385739700202,2.42857073140139
"CNJ02_1_81",2.66716808790287,2.64565400037014,2.61610416591228,2.56074460505597
"CNJ02_1_82",2.58287825731051,2.5732164398539,2.50651382017905,2.57675045216093
"CNJ02_1_83",2.63118923448657,2.62581345417048,2.51011513842676,2.67359744844397
"CNJ02_1_84",2.51942835898185,2.51950742242125,2.43970112618182,2.57949417008757
"CNJ02_1_85",2.37158148025824,2.3725758770286,2.37445356449179,2.46571087070578
"CNJ02_1_86",2.58823807491563,2.58250856969907,2.52985335248748,2.57787333333841
"CNJ02_1_87",2.56048778077325,2.55845667985147,2.54215368205191,2.53317631954304
"CNJ02_1_88",2.50753346448117,2.5090271007118,2.48572244609338,2.52332607471917
"CNJ02_1_89",2.45016125677421,2.46040050840664,2.48618181039945,2.44610435896762
"CNJ02_1_9",2.64429973664265,2.62396554108849,2.62869432725954,2.52769171454873
"CNJ02_1_90",2.48059880638453,2.48371036338155,2.55572428022518,2.38898518167524
"CNJ02_1_91",2.49312423976082,2.49815441125988,2.49398829161469,2.50528341914321
"CNJ02_1_92",2.6137645001091,2.60923267669531,2.56752744792188,2.56844996851818
"CNJ02_1_93",2.35107535459566,2.36739531583745,2.39579892425104,2.42422737725673
