"","TacyYear","TacyMonth","TacySept","TacyOct"
"Ben Lear",39.228999855303,33.925959964685,32.9653695434896,32.3336386433644
"CNJ02_1_1",30.0799526926045,28.3694059668958,27.6033677533817,31.3992993244345
"CNJ02_1_10",36.1655707604097,37.110581442666,34.6343171401767,34.2429705707171
"CNJ02_1_100",45.9529430836606,44.5212360113833,33.1649062634549,51.8997079497203
"CNJ02_1_101",32.1528779303455,30.0898128247969,21.9787808088577,39.3792037483909
"CNJ02_1_102",26.1771138823234,22.993146359186,20.113079733881,28.8016953225951
"CNJ02_1_103",24.1583390199146,20.6232846538358,18.5557564810134,26.7700521112093
"CNJ02_1_104",27.508419706939,22.0053262558462,19.5702668401407,29.1993213653431
"CNJ02_1_105",33.21151566451,28.6144444213085,25.610592632188,33.4764114262543
"CNJ02_1_106",30.9778652213559,30.4382029307947,25.3583846343227,36.5259743414888
"CNJ02_1_107",37.9454330698851,37.8835412198368,28.6235450200226,43.1030164639406
"CNJ02_1_108",33.3344437204465,32.368380982492,22.7398304297055,41.2791362816188
"CNJ02_1_109",32.814661183811,31.0767505456733,28.6912586767386,33.797681442816
"CNJ02_1_11",28.6856476501569,27.1319671272815,25.9653662211509,29.9589170060039
"CNJ02_1_110",35.013902619535,35.7526578344412,30.8879339711496,39.2403846277033
"CNJ02_1_111",44.0311107453786,40.779766914025,31.6678859511402,47.3817869219575
"CNJ02_1_112",22.2469480323473,25.0744580293027,20.2689546263888,30.2654119713156
"CNJ02_1_113",23.6779269387713,21.9925284607966,18.4566348498524,27.4288073477961
"CNJ02_1_114",34.0845790955872,29.8435639589658,26.2429197142937,34.8647423585384
"CNJ02_1_115",24.6095076401685,23.5863377878464,21.7050472553589,27.2755959850157
"CNJ02_1_116",37.3636906385938,30.9941629233168,25.8912116317541,40.3987183119186
"CNJ02_1_117",19.2270193084912,19.4828490046239,15.6797820370721,23.9276020986628
"CNJ02_1_118",25.6913399680204,24.9806179727623,20.5070348498708,31.4666981029147
"CNJ02_1_119",37.8432095229376,37.6251370732883,31.3097586305292,39.684151068905
"CNJ02_1_12",28.1744601677635,28.3170831370126,27.9173025546856,27.7196080847383
"CNJ02_1_120",27.5157723295566,27.3136819138572,24.9244100755935,30.6648854415061
"CNJ02_1_121",27.9095343029633,24.9085276937849,21.580764757743,31.4984048897699
"CNJ02_1_122",23.2066566028682,20.8698172684311,15.9423996352428,27.7427807985281
"CNJ02_1_123",27.4917539444221,26.4903173552924,25.5142082586423,29.5824358659995
"CNJ02_1_124",32.5987148765627,28.4367703333012,27.0877155007058,33.510839165445
"CNJ02_1_125",24.4925782843231,26.6458807973254,22.6583223338944,29.9705689074384
"CNJ02_1_126",43.6782264437859,40.7835054511965,35.9882532956699,42.9661871841756
"CNJ02_1_127",24.7314048615127,24.4093376498023,22.0360130777894,30.6804665188626
"CNJ02_1_128",26.7472337330378,25.4414634237147,20.4457831733151,31.4481175938157
"CNJ02_1_129",28.2668918441127,29.0704847428976,24.5939163101122,30.9226375534528
"CNJ02_1_13",27.3090680516022,28.533070245366,27.8850284189143,31.4212931211879
"CNJ02_1_130",26.8818373816455,25.9908910034986,21.4349992137325,32.683811103305
"CNJ02_1_131",39.1881837413601,37.0658110809784,27.4024762659836,45.8012021743939
"CNJ02_1_132",23.4036948866392,19.7456276964112,19.830392047099,25.915283158901
"CNJ02_1_133",31.4523298740288,27.3698259363775,20.0796092368052,37.5101790900805
"CNJ02_1_134",24.2572912598967,21.8034924785535,15.4982942661548,29.8583825492159
"CNJ02_1_135",33.077611916445,29.183109775192,24.333364737392,36.8898103753419
