"year","accession_name","accession","row","column","berry_length","berry_width","berry_weight","num_seeds","num_peds","num_berries","total_berry_weight"
2011,"CNJ02_1_1","R7C46","7","46",24.037,18.051,2.785,19.8,5,2.6,6.278
2011,"CNJ02_1_10","R8C1","8","1",22.163,18.494,2.493,19.5,3.2,2.3,4.923
2011,"CNJ02_1_100","R9C37","9","37",22.0727272727273,19.3181818181818,2.83,23,4.72727272727273,2.18181818181818,5.75090909090909
2011,"CNJ02_1_101","R9C38","9","38",22.65,19.57,3.149,26,4.7,2.1,5.981
2011,"CNJ02_1_102","R9C39","9","39",23.693,19.392,3.109,26.3,4,2,5.744
2011,"CNJ02_1_103","R9C40","9","40",23.061,18.334,2.723,27.6,3.5,1.7,4.221
2011,"CNJ02_1_104","R9C41","9","41",24.5027272727273,18.4054545454545,3.04090909090909,20.7272727272727,3.54545454545455,2.45454545454545,6.61454545454546
2011,"CNJ02_1_105","R9C42","9","42",22.07,18.109,2.528,31.4,4.7,1.5,3.454
2011,"CNJ02_1_106","R9C43","9","43",23.385,20.371,3.348,27.2,3.8,2.1,6.696
2011,"CNJ02_1_107","R9C44","9","44",23.703,16.679,2.43,16.6,4.3,1.5,3.525
2011,"CNJ02_1_108","R9C45","9","45",27.101,18.296,3.065,19.9,3.6,1.8,5.1
2011,"CNJ02_1_109","R9C46","9","46",24.026,18.268,2.751,27.7,3.6,2.1,5.158
2011,"CNJ02_1_11","R8C2","8","2",23.377,16.954,2.205,15.5,5.9,2.7,4.525
2011,"CNJ02_1_110","R9C47","9","47",22.943,16.951,2.38,24.5,4.77777777777778,1.66666666666667,3.948
2011,"CNJ02_1_111","R9C48","9","48",23.411,18.615,2.86,19.1,4.1,2.2,5.229
2011,"CNJ02_1_112","R9C49","9","49",23.459,17.777,2.69,17.1,4.4,1.4,3.6
2011,"CNJ02_1_113","R9C50","9","50",24.46,18.434,2.737,28.2,4.3,2.4,5.754
2011,"CNJ02_1_114","R9C51","9","51",25.791,19.485,3.251,25,3.6,1.4,4.208
2011,"CNJ02_1_115","R9C52","9","52",23.343,19.428,2.982,24.3,4.9,2.2,6.105
2011,"CNJ02_1_116","R9C53","9","53",24.9033333333333,19.334,3.11555555555556,20.1,4,1.9,5.506
2011,"CNJ02_1_117","R9C54","9","54",24.698,18.95,3.157,22.3,4.5,3,8.342
2011,"CNJ02_1_118","R10C2","10","2",24.84,18.844,3.152,20.1,3,1.8,5.007
2011,"CNJ02_1_119","R10C3","10","3",19.926,17.273,2.101,20.5,3.5,2,3.656
2011,"CNJ02_1_12","R8C3","8","3",21.521,16.986,2.183,17.4,4.6,2.7,4.939
2011,"CNJ02_1_120","R10C4","10","4",19.101,19.045,2.519,23.1,4.2,2.2,5.122
2011,"CNJ02_1_121","R10C5","10","5",19.437,17.916,2.186,26.4,3.3,2.3,4.266
2011,"CNJ02_1_122","R10C6","10","6",21.368,17.195,2.242,23.6,3.5,1.4,3.009
2011,"CNJ02_1_123","R10C7","10","7",20.9372727272727,16.5481818181818,2.11181818181818,20.6,4.90909090909091,2.36363636363636,4.07363636363636
2011,"CNJ02_1_124","R10C8","10","8",24.063,17.719,2.507,22.7,4.4,2.4,5.185
2011,"CNJ02_1_125","R10C9","10","9",21.007,16.709,2.103,24.9,4.5,2.5,4.182
2011,"CNJ02_1_126","R10C10","10","10",24.07,17.038,2.302,26,3.5,2.9,6.061
2011,"CNJ02_1_127","R10C11","10","11",21.5,17.55,2.253,22.6,4.5,1.8,3.654
2011,"CNJ02_1_128","R10C12","10","12",26.4888888888889,18.8888888888889,3.192,26.3,4.2,2.3,6.369
2011,"CNJ02_1_129","R10C13","10","13",23.758,17.106,2.445,23.3,4.6,2.7,5.676
2011,"CNJ02_1_13","R8C4","8","4",18.411,15.721,1.798,21.6,3.4,2,3.128
2011,"CNJ02_1_130","R10C14","10","14",21.182,16.374,2.038,26,5.2,1.2,2.319
2011,"CNJ02_1_131","R10C15","10","15",25.97,18.89,3.062,23.2,4.2,2,5.632
2011,"CNJ02_1_132","R10C16","10","16",23.67,17.53,2.522,29.1,3.4,1.9,4.412
2011,"CNJ02_1_133","R10C17","10","17",21.012,18.132,2.288,25.5,4.3,2.7,5.455
2011,"CNJ02_1_134","R10C18","10","18",21.059,17.437,2.339,24.4,4.8,1.8,4.065
2011,"CNJ02_1_135","R10C19","10","19",18.4888888888889,16.6222222222222,1.797,22.4,4.1,2.1,3.221
2011,"CNJ02_1_136","R10C20","10","20",20.71,17.93,2.456,23.6,5.7,2.7,5.781
2011,"CNJ02_1_137","R10C21","10","21",24.288,17.817,2.473,19.2,3.6,2,4.507
2011,"CNJ02_1_138","R10C22","10","22",18.853,17.957,2.275,21.4,4,1.8,3.703
2011,"CNJ02_1_139","R10C23","10","23",20.96,16.978,2.101,20.4,5.11111111111111,2.77777777777778,4.914
2011,"CNJ02_1_14","R8C5","8","5",21.043,18.311,2.581,27,4.22222222222222,2,4.67
2011,"CNJ02_1_140","R10C24","10","24",20.3344444444444,18.5555555555556,2.53222222222222,22.9,4,1.6,3.496
2011,"CNJ02_1_141","R10C25","10","25",21.83,17.19,2.296,20.3,4.9,2.5,5.222
2011,"CNJ02_1_142","R10C26","10","26",21.3,17.27,2.314,28.4,3.7,1.9,3.893
2011,"CNJ02_1_143","R10C27","10","27",20.73,18.05,2.505,24.5,5.1,2.8,5.827
2011,"CNJ02_1_144","R10C28","10","28",20.97,18,2.46,21.9,3.8,2,4.537
2011,"CNJ02_1_145","R10C29","10","29",23.576,18.009,2.596,21.6,4.6,2.3,4.874
2011,"CNJ02_1_146","R10C30","10","30",23.844,18.063,2.743,29.2,6.1,1.9,4.487
2011,"CNJ02_1_147","R10C31","10","31",22.547,17.718,2.489,21.9,5.33333333333333,2.66666666666667,4.77
2011,"CNJ02_1_148","R10C32","10","32",23.805,17.189,2.367,16.6,5.8,1.7,3.732
2011,"CNJ02_1_149","R10C33","10","33",23.23,18.98,2.954,21.8,4.1,2.1,5.787
2011,"CNJ02_1_15","R8C6","8","6",22.507,18.641,2.642,18.9,5.4,2.9,6.482
2011,"CNJ02_1_150","R10C34","10","34",25.56,17.62,2.87,18.1111111111111,4.11111111111111,2.22222222222222,6.059
2011,"CNJ02_1_151","R10C35","10","35",25.09,17.572,2.673,22.1,5.2,2.3,4.855
2011,"CNJ02_1_152","R10C36","10","36",18.865,18.03,2.24,24.9,4,2.2,4.291
2011,"CNJ02_1_153","R10C37","10","37",23.922,18.057,2.668,28.6,4.2,2.2,5.213
2011,"CNJ02_1_154","R10C38","10","38",22.276,18.285,2.587,16.4,4.44444444444444,2.44444444444444,5.61
2011,"CNJ02_1_155","R10C39","10","39",21.818,16.68,2.086,19.6,4.6,2.2,4.229
2011,"CNJ02_1_156","R10C40","10","40",25.3472727272727,17.9081818181818,2.79,19.2727272727273,4.3,2,5.30545454545455
2011,"CNJ02_1_157","R10C41","10","41",23.093,18.193,2.746,25.6,3.8,2,4.894
2011,"CNJ02_1_16","R8C7","8","7",24.736,18.748,2.874,25.2,5.9,2.2,5.283
2011,"CNJ02_1_167","R44C15","44","15",24.093,18.369,2.677,22.1,4.22222222222222,2,4.909
2011,"CNJ02_1_17","R8C8","8","8",24.566,19.977,3.454,29.8,4.2,2.6,7.129
2011,"CNJ02_1_171","R44C19","44","19",24.433,18.03,2.683,18.3,3.8,2,4.737
2011,"CNJ02_1_172","R44C20","44","20",20.936,16.542,2.122,16.5,4.4,2.2,4.148
2011,"CNJ02_1_177","R44C25","44","25",19.012,17.423,2.178,23.9,4.5,2.5,4.852
2011,"CNJ02_1_18","R8C9","8","9",19.73,17.56,2.178,26.2,5,1.5,3.101
2011,"CNJ02_1_181","R44C29","44","29",26.414,18.437,3.078,30.3,4.6,2.3,6.388
2011,"CNJ02_1_182","R44C30","44","30",25.605,19.204,3.214,26.5,3.6,2.3,6.562
2011,"CNJ02_1_186","R44C34","44","34",23.585,17.895,2.475,19.3,4.7,2.9,6.184
2011,"CNJ02_1_187","R44C35","44","35",21.479,17.436,2.373,20.7,5,2.5,5.251
2011,"CNJ02_1_188","R44C36","44","36",22.689,16.773,2.233,19.5,3.4,2.6,5.089
2011,"CNJ02_1_189","R44C37","44","37",21.441,17.16,2.032,17,4.5,2.1,3.974
2011,"CNJ02_1_19","R8C10","8","10",17.48,16.06,1.706,13.9,5.2,2.3,3.146
2011,"CNJ02_1_191","R44C39","44","39",22.001,16.627,2.108,16.6,4.9,2.1,4.164
2011,"CNJ02_1_193","R44C41","44","41",24.497,16.884,2.433,16.8,5.5,3.1,6.297
2011,"CNJ02_1_198","R44C46","44","46",22.118,18.398,2.559,20.9,4.77777777777778,1.88888888888889,4.934
2011,"CNJ02_1_2","R7C47","7","47",21.765,17.795,2.579,18.7,5.11111111111111,2.11111111111111,5.534
2011,"CNJ02_1_20","R8C11","8","11",23.768,18.159,2.555,28.2,5.6,3.3,7.109
2011,"CNJ02_1_200","R44C48","44","48",19.691,16.972,2.004,18.1,5.3,2.1,3.846
2011,"CNJ02_1_201","R44C49","44","49",24.29,20.563,3.262,23,5.5,1.7,5.128
2011,"CNJ02_1_203","R44C51","44","51",26.302,18.821,3.238,18.7,4.4,2.5,6.971
2011,"CNJ02_1_204","R44C52","44","52",21.899,17.959,2.525,19.4,4.55555555555556,2.44444444444444,5.007
2011,"CNJ02_1_207","R45C1","45","1",23.035,18.603,2.728,26.3,3.4,1.6,4.177
2011,"CNJ02_1_21","R8C12","8","12",21.906,17.896,2.279,22.4,7.5,2.5,5.12
2011,"CNJ02_1_22","R8C13","8","13",23.681,17.986,2.445,15.8,3.9,2.2,4.938
2011,"CNJ02_1_225","R45C19","45","19",24.192,17.286,2.403,21.5,4.9,2.8,5.775
2011,"CNJ02_1_226","R45C20","45","20",22.462,18.558,2.685,21.1,3.6,1.7,4.371
2011,"CNJ02_1_228","R45C22","45","22",19.863,15.002,1.614,13,3.6,2,2.593
2011,"CNJ02_1_23","R8C14","8","14",25.11,19.299,3.469,22.6,3.2,2,6.397
2011,"CNJ02_1_235","R45C29","45","29",22.332,17.362,2.258,25.1,4.7,1.9,3.666
2011,"CNJ02_1_24","R8C15","8","15",26.667,18.48,2.741,25,7.1,3.5,7.741
2011,"CNJ02_1_25","R8C16","8","16",25.017,17.722,2.756,23.2,3.8,2.1,5.481
