"population","year","accession_name","accession","row","column","num_peds","num_no_fruit","num_berries","num_aborted_flower","num_aborted_berries","total_berry_weight","upright_length","secondary_growth","dry_wt_leaves","berry_length","berry_width","berry_weight","num_seeds","calyx_diam","calyx_lobe_form","calyx_lobe_size","berry_skin","rebud","chimera_LvW","chimera_eccentricity","chimera_solidity","chimera_tortuosity","chimera_umccLogX","chimera_umccLogY"
1,2011,"CNJ04_2_1","R3C1","3","1",4.1,0,2.3,1.6,0.2,5.499,3.83,1.8,0.0941,22.101,18.714,2.777,21.2,3.303,0.6,1.7,1.6,0.9,1.40908698560512,0.704524772988865,0.989343824001222,90.7048327646991,456.783991989004,444.307342738925
1,2011,"CNJ04_2_10","R3C10","3","10",4.7,0.5,1.9,1.6,0.7,4.173,2.4,1.53333333333333,0.0674,20.436,17.467,2.483,17.9,2.848,1.1,1.4,2,1,1.2971679927595,0.636943880727018,0.99054936611602,121,454.011403266764,451.931961725084
1,2011,"CNJ04_2_11","R3C11","3","11",4,0.3,2,1.2,0.5,5.36,3.42,2.6,0.0816,23.555,18.626,3.01,25.3,2.918,1.7,2,1.9,1,1.52425188681813,0.754709131280887,0.98936170212766,86.4096655293983,466.488052516843,440.148459655565
1,2011,"CNJ04_2_12","R3C12","3","12",3.7,0.8,2.2,0.5,0.2,4.96,3.55,2.6,0.0855,20.387,17.592,2.554,14.1,2.921,1.4,1.6,1.1,0.9,1.18700817548793,0.538767995867654,0.990502191801892,128.5,442.227901197245,456.783991989004
1,2011,"CNJ04_2_13","R3C13","3","13",4.6,0.5,2.1,1.3,0.7,5.582,3.51,2.3,0.06136,23.72,18.226,2.932,23.2,2.796,0.5,1.8,1.6,1,1.52425188681813,0.754709131280887,0.98936170212766,86.4096655293983,466.488052516843,440.148459655565
1,2011,"CNJ04_2_14","R3C14","3","14",4.4,0.6,2.4,0.9,0.5,5.31,5.16,2.62,0.1369,22.572,17.593,2.696,16.1,2.981,1.9,2,1.1,1,1.52425188681813,0.754709131280887,0.98936170212766,86.4096655293983,466.488052516843,440.148459655565
1,2011,"CNJ04_2_15","R3C15","3","15",4.2,1,1.8,0.8,0.6,5.235,3.39,1.48333333333333,0.0758,23.161,19.745,3.434,22.1,3.222,0.3,0.6,1.5,1,1.49474016985014,0.743251066346965,0.989569005043558,97.6144982940974,474.805818683563,449.159373002845
1,2011,"CNJ04_2_16","R3C16","3","16",5.1,1.2,2,0.9,1,4.134,3.33,3.13333333333333,0.0891,21.319,17.441,2.407,23.1,2.842,0.5,1,1.9,0.9,1.55970264097694,0.767417376822317,0.989861259338314,89.2048327646991,484.509879211402,449.159373002845
1,2011,"CNJ04_2_17","R3C17","3","17",4.8,0.3,3.5,0.7,0.3,8.541,4.36,3.2,0.1088,22.296,19.016,2.988,15.5,2.841,1.4,1,1.5,1,1.54926909500924,0.763789290882834,0.988528163358954,117.5,494.907086919801,458.863433530684
1,2011,"CNJ04_2_18","R3C18","3","18",5.2,1.4,2.1,0.9,0.8,4.117,3.2,1.45,0.0679,21.9,17.51,2.36,22.8,2.796,0.6,1,1.8,0.9,1.45378787169003,0.725845031810185,0.99104466138827,103,475.498965864123,450.545667363964
1,2011,"CNJ04_2_19","R3C19","3","19",4.7,0.9,2.4,0.9,0.5,5.814,4,4,0.1124,21.447,16.951,2.578,18.6666666666667,2.946,1.2,1.7,1.7,1,1.50383162714665,0.746871795483204,0.990475097544182,100.114498294097,483.816732030842,455.397697627884
1,2011,"CNJ04_2_2","R3C2","3","2",3.4,1.6,1.5,0.1,0.2,4.471,4.54,2.33333333333333,0.0739,23.7277777777778,18.9177777777778,3.144,21.9,2.924,1.2,1.9,1.33333333333333,0.9,1.52425188681813,0.754709131280887,0.98936170212766,86.4096655293983,466.488052516843,440.148459655565
1,2011,"CNJ04_2_20","R3C20","3","20",3.9,0.4,2.1,0.8,0.6,4.055,4.03,1.35,0.086,20.599,16.917,2.235,23,3.045,0.8,1.2,2,0.9,1.48715319306771,0.740164645376648,0.98999197830322,96.9096655293983,466.488052516843,442.921048377805
1,2011,"CNJ04_2_21","R3C21","3","21",4.11111111111111,0.555555555555556,3,0.444444444444444,0.111111111111111,6.786,3.76,2.28333333333333,0.0982,24.25,17.74,2.772,19.3,3.15,0.7,1.3,2.1,1,1.64178987232125,0.793100078545195,0.986752704498007,112,500.45226436428,459.556580711244
1,2011,"CNJ04_2_22","R3C22","3","22",3.9,1,2,0.3,0.6,6.057,5.1,1,0.1048,26.088,19.125,3.233,26.5,3.083,0.5,0.888888888888889,2.1,0.6,1.55970264097694,0.767417376822317,0.989861259338314,89.2048327646991,484.509879211402,449.159373002845
1,2011,"CNJ04_2_23","R3C23","3","23",4.8,0,2.6,1.8,0.4,5.862,2.66,1.85,0.0579,22.01,18.272,2.723,18.4,3.166,0.9,0.7,2,1,1.6009888229415,0.7809336569021,0.99006040217142,97.4096655293983,490.055056655881,452.625108905644
1,2011,"CNJ04_2_24","R3C24","3","24",4,0.1,2,1,0.9,5.713,4.06,1.95,0.0673,23.515,19.916,3.224,22.6,3.245,0.4,1.1,1.7,0.4,1.29718909958221,0.63695906231654,0.990626200537841,117,454.704550447324,452.625108905644
1,2011,"CNJ04_2_25","R3C25","3","25",4.7,1,2.9,0.6,0.2,8.433,3.45,1.7,0.0756,26.012,19.297,3.535,23,2.878,1.4,1.5,1.6,0.8,1.47806542701179,0.73638747702764,0.989025644933887,90.1144982940974,460.249727891804,440.148459655565
1,2011,"CNJ04_2_26","R3C26","3","26",5.2,1,2.2,1.5,0.5,5.752,3.55,NA,0.0642,23.057,19.097,3,21.6,2.905,1.2,1.1,1.3,0.7,1.55970264097694,0.767417376822317,0.989861259338314,89.2048327646991,484.509879211402,449.159373002845
1,2011,"CNJ04_2_27","R3C27","3","27",3.88888888888889,0.333333333333333,2.66666666666667,0.666666666666667,0.222222222222222,6.72,2.63,1.175,0.0514,21.502,18.397,2.775,19.9,3.114,1,1,2,0.5,1.66372368759721,0.799202888915253,0.984740628549792,123.204832764699,499.065970003161,457.477139169564
1,2011,"CNJ04_2_28","R3C28","3","28",4.5,1,3,0.4,0.1,8.155,2.75,2.25,0.0702,24.296,19.154,3.225,27.1,2.888,2,0,1.9,0.9,1.49474016985014,0.743251066346965,0.989569005043558,97.6144982940974,474.805818683563,449.159373002845
1,2011,"CNJ04_2_29","R3C29","3","29",3.6,0.1,2.6,0.6,0.3,7.27,3.43,1.225,0.083,25.713,18.153,3.165,22.7,3.101,0.4,1.1,2.2,1,1.54581235298082,0.762567165338059,0.989410330641475,89.4096655293983,477.578407405802,446.386784280605
