accession,accession_name,row,column,year,BBITBM,BBITY,BBISFY,UNP,UN0,UNB,UNAF,UNAB,UTBM,UL,USL,UDM,UBL,UBW,UBM,UNS,UCD,UCLP,UCLS,UBBL,URB,UKLvW,UKEC,UKSO,UKTO,UKUX,UKUY,ULvW,UMFM,TY,SFY,MFM,PFR,Tacy,Brix,TA,PAC
R7C46,CNJ02_1_1,7,46,11,0.11739002749868735,0.3809491479394392,0.2053691275167786,5,0.6,2.6,0.9,0.9,6.278,2.66,0.4,0.0317,24.037,18.051,2.785,19.8,2.743,1.4,0.6,1.8,0.9,1.52425188681813,0.754709131280887,0.98936170212766,86.4096655293983,466.488052516843,440.148459655565,1.3316159769541853,2.4146153846153844,508.5,291.85,2.3499999999999996,42.35,27,8,2.3899999999999997,1.83
R7C46,CNJ02_1_1,7,46,12,0.037321763101443375,0.2713760588141282,0.2806804374240583,3.1,0.4,2,0.3,0.4,4.9589,3.57,1.43333333333333,0.0801,24.13,17.98,2.8985,18.5,2.39,1.6,0.4,1.6,0.5,1.52307270590224,0.754267294414664,0.990958684622134,96.2951672353009,471.340082780763,443.614195558365,1.3420467185761957,2.47945,227.95,192.39999999999998,2.4000000000000004,18.45,30.5,8.15,2.615,2.02
R7C46,CNJ02_1_1,7,46,13,NA,NA,NA,4.2,0.2,2.7,0.1,1.2,5.3434,3.127,1.94,0.0604,21.89,17.36,2.25555555555556,17.6666666666667,2.82,1.7,0.2,2,0.4,1.47806542701179,0.73638747702764,0.989025644933887,90.1144982940974,460.249727891804,440.148459655565,1.2609447004608296,1.979037037037037,397.75,342.54999999999995,2.3499999999999996,13.575564632499999,25,7.7,2.615,1.54
R8C1,CNJ02_1_10,8,1,11,0.22063399576013787,0.2813645783516659,8.049369466058797e-4,3.2,0,2.3,0.3,0.6,4.923,4.44,2.3,0.0909,22.163,18.494,2.493,19.5,3.097,1.1,1.1,1,0.9,1.34443323326222,0.668393502513594,0.988547993964483,117.204832764699,488.668762294761,469.260641239083,1.1983886665945713,2.140434782608696,200.95000000000002,93.25,1.65,49.8,38.5,8.8,2.305,2.135
R8C1,CNJ02_1_10,8,1,12,0.25709372312983664,0.15326821938392185,0.023084994753410314,3.4,0.1,2.2,0.9,0.2,3.1433,3.42,1.15,0.1228,18.01,15.35,1.7619,18.1,2.78,1.6,0.9,1.9,0.6,1.43326967678901,0.716384790558589,0.990094124791255,98.5,443.614195558365,434.603282211086,1.1732899022801304,1.428772727272727,112.7,93.1,1.5,16.5,44.5,9.149999999999999,2.58,1.6549999999999998
R8C1,CNJ02_1_10,8,1,13,NA,NA,NA,3.375,0.5,1.5,1.125,0.25,1.8576,2.06666666666667,NA,0.0463333333333333,17.76,14.24,1.3976,14.8,3.29,0.7,1.4,2.1,0.2,1.3388020486639,0.664895476653669,0.990827441238295,100.5,438.069018113885,440.148459655565,1.2471910112359552,1.2384,153.5,97.5,1.25,47.070630584999996,34,9.899999999999999,2.545,NA
R9C37,CNJ02_1_100,9,37,11,0.16878785835237117,0.16565469904963034,0.09303012404016538,4.72727272727273,0.454545454545455,2.18181818181818,1.18181818181818,0.909090909090909,5.75090909090909,2.96363636363636,2,0.0676363636363636,22.0727272727273,19.3181818181818,2.83,23,2.61,1.81818181818182,1,1.72727272727273,0.636363636363636,1.11816714637344,NA,0.990731520490234,122.5,426.285516044366,454.011403266764,1.1425882352941201,2.6358333333333355,441.54999999999995,185.05,2.2,57.95,41.5,8.7,2.3,1.4
R9C37,CNJ02_1_100,9,37,12,0.0710895091871267,0.0689101209097827,0.17167902899527984,3.5,0.6,1.8,0.3,0.8,4.0899,2.6,2.13333333333333,0.0669888888888889,20.65,17.82,2.4444,18.8,2.53,1.8,0.8,1.6,0.5,1.25368455547188,0.603122183309727,0.991570558258937,110.5,436.682723752766,445.693637100045,1.1588103254769921,2.2721666666666667,316.05,153.55,2.25,49.5,47.5,9.15,2.375,1.51
R9C37,CNJ02_1_100,9,37,13,NA,NA,NA,5.2,0.7,2,1,1.5,4.7159,3.46,NA,0.0786,19.76,18.27,2.6332,24.4,2.96,1.9,1.1,1.2,0.2,1.34736825847762,0.67019219774122,0.990563514804202,103,440.148459655565,441.534754016685,1.0815544608648058,2.35795,275.3,217.20000000000002,2.05,21.83808988,54,9.46,2.635,1.6099999999999999
R9C38,CNJ02_1_101,9,38,11,0.023977263972470235,0.08528489765812282,0.11825474692676168,4.7,1.1,2.1,1,0.5,5.981,3.64,NA,0.0842,22.65,19.57,3.149,26,2.93,1,0.9,1.4,0.8,1.59887353367515,0.780271995012422,0.990467804915397,93,494.213939739241,455.397697627884,1.1573837506387326,2.848095238095238,588.55,484.40000000000003,2.6500000000000004,17.25,23,9.1,2.52,1.65
