year,accession_name,accession,row,column,berry_length,berry_width,berry_weight,num_seeds,num_peds,num_berries,total_berry_weight,upright_length,secondary_growth,dry_wt_leaves,ULvW,UMFW,TY_September,TY_October,SFY_September,SFY_October,MFW_September,MFW_October,PFR_September,PFR_October,Tacy_September,Tacy_October,Brix_September,Brix_October,TA_September,TA_October,PAC_September,PAC_October
2011,CNJ04_2_1,R3C1,3,1,22.101,18.714,2.777,21.2,4.1,2.3,5.499,3.83,1.8,0.0941,1.1809874959923052,2.3908695652173915,385.2,612.6,365.4,496.2,2.2,2.4,5.1,19,12,19,9,8.14,2.48,2.55,1.33,0.95
2011,CNJ04_2_10,R3C10,3,10,20.436,17.467,2.483,17.9,4.7,1.9,4.173,2.4,1.53333333333333,0.0674,1.1699776721818287,2.1963157894736844,523.4,369.1,497,309.4,2.4,2.7,5,16.2,6,19,8.6,9.24,2.39,2.25,1.58,1.22
2011,CNJ04_2_11,R3C11,3,11,23.555,18.626,3.01,25.3,4,2,5.36,3.42,2.6,0.0816,1.2646300869751959,2.68,432.4,706.4,314.7,628,2.8,2.9,27.2,11.1,14,20,7.7,8.14,2.24,2.33,1.51,1.12
2011,CNJ04_2_12,R3C12,3,12,20.387,17.592,2.554,14.1,3.7,2.2,4.96,3.55,2.6,0.0855,1.1588790359254209,2.2545454545454544,341.2,578.4,278.1,432,2.2,2.6,18.5,25.3,4,13,9,7.92,2.15,2.38,1.47,0.94
2011,CNJ04_2_13,R3C13,3,13,23.72,18.226,2.932,23.2,4.6,2.1,5.582,3.51,2.3,0.06136,1.3014375068583341,2.658095238095238,716.6,527.6,663.2,371,2.5,2.7,7.5,29.7,9,23,7.5,7.92,2.61,2.57,1.22,1.12
2011,CNJ04_2_14,R3C14,3,14,22.572,17.593,2.696,16.1,4.4,2.4,5.31,5.16,2.62,0.1369,1.2830102881827998,2.2125,738.6,659.7,706.8,579.7,2.5,2.8,4.3,12.1,5,13,8.4,8.8,2.33,2.34,1.4,1.16
2011,CNJ04_2_15,R3C15,3,15,23.161,19.745,3.434,22.1,4.2,1.8,5.235,3.39,1.48333333333333,0.0758,1.1730058242593062,2.9083333333333337,328.8,652.7,301.8,585.8,3.1,2.6,8.2,10.1,7,13,8.1,7.92,2.56,2.77,1.37,1.05
2011,CNJ04_2_16,R3C16,3,16,21.319,17.441,2.407,23.1,5.1,2,4.134,3.33,3.13333333333333,0.0891,1.2223496359153718,2.067,320.4,652.3,304.1,584,2.4,2.4,5.1,10.4,13,22,8.1,7.48,2.4,2.23,1.19,0.95
2011,CNJ04_2_17,R3C17,3,17,22.296,19.016,2.988,15.5,4.8,3.5,8.541,4.36,3.2,0.1088,1.1724863273033237,2.4402857142857144,680,569.1,581.2,443.6,2.5,2.7,14.4,22.1,15,22,7.5,7.7,2.72,2.25,1.49,1.26
2011,CNJ04_2_18,R3C18,3,18,21.9,17.51,2.36,22.8,5.2,2.1,4.117,3.2,1.45,0.0679,1.2507138777841231,1.9604761904761905,417.6,403.8,395.2,323.2,2.2,2.3,5.4,19.8,6,14,8.4,9.46,2.41,2.2,1.13,0.64
