accession,accession_name,row,column,year,BBI_UTBM,BBI_TY,BBI_SFY,num_peds,num_no_fruit,num_berries,num_aborted_flower,num_aborted_berries,total_berry_weight,upright_length,secondary_growth,dry_wt_leaves,berry_length,berry_width,berry_weight,num_seeds,calyx_diam,calyx_lobe_form,calyx_lobe_size,berry_skin,rebud,chimera_LvW,chimera_eccentricity,chimera_solidity,chimera_tortuosity,chimera_umccLogX,chimera_umccLogY,ULvW,UMFM,TY,SFY,MFM,PFR,Tacy,Brix,TA,PAC
R3C1,CNJ04_2_1,3,1,2011,0.21804811057458026,0.23337453646477127,0.2240375053274612,4.1,0,2.3,1.6,0.2,5.499,3.83,1.8,0.0941,22.101,18.714,2.777,21.2,3.303,0.6,1.7,1.6,0.9,1.40908698560512,0.704524772988865,0.989343824001222,90.7048327646991,456.783991989004,444.307342738925,1.1809874959923052,2.3908695652173915,498.9,430.79999999999995,2.3,12.05,15.5,8.57,2.5149999999999997,1.1400000000000001
R3C1,CNJ04_2_1,3,1,2012,NA,NA,NA,4.6,NA,1.8,0.6,0.2,3.5302,4.14,2.8375,0.1072,21.07,16.76,2.263,13.3,2.35,0.9,1.6,2.1,0.6,1.41035404546152,0.705166431933139,0.989619771863118,95,435.296429391646,433.216987849966,1.257159904534606,1.961222222222222,310.1,273.1,2.5,11.350000000000001,25.5,9.149999999999999,2.73,1.335
R3C1,CNJ04_2_1,3,1,2014,NA,NA,NA,5.55555555555556,1.11111111111111,2,0.888888888888889,1.55555555555556,3.591,2.62,1.7,NA,18.35,16.52,2.008,17.1,2.85,1.8,1.66666666666667,1.4,0.1,1.3984077976179,0.69902320295497,0.990167308205343,100,437.375870933325,433.216987849966,1.1107748184019373,1.7955,350.75,137.95,1.8,NA,25,8.8,2.435,1.115
R3C10,CNJ04_2_10,3,10,2011,0.19686676033026038,0.0967741935483871,0.13210725817773405,4.7,0.5,1.9,1.6,0.7,4.173,2.4,1.53333333333333,0.0674,20.436,17.467,2.483,17.9,2.848,1.1,1.4,2,1,1.2971679927595,0.636943880727018,0.99054936611602,121,454.011403266764,451.931961725084,1.1699776721818287,2.1963157894736844,446.25,403.2,2.55,10.6,12.5,8.92,2.3200000000000003,1.4
R3C10,CNJ04_2_10,3,10,2012,NA,NA,NA,4.77777777777778,0.555555555555556,2.88888888888889,1.33333333333333,0,6.2188,2.45,1.3,0.0602,20.87,18.15,2.6955,16.2,2.57,1.3,1.6,1.8,0.8,1.41035404546152,0.705166431933139,0.989619771863118,95,435.296429391646,433.216987849966,1.1498622589531682,2.1526615384615373,367.5,309.1,2.55,15.149999999999999,23.5,9.65,2.4450000000000003,1.295
R3C10,CNJ04_2_10,3,10,2014,NA,NA,NA,6.22222222222222,0.666666666666667,2.66666666666667,0.666666666666667,2.22222222222222,5.3964,2.83,NA,NA,18.19,17.04,2.2085,14.1,2.98,1.2,1.2,1.3,0,1.38619826168848,0.692521195247388,0.989571836346337,101,437.375870933325,436.682723752766,1.0674882629107982,2.0236499999999973,275.5,246,2.1,12.05,25,8.25,2.135,1.135
R3C11,CNJ04_2_11,3,11,2011,0.019389317332471158,0.2688579387186629,0.342303858749822,4,0.3,2,1.2,0.5,5.36,3.42,2.6,0.0816,23.555,18.626,3.01,25.3,2.918,1.7,2,1.9,1,1.52425188681813,0.754709131280887,0.98936170212766,86.4096655293983,466.488052516843,440.148459655565,1.2646300869751959,2.68,569.4,471.35,2.8499999999999996,19.15,17,7.92,2.285,1.315
R3C11,CNJ04_2_11,3,11,2012,NA,NA,NA,3.4,0.8,1.8,0.5,0.3,5.1561,3.14,1.78,0.0628,23.99,18.74,3.1987,23.8,2.95,0.7,1.6,2.1,0.2,1.41035404546152,0.705166431933139,0.989619771863118,95,435.296429391646,433.216987849966,1.2801494130202775,2.8645,328.1,230.95000000000002,2.95,28.849999999999998,32,9.25,2.575,1.525
R3C11,CNJ04_2_11,3,11,2014,NA,NA,NA,5.1,1.3,1.9,0.9,1,4.3659,2.74,NA,NA,21.18,17.53,2.4728,19.4,2.63,1.5,1.9,1.7,0.2,1.46720013569511,0.731752663271278,0.990711719287516,86.5,449.852520183405,435.989576572206,1.2082144894466629,2.297842105263158,287.54999999999995,252.9,2.25,11.850000000000001,29,8.15,2.295,1.1400000000000001
R3C12,CNJ04_2_12,3,12,2011,0.2222718755635001,0.14470654135806313,0.09837587006960552,3.7,0.8,2.2,0.5,0.2,4.96,3.55,2.6,0.0855,20.387,17.592,2.554,14.1,2.921,1.4,1.6,1.1,0.9,1.18700817548793,0.538767995867654,0.990502191801892,128.5,442.227901197245,456.783991989004,1.1588790359254209,2.2545454545454544,459.79999999999995,355.05,2.4000000000000004,21.9,8.5,8.46,2.2649999999999997,1.205
R3C12,CNJ04_2_12,3,12,2012,NA,NA,NA,5.5,1.3,3.3,0.3,0.6,7.7951,3.51111111111111,2.275,0.0932,22.23,18.73,2.9879,20.9,2.52,1.5,1.9,1.2,0.8,1.38619826168848,0.692521195247388,0.989571836346337,101,437.375870933325,436.682723752766,1.1868659903897492,2.362151515151515,343.54999999999995,291.45000000000005,2.7,13.5,19,9.15,2.4800000000000004,1.2650000000000001
