row,column,accession_name,year,month,TY,SFY,MFM,PFR,Tacy,Brix,TA,PAC
3,1,CNJ04_2_1,2011,September,385.2,365.4,2.2,5.1,12,9,2.48,1.33
3,2,CNJ04_2_2,2011,September,508.2,491.4,2.8,3.3,7,7.5,2.57,1.17
3,3,CNJ04_2_3,2011,September,293.4,280.2,2.5,4.4,14,8.1,2.69,1.36
3,4,CNJ04_2_4,2011,September,355.9,300.2,2.1,15.6,27,8.1,2.18,1.37
3,5,CNJ04_2_5,2011,September,351.7,306.9,2.3,12.7,10,8.6,2.66,1.64
3,6,CNJ04_2_6,2011,September,605.9,574,2.5,5.3,17,8.8,2.64,1.35
3,7,CNJ04_2_7,2011,September,235.6,228.7,2.1,2.9,16,8.6,2.28,1.74
3,8,CNJ04_2_8,2011,September,549.7,506.9,2.4,7.4,8,7.3,2.52,1.22
3,9,CNJ04_2_9,2011,September,283.6,254.8,2.4,10.2,8,8.1,2.69,1.63
3,10,CNJ04_2_10,2011,September,523.4,497,2.4,5,6,8.6,2.39,1.58
3,11,CNJ04_2_11,2011,September,432.4,314.7,2.8,27.2,14,7.7,2.24,1.51
3,12,CNJ04_2_12,2011,September,341.2,278.1,2.2,18.5,4,9,2.15,1.47
3,13,CNJ04_2_13,2011,September,716.6,663.2,2.5,7.5,9,7.5,2.61,1.22
3,14,CNJ04_2_14,2011,September,738.6,706.8,2.5,4.3,5,8.4,2.33,1.4
3,15,CNJ04_2_15,2011,September,328.8,301.8,3.1,8.2,7,8.1,2.56,1.37
3,16,CNJ04_2_16,2011,September,320.4,304.1,2.4,5.1,13,8.1,2.4,1.19
3,17,CNJ04_2_17,2011,September,680,581.2,2.5,14.4,15,7.5,2.72,1.49
3,18,CNJ04_2_18,2011,September,417.6,395.2,2.2,5.4,6,8.4,2.41,1.13
3,19,CNJ04_2_19,2011,September,170.3,159.7,2.2,6.2,11,8.8,2.51,1.17
3,20,CNJ04_2_20,2011,September,342.2,335.6,2.2,1.9,5,8.1,2.69,1.36
3,21,CNJ04_2_21,2011,September,368,354.9,2.4,3.6,8,7,2.67,0.96
3,22,CNJ04_2_22,2011,September,119.9,112.3,2.4,6.3,22,8.1,2.62,1.71
3,23,CNJ04_2_23,2011,September,764.8,745.3,2.3,2.4,10,7.3,2.56,1.43
3,24,CNJ04_2_24,2011,September,334,313.6,2.7,6.1,18,8.1,2.34,1.44
3,25,CNJ04_2_25,2011,September,504.5,457.7,2.8,9.1,19,7.9,2.59,1.2
3,26,CNJ04_2_26,2011,September,645.4,447.7,2.5,30.6,7,8.1,2.37,1.54
3,27,CNJ04_2_27,2011,September,350.3,300.9,2.2,14.1,33,7.7,2.16,1.63
3,28,CNJ04_2_28,2011,September,310.1,271.7,2.7,12.1,14,7.9,2.62,1.81
3,29,CNJ04_2_29,2011,September,367.8,355.5,2.8,3.3,14,9.2,2.77,1.77
3,30,CNJ04_2_30,2011,September,473.3,459.1,2.5,3,11,8.1,2.44,1.2
3,31,CNJ04_2_31,2011,September,541.8,514.2,2.8,5.1,9,8.8,2.61,1.15
3,32,CNJ04_2_32,2011,September,698.3,664,2.5,4.8,11,8.1,2.53,1.47
3,33,CNJ04_2_33,2011,September,402,382.5,2.5,4.8,17,7.7,2.53,1.63
3,34,CNJ04_2_34,2011,September,570.9,548.2,2.5,3.9,20,7.9,2.58,1.23
3,35,CNJ04_2_35,2011,September,397.7,368.3,2.7,7.1,7,8.6,2.36,1.43
3,36,CNJ04_2_36,2011,September,529.1,445.2,2.4,15.6,13,8.4,2.67,1.22
4,1,CNJ04_21_1,2011,September,120,108,2.9,9.9,20,8.6,2.25,1.27
4,2,CNJ04_21_2,2011,September,629.5,611.5,2.1,2.9,8,8.4,2.5,1.39
4,3,CNJ04_21_3,2011,September,480.2,457.7,2.2,4.4,22,8.1,2.41,1.34
4,4,CNJ04_21_4,2011,September,545.8,526.9,2.7,3.3,19,9.2,2.19,1.35
4,5,CNJ04_21_5,2011,September,590.6,557.8,2.6,5.5,5,8.4,2.73,1.57
4,6,CNJ04_21_6,2011,September,377.5,363.8,2.8,3.3,7,7.9,2.82,1.25
4,7,CNJ04_21_7,2011,September,455.3,435.8,2.6,4.3,15,8.6,2.3,1.71
4,8,CNJ04_21_8,2011,September,549.3,517.4,3,5.7,5,7.7,2.75,1.51
4,9,CNJ04_21_9,2011,September,115.6,103.4,2.6,10.6,7,9.9,2.37,1.71
4,10,CNJ04_21_10,2011,September,349.9,318.5,3.1,9,14,7.7,2.3,1.45
4,11,CNJ04_21_11,2011,September,396.6,360.7,2.5,9.1,16,6.8,2.56,1.35
4,12,CNJ04_21_12,2011,September,468.2,463.4,2.6,1,17,7.3,2.48,1.75
4,13,CNJ04_21_13,2011,September,418.5,405.8,2.5,3,8,8.1,2.51,1.31
4,14,CNJ04_21_14,2011,September,586.4,488.5,2.9,16.7,15,7.3,2.49,2.12
4,15,CNJ04_21_15,2011,September,442,387.3,2.4,12.4,12,8.4,2.45,1.62
4,16,CNJ04_21_16,2011,September,362.5,330.7,2,8.3,8,9.2,2.31,1.89
4,17,CNJ04_21_17,2011,September,121.9,92.7,1.9,24,14,9.5,2.44,2.02
4,18,CNJ04_21_18,2011,September,530.5,429.8,2.3,18.9,12,7.9,2.33,1.63
4,19,CNJ04_21_19,2011,September,325.3,313.2,2,2.6,9,9,2.7,1.35
4,20,CNJ04_21_20,2011,September,755.1,718.8,2.3,4.6,13,7.3,2.49,1.22
4,21,CNJ04_21_21,2011,September,563.5,521.1,2.3,7.5,12,7.7,2.46,1.28
4,22,CNJ04_21_22,2011,September,702.7,646.4,2.6,8,19,7.7,2.51,1.32
4,23,CNJ04_21_23,2011,September,360.3,346.3,2.3,3.9,19,8.8,2.32,1.4
4,24,CNJ04_21_24,2011,September,279.3,275,2.3,1.5,6,7.9,2.56,1.39
4,25,CNJ04_21_25,2011,September,410.4,374.7,2.6,8.6,7,6.4,2.33,1.24
4,26,CNJ04_21_26,2011,September,498,437.5,2.7,11.8,4,7.7,2.51,1.19
4,27,CNJ04_21_27,2011,September,519.9,506.2,2.1,2.5,12,8.4,2.18,1.38
4,28,CNJ04_21_28,2011,September,241,236.3,2.1,1.7,20,8.4,2.51,1.64
4,29,CNJ04_21_29,2011,September,524.3,517.5,2.6,1.3,8,7.3,2.64,1.26
4,30,CNJ04_21_30,2011,September,598.6,587.3,2.4,1.9,20,7.9,2.5,1.26
4,31,CNJ04_21_31,2011,September,350.6,331.8,2.8,5.4,22,6.8,2.75,1.52
4,32,CNJ04_21_32,2011,September,343.6,311.9,2.9,9,22,7.3,2.56,1.7
4,33,CNJ04_21_33,2011,September,565.9,554.1,2.5,2.1,10,7.9,2.5,1.49
4,34,CNJ04_21_34,2011,September,660.5,630.7,2.5,4.5,14,8.1,2.31,1.42
4,35,CNJ04_21_35,2011,September,353.1,302.6,2.4,14.2,17,9.2,2.37,1.19
4,36,CNJ04_21_36,2011,September,387.5,369.5,3,4.6,17,7.7,2.27,1.95
3,1,CNJ04_2_1,2011,October,612.6,496.2,2.4,19,19,8.14,2.55,0.95
3,2,CNJ04_2_2,2011,October,696.9,599.1,2.8,14,19,7.26,2.48,1.51
3,3,CNJ04_2_3,2011,October,327.9,315.6,2.3,3.8,30,8.58,2.5,1.23
3,4,CNJ04_2_4,2011,October,555.6,401.9,2.3,27.6,34,7.7,2.21,1.23
3,5,CNJ04_2_5,2011,October,561.9,410.1,2.6,27,19,8.8,2.41,1.52
3,6,CNJ04_2_6,2011,October,667.7,513.9,2.7,23,19,8.14,2.5,1.38
3,7,CNJ04_2_7,2011,October,329.4,265.2,2.3,19.3,30,8.8,2.05,1.52
