"","berry_length.2011","berry_length.2012","berry_length.2014","berry_width.2011","berry_width.2012","berry_width.2014","berry_weight.2011","berry_weight.2012","berry_weight.2014","num_seeds.2011","num_seeds.2012","num_seeds.2014","num_peds.2011","num_peds.2012","num_peds.2014","num_berries.2011","num_berries.2012","num_berries.2014","total_berry_weight.2011","total_berry_weight.2012","total_berry_weight.2014"
"berry_length.2011",1,0.60312407122699,0.773781660889215,0.388470923627143,-0.0654978533111677,0.119402794700946,0.762735304367901,0.426736012049303,0.446052363085748,0.328019259450881,0.187587948270828,0.218347818273002,-0.112628320835612,-0.160934551437266,-0.272444330398299,0.177249511485678,-0.259294595192259,-0.273296725452643,0.494502985887692,0.113618902367984,0.13498590421007
"berry_length.2012",0.60312407122699,1,0.684508772320416,-0.0221611724921166,0.39170287394646,-0.0443489809909978,0.311198122507427,0.753643886801894,0.277596839466563,0.311179269438796,0.480774721225229,0.25660055286971,-0.00334031467419296,0.0169670392794854,-0.181988553453967,0.113502796467078,-0.00434761129205941,-0.119782961163215,0.243600005929891,0.422609559431101,0.169972358453725
"berry_length.2014",0.773781660889215,0.684508772320416,1,0.0867152857007225,-0.0279128408115226,0.217464802529395,0.421863330167498,0.465839367886919,0.655083153659887,0.361250159777758,0.270960909580893,0.421696086702498,-0.0242759166276737,-0.145285424921176,-0.234620909612223,-0.00432005568620036,-0.214320227930936,-0.213088502572527,0.204175286554847,0.145728318921784,0.281374859949873
"berry_width.2011",0.388470923627143,-0.0221611724921166,0.0867152857007225,1,0.295616896237953,0.524074311434388,0.785537095644666,0.253158040374428,0.398271948018833,0.423685591262849,0.125817429852952,0.121993505485013,-0.0250494976590762,0.00938531783277732,0.0378778033749442,0.254280918944322,-0.0442236287169887,-0.124019784736706,0.538844023599966,0.153809500329641,0.202188065231956
"berry_width.2012",-0.0654978533111677,0.39170287394646,-0.0279128408115226,0.295616896237953,1,0.354017141201638,0.211173465402226,0.731226030040694,0.234442174920232,0.195199874443388,0.475025077001246,0.158589871608871,0.0713160339152114,0.15380975195726,0.159161275448867,0.0673974234776112,0.243012548472463,0.0716643001343818,0.158129909417722,0.58662860485354,0.291494086566925
"berry_width.2014",0.119402794700946,-0.0443489809909978,0.217464802529395,0.524074311434388,0.354017141201638,1,0.369601687484819,0.294164109044657,0.817295510047412,0.260356836258189,0.123411150058845,0.449398626903277,-0.075584530845168,-0.075156003361898,0.148506844352643,-0.0244346559262101,0.0249875092246147,0.145807718750876,0.142696004454662,0.228814701479932,0.610147697236839
"berry_weight.2011",0.762735304367901,0.311198122507427,0.421863330167498,0.785537095644666,0.211173465402226,0.369601687484819,1,0.431975064458386,0.489851660104763,0.365977213069901,0.17603860231886,0.122607648078941,-0.0495525744256741,-0.0679720774569278,-0.122018844477624,0.259789133314935,-0.14698084290368,-0.21116426855552,0.649869086449592,0.208164540035732,0.197284487146296
"berry_weight.2012",0.426736012049303,0.753643886801894,0.465839367886919,0.253158040374428,0.731226030040694,0.294164109044657,0.431975064458386,1,0.454655301524706,0.328880117474614,0.534887751754158,0.287375514841099,0.0416730739761333,0.0756904807907499,-0.00999906692356094,0.0437364119454433,0.150268254782506,-0.0608132181443269,0.242975739750713,0.697197226767136,0.335967650866357
"berry_weight.2014",0.446052363085748,0.277596839466563,0.655083153659887,0.398271948018833,0.234442174920232,0.817295510047412,0.489851660104763,0.454655301524706,1,0.366727639643088,0.239591002252911,0.561057856296956,-0.0353829291684945,-0.157812280975585,-0.049538135122524,-0.054370793111688,-0.110714631719482,-0.0242535795128444,0.191597942907563,0.238663724464945,0.600045676279195
"num_seeds.2011",0.328019259450881,0.311179269438796,0.361250159777758,0.423685591262849,0.195199874443388,0.260356836258189,0.365977213069901,0.328880117474614,0.366727639643088,1,0.56774253621129,0.667022265573509,0.102319664960784,0.0236516446355319,-0.0244646258867102,0.197859608320881,0.0180414775000601,-0.258566273150445,0.335498703669106,0.216513410314588,0.0525291875011542
