"","population","year","accession","accession_name","upright","num_peds","expected_num_peds[mvariable_inconsistent.idx]","num_no_fruit","num_berries","num_aborted_flower","num_aborted_berries"
"205",1,2011,"R3C21","CNJ04_2_21",5,4,3,2,1,0,0
"267",1,2011,"R3C27","CNJ04_2_27",7,5,4,1,2,1,0
"317",1,2011,"R3C32","CNJ04_2_32",7,7,13,5,3,1,4
"453",1,2011,"R4C10","CNJ04_21_10",3,2,4,1,2,0,1
"478",1,2011,"R4C12","CNJ04_21_12",8,2,3,0,2,0,1
"480",1,2011,"R4C12","CNJ04_21_12",10,4,7,2,2,1,2
"627",1,2011,"R4C27","CNJ04_21_27",7,3,2,0,1,1,0
"681",1,2011,"R4C33","CNJ04_21_33",1,4,7,2,2,1,2
"698",1,2011,"R4C34","CNJ04_21_34",8,5,9,3,2,3,1
"707",1,2011,"R4C35","CNJ04_21_35",7,5,7,1,6,0,0
"737",2,2011,"R7C47","CNJ02_1_2",7,6,8,1,6,0,1
"785",2,2011,"R7C52","CNJ02_1_7",5,2,3,1,2,0,0
"798",2,2011,"R7C53","CNJ02_1_8",8,5,9,4,4,0,1
"802",2,2011,"R7C54","CNJ02_1_9",2,3,5,2,2,0,1
"858",2,2011,"R8C5","CNJ02_1_14",8,3,5,1,2,1,1
"983",2,2011,"R8C18","CNJ02_1_27",3,5,6,2,2,2,0
"1105",2,2011,"R8C30","CNJ02_1_39",5,0,3,0,3,0,0
"1151",2,2011,"R8C35","CNJ02_1_44",1,3,6,3,3,0,0
"1152",2,2011,"R8C35","CNJ02_1_44",2,3,5,2,2,0,1
"1157",2,2011,"R8C35","CNJ02_1_44",7,5,9,3,2,3,1
"1432",2,2011,"R9C9","CNJ02_1_72",2,5,6,2,2,0,2
"1566",2,2011,"R9C22","CNJ02_1_85",6,9,13,5,3,2,3
"1632",2,2011,"R9C29","CNJ02_1_92",2,5,10,4,2,1,3
"1817",2,2011,"R9C47","CNJ02_1_110",5,3,4,0,4,0,0
"2113",2,2011,"R10C23","CNJ02_1_139",10,5,8,2,4,1,1
"2184",2,2011,"R10C31","CNJ02_1_147",1,5,9,3,3,3,0
"2218",2,2011,"R10C34","CNJ02_1_150",5,3,5,2,3,0,0
"2257",2,2011,"R10C38","CNJ02_1_154",4,7,10,4,2,2,2
"2275",2,2011,"R10C40","CNJ02_1_156",2,8,11,4,3,4,0
"2303",2,2011,"R44C15","CNJ02_1_167",9,3,5,1,2,1,1
"2424",2,2011,"R44C46","CNJ02_1_198",10,5,11,1,4,5,1
"2455",2,2011,"R44C52","CNJ02_1_204",1,2,1,0,1,0,0
"2564",1,2012,"R3C5","CNJ04_2_5",10,6,5,0,1,1,3
"2610",1,2012,"R3C10","CNJ04_2_10",6,4,3,0,2,0,1
"2758",1,2012,"R3C25","CNJ04_2_25",4,4,5,0,4,1,0
"2822",1,2012,"R3C31","CNJ04_2_31",8,3,4,0,3,0,1
"2955",1,2012,"R4C8","CNJ04_21_8",10,4,2,0,2,0,0
"3001",1,2012,"R4C13","CNJ04_21_13",6,3,4,0,3,1,0
"3010",1,2012,"R4C14","CNJ04_21_14",5,4,3,2,1,0,0
"3011",1,2012,"R4C14","CNJ04_21_14",6,5,4,2,1,0,1
"3138",1,2012,"R4C27","CNJ04_21_27",3,3,4,0,2,0,2
"3145",1,2012,"R4C27","CNJ04_21_27",10,5,4,0,1,3,0
"3182",1,2012,"R4C31","CNJ04_21_31",7,2,3,0,2,1,0
"3195",1,2012,"R4C32","CNJ04_21_32",10,4,3,0,2,1,0
"3241",1,2012,"R6C28","Stevens",6,5,4,0,4,0,0
"3384",2,2012,"R8C2","CNJ02_1_11",9,4,5,0,2,1,2
"3391",2,2012,"R8C3","CNJ02_1_12",6,4,5,1,2,2,0
"3470",2,2012,"R8C11","CNJ02_1_20",5,1,2,0,2,0,0
"3553",2,2012,"R8C19","CNJ02_1_28",8,7,6,0,3,0,3
"3595",2,2012,"R8C23","CNJ02_1_32",10,3,4,1,3,0,0
"3760",2,2012,"R8C40","CNJ02_1_49",5,4,7,0,3,1,3
"3763",2,2012,"R8C40","CNJ02_1_49",8,6,7,1,2,3,1
"3969",2,2012,"R9C7","CNJ02_1_70",4,2,5,0,3,1,1
"4138",2,2012,"R9C24","CNJ02_1_87",3,2,3,0,2,1,0
"4152",2,2012,"R9C25","CNJ02_1_88",7,4,6,1,1,2,2
"4153",2,2012,"R9C25","CNJ02_1_88",8,4,6,1,1,2,2
"4154",2,2012,"R9C25","CNJ02_1_88",9,3,5,0,1,2,2
"4155",2,2012,"R9C25","CNJ02_1_88",10,4,5,0,3,1,1
"4216",2,2012,"R9C32","CNJ02_1_95",1,4,5,0,3,2,0
"4265",2,2012,"R9C36","CNJ02_1_99",10,3,4,0,2,1,1
"4321",2,2012,"R9C42","CNJ02_1_105",6,5,4,0,2,1,1
"4324",2,2012,"R9C42","CNJ02_1_105",9,5,4,0,2,2,0
"4564",2,2012,"R10C13","CNJ02_1_129",9,1,3,0,1,2,0
"4618",2,2012,"R10C19","CNJ02_1_135",3,4,3,0,3,0,0
"4742",2,2012,"R10C31","CNJ02_1_147",7,1,4,0,3,0,1
"4879",2,2013,"R7C47","CNJ02_1_2",4,6,7,1,4,0,2
"4908",2,2013,"R7C50","CNJ02_1_5",3,8,7,3,3,0,1
"4914",2,2013,"R7C50","CNJ02_1_5",9,5,10,5,2,2,1
"4952",2,2013,"R7C54","CNJ02_1_9",7,8,9,3,3,2,1
"4963",2,2013,"R8C1","CNJ02_1_10",8,5,4,0,2,2,0
"5023",2,2013,"R8C7","CNJ02_1_16",8,6,5,0,4,1,0
"5025",2,2013,"R8C7","CNJ02_1_16",10,5,7,2,4,1,0
"5027",2,2013,"R8C8","CNJ02_1_17",2,5,4,2,1,1,0
"5043",2,2013,"R8C9","CNJ02_1_18",8,4,5,0,1,2,2
"5046",2,2013,"R8C10","CNJ02_1_19",1,4,3,1,0,2,0
