method,model,trait,chr,position,chr2,position2,nearest.marker,qtl.lod,marker.variance,qtl.pvalue,model.variance,interval.left,interval.marker.left,interval,interval.right,interval.marker.right,GLRpvalue,GxYLRpvalue,GZRpvalue,GxYZRpvalue,position.consensus
stepwiseqtl,2012,berry_length,2,53.330054,NA,NA,bin_2@53.33cM_scaffold_57248_610,11.0773060995827,11.3861283899581,1.4687240246225e-7,90.0230420413665,43.420044,scaffold_15222_4143,11.330013,54.750057,scaffold_104947_324,0.01934,NA,0.0124248304634159,NA,53.9651276721311
stepwiseqtl,2014,berry_length,2,28.810031,NA,NA,bin_2@28.81cM_scaffold_56893_1962,14.9287259658601,13.138744334238,4.14601020182204e-10,92.6606940008658,23.920026,scaffold_8659_3231,10.730007,34.650033,scaffold_50432_741,0.00811,NA,0.006817923774193,NA,28.3744702444444
stepwiseqtl,all-years,berry_length,2,43.300043,NA,NA,bin_2@43.3cM_scaffold_1741_1992,28.3049970226932,28.2778477330425,2.2204460492503099e-16,95.2848375895894,42.110042,scaffold_10951_6083,5.680003,47.790045,ct89348,1.15453912187644e-19,0.99828,4.45061761902219e-5,0.5,44.3457994393939
stepwiseqtl,2012,berry_length,3,33.360027,NA,NA,bin_3@33.36cM_scaffold_88664_663,12.9537857513887,14.3270732310704,8.45114656033985e-9,90.0230420413665,24.550018,scaffold_30651_1550,10.20001,34.750028,scaffold_113156_448,0.01934,NA,0.0124248304634159,NA,32.1342819361702
stepwiseqtl,2014,berry_length,5,41.750013,NA,NA,bin_5@41.75cM_scaffold_71631_1225,13.4897944397179,11.2103314691602,3.7320020407349805e-9,92.6606940008658,38.15001,scaffold_29013_2953,7.690008,45.840018,scaffold_19777_2512,0.00811,NA,0.006817923774193,NA,40.5585541111111
stepwiseqtl,2014,berry_length,7,14.310007,NA,NA,bin_7@14.31cM_scaffold_20071_618,16.1577317530836,14.9437804950095,6.32680574597089e-11,92.6606940008658,13.120005,scaffold_102182_407,1.490003,14.610008,scaffold_19490_4575,0.00811,NA,0.006817923774193,NA,13.1882150512821
stepwiseqtl,2012,berry_length,8,36.230028,NA,NA,bin_8@36.23cM_scaffold_51424_477,10.6529761190924,10.7720543972817,2.79685542947661e-7,90.0230420413665,28.750025,SCF92564,18.22001,46.970035,scaffold_40880_1057,0.01934,NA,0.0124248304634159,NA,36.4144662924528
stepwiseqtl,2014,berry_length,10,36.470037,NA,NA,bin_10@36.47cM_scaffold_11071_5921,13.1931657256198,10.8359626023574,5.86709014704923e-9,92.6606940008658,35.900035,scaffold_10256_1367,7.470011,43.370046,scaffold_31484_2758,0.00811,NA,0.006817923774193,NA,36.4144662924528
stepwiseqtl,all-years,berry_length,10,37.25004,NA,NA,bin_10@37.25cM_SCF7569,22.1042257579774,16.8287359184226,6.14175377222637e-13,95.2848375895894,36.020036,scaffold_18203_3098,3.010006,39.030042,scaffold_21027_3942,1.15453912187644e-19,0.99828,4.45061761902219e-5,0.5,36.4144662924528
stepwiseqtl,2012,berry_length,11,14.620012,NA,NA,bin_11@14.62cM_scaffold_57381_750,10.3158963507718,10.2968508542977,4.66309546309773e-7,90.0230420413665,9.570008,scaffold_125_21038,10.610007,20.180015,scaffold_72495_1231,0.01934,NA,0.0124248304634159,NA,13.1882150512821
