id,trait,model,chr,position,mean_marker_variance,population,method,study,interval_left,interval_right,count,model_count,study_count,trait_count,method_count,population_count
451,UBBL,2012,3,32.990028,41.9896554374154,cnj04,scanone,self,25.500019,40.480037,1,1,1,1,1,1
513+679,Tacy,2014,3,37.5700335,32.62136661129135,cnj04,scanone+stepwiseqtl,self,36.190032,38.950035,2,1,1,1,2,1
514+406+407+408+185+186+187,Tacy,2013+all-years+2012+2011,3,55.760054499999995,31.903787036308113,cnj04+cnj02,scanone+stepwiseqtl,self,52.940053,58.580056,7,4,1,1,2,2
664+506,USL,2012,9,87.63006,31.3974239459069,cnj04,scanone+stepwiseqtl,self,85.400056,89.860064,2,1,1,1,2,1
512+677,TA,2014,11,38.025035,30.433612573363597,cnj04,scanone+stepwiseqtl,self,37.360034,38.690036,2,1,1,1,2,1
494+655,PFR,2014,1,61.265058,30.3633984291518,cnj04,scanone+stepwiseqtl,self,58.280056,64.25006,2,1,1,1,2,1
662,URB,all-years,10,39.990042,29.3707418330101,cnj04,stepwiseqtl,self,36.020036,43.960048,1,1,1,1,1,1
344+141+142,UNB,all-years+2011,11,45.7700535,27.926871158621065,cnj02,scanone+stepwiseqtl,self,44.640053,46.900054,3,2,1,1,2,1
508,SFY,2011,6,80.9700905,27.534370216996,cnj04,scanone,self,79.240088,82.700093,1,1,1,1,1,1
537+450+449,UBBL,all-years+2011,1,11.770007,27.029696912175165,cnj04,scanone+stepwiseqtl,self,9.430005,14.110009,3,2,1,1,2,1
652+490+491+492+651,PAC,all-years+2012+2014,7,28.740025,26.578003562343163,cnj04,scanone+stepwiseqtl,self,24.330024,33.150026,5,3,1,1,2,1
473,UKUY,2012,12,52.1000305,26.216980317114,cnj04,scanone,self,46.970026,57.230035,1,1,1,1,1,1
40,UCD,2013,4,21.865021,26.0951681185881,cnj02,scanone,self,20.23002,23.500022,1,1,1,1,1,1
567,UCLS,2011,3,41.3200375,25.6951982367455,cnj04,stepwiseqtl,self,37.130034,45.510041,1,1,1,1,1,1
711,UMFM,2014,5,42.190014000000005,25.4622100739888,cnj04,stepwiseqtl,self,41.750013,42.630015,1,1,1,1,1,1
593,UKTO,all-years,2,57.725062,25.0046175218542,cnj04,stepwiseqtl,self,56.670059,58.780065,1,1,1,1,1,1
448+706+708+709+518+535+534,UBL+ULvW,all-years+2012+2014+2011,11,10.3200085,24.799835741051385,cnj04,scanone+stepwiseqtl,self,9.570008,11.070009,7,4,1,2,2,1
174+670+175,SFY,2012+2011,11,37.950039000000004,24.519296015719004,cnj04+cnj02,scanone+stepwiseqtl,self,37.210042,38.690036,3,2,1,1,2,2
465,UKLvW,2014,7,51.7800465,24.0160034622234,cnj04,scanone,self,46.010038,57.550055,1,1,1,1,1,1
660,URB,2014,5,31.265008,23.7908851732488,cnj04,stepwiseqtl,self,25.480007,37.050009,1,1,1,1,1,1
536,UBL,all-years,11,4.030002,23.6578372411587,cnj04,stepwiseqtl,self,1.19,6.870004,1,1,1,1,1,1
572,UCLS,2014,11,43.7550405,23.5605510681161,cnj04,stepwiseqtl,self,39.890039,47.620042,1,1,1,1,1,1
667,SFY,2012,6,34.2650395,23.2813393233498,cnj04,stepwiseqtl,self,28.170032,40.360047,1,1,1,1,1,1
207,UL,2013,9,85.65507600000001,23.0490886957586,cnj02,scanone,self,84.220074,87.090078,1,1,1,1,1,1
663,USL,2012,3,28.120022,22.9477036968215,cnj04,stepwiseqtl,self,21.490016,34.750028,1,1,1,1,1,1
