id,trait,model,chr,position,mean_marker_variance,population,method,study,interval_left,interval_right,count,model_count,study_count,trait_count,method_count,population_count
344,UNB,2011,11,45.185052999999996,27.2604034717796,cnj02,stepwiseqtl,self,43.470052,46.900054,1,1,1,1,1,1
408+406+407,Tacy,all-years+2012+2011,3,55.760054499999995,25.608921255294902,cnj02,stepwiseqtl,self,52.940053,58.580056,3,3,1,1,1,1
350,UNP,all-years,11,23.9750235,23.6831806850299,cnj02,stepwiseqtl,self,21.880021,26.070026,1,1,1,1,1,1
325,MFM,2012,10,31.115026,23.6489887326321,cnj02,stepwiseqtl,self,28.270022,33.96003,1,1,1,1,1,1
285,UKLvW,2013,11,19.56502,23.0908939813315,cnj02,stepwiseqtl,self,17.250019,21.880021,1,1,1,1,1,1
349,UNP,2013,11,32.855035,22.2391929678181,cnj02,stepwiseqtl,self,30.320034,35.390036,1,1,1,1,1,1
310,UKUY,2012,2,37.870033500000005,22.0786170665277,cnj02,stepwiseqtl,self,36.020031,39.720036,1,1,1,1,1,1
443,UL,all-years,6,39.700049,20.9183896767282,cnj02,stepwiseqtl,self,38.900048,40.50005,1,1,1,1,1,1
236+237+238,UBM,all-years+2012+2013,11,30.7750345,20.861423223867835,cnj02,stepwiseqtl,self,30.320034,31.230035,3,3,1,1,1,1
403,TA,2012,5,46.915033,20.6514552095366,cnj02,stepwiseqtl,self,45.18003,48.650036,1,1,1,1,1,1
324,MFM,2011,10,52.980056000000005,20.5278000317071,cnj02,stepwiseqtl,self,51.790055,54.170057,1,1,1,1,1,1
301,UKUX,2011,3,27.305024500000002,20.465217737052,cnj02,stepwiseqtl,self,25.970023,28.640026,1,1,1,1,1,1
364,PAC,2013,7,45.065055,20.4628806771229,cnj02,stepwiseqtl,self,42.590053,47.540057,1,1,1,1,1,1
302+303,UKUX,all-years+2012,3,29.450027499999997,19.92673648178085,cnj02,stepwiseqtl,self,28.640026,30.260029,2,2,1,1,1,1
226,UBL,2013,11,29.805034,19.9257905124305,cnj02,stepwiseqtl,self,28.380033,31.230035,1,1,1,1,1,1
265,UKEC,all-years,3,30.705028,19.258231066852,cnj02,stepwiseqtl,self,28.640026,32.77003,1,1,1,1,1,1
329+331,UNAB,all-years+2011,3,36.0650355,19.113525351896,cnj02,stepwiseqtl,self,35.940035,36.190036,2,2,1,1,1,1
440,UMFM,all-years,11,29.805034,18.5729444858927,cnj02,stepwiseqtl,self,28.380033,31.230035,1,1,1,1,1,1
255,UCLP,2011,10,52.980056000000005,18.1862253644014,cnj02,stepwiseqtl,self,51.790055,54.170057,1,1,1,1,1,1
330,UNAB,2013,3,40.1750445,18.0107496388145,cnj02,stepwiseqtl,self,39.270043,41.080046,1,1,1,1,1,1
243,UBW,all-years,10,25.660021999999998,17.8657987449515,cnj02,stepwiseqtl,self,21.51002,29.810024,1,1,1,1,1,1
381+382+383,URB,2011,1,30.690018000000002,17.6935423104576,cnj02,stepwiseqtl,self,29.700016,31.68002,3,1,1,1,1,1
267+269,UKEC,all-years+2011,8,56.7400595,17.539531668550097,cnj02,stepwiseqtl,self,54.640058,58.840061,2,2,1,1,1,1
359,UNS,2012,11,17.7350185,17.5014468056659,cnj02,stepwiseqtl,self,15.290017,20.18002,1,1,1,1,1,1
252,UCD,2013,4,26.7750275,17.4607474964053,cnj02,stepwiseqtl,self,26.490026,27.060029,1,1,1,1,1,1
300,UKTO,2012,12,46.6800295,17.4146734128387,cnj02,stepwiseqtl,self,44.600028,48.760031,1,1,1,1,1,1
297,UKTO,2013,9,81.065072,17.2988809907831,cnj02,stepwiseqtl,self,77.91007,84.220074,1,1,1,1,1,1
363,PAC,2013,2,15.370018,17.1670857409358,cnj02,stepwiseqtl,self,13.690016,17.05002,1,1,1,1,1,1
418,TY,2012,12,56.095039,17.0288224202294,cnj02,stepwiseqtl,self,54.960038,57.23004,1,1,1,1,1,1
377,PFR,2011,12,26.200015,16.974866977179,cnj02,stepwiseqtl,self,20.860014,31.540016,1,1,1,1,1,1
333,UNAB,2013,9,87.175078,16.9235001787062,cnj02,stepwiseqtl,self,87.010077,87.340079,1,1,1,1,1,1
394,SFY,2012,11,41.6650495,16.5129881936296,cnj02,stepwiseqtl,self,38.690046,44.640053,1,1,1,1,1,1
340,UNAF,2013,11,23.125023,16.4499516901352,cnj02,stepwiseqtl,self,20.18002,26.070026,1,1,1,1,1,1
327,MFM,all-years,11,27.090028500000003,16.3240935979364,cnj02,stepwiseqtl,self,23.860023,30.320034,1,1,1,1,1,1
432,ULvW,2011,11,77.485093,16.316991794658,cnj02,stepwiseqtl,self,75.640091,79.330095,1,1,1,1,1,1
355,UNS,all-years,6,51.4300755,16.2518450634,cnj02,stepwiseqtl,self,49.790074,53.070077,1,1,1,1,1,1
409,Tacy,all-years,7,33.8550445,16.0863624801906,cnj02,stepwiseqtl,self,29.450041,38.260048,1,1,1,1,1,1
384+385+386,URB,2011,7,51.760065,16.0851245272232,cnj02,stepwiseqtl,self,50.010061,53.510069,3,1,1,1,1,1
326,MFM,all-years,10,39.5600405,15.9775611119954,cnj02,stepwiseqtl,self,37.250038,41.870043,1,1,1,1,1,1
433,ULvW,2013,11,25.250027,15.8617119958791,cnj02,stepwiseqtl,self,20.18002,30.320034,1,1,1,1,1,1
338+341,UNAF,all-years+2011,11,9.115012499999999,15.839174597534502,cnj02,stepwiseqtl,self,8.660012,9.570013,2,2,1,1,1,1
216,BBITY,all-years,11,19.56502,15.7708579031811,cnj02,stepwiseqtl,self,17.250019,21.880021,1,1,1,1,1,1
396+397+398,SFY,all-years+2012+2011,12,40.355021,15.725932756424902,cnj02,stepwiseqtl,self,38.110019,42.600023,3,3,1,1,1,1
417,TY,2013,6,42.0150515,15.6934836624253,cnj02,stepwiseqtl,self,40.50005,43.530053,1,1,1,1,1,1
299,UKTO,all-years,11,8.220011,15.6785391208441,cnj02,stepwiseqtl,self,6.870009,9.570013,1,1,1,1,1,1
228,UBBL,2011,7,56.205074499999995,15.6525184883106,cnj02,stepwiseqtl,self,54.490072,57.920077,1,1,1,1,1,1
434,ULvW,all-years,11,81.035098,15.6181975399326,cnj02,stepwiseqtl,self,79.550096,82.5201,1,1,1,1,1,1
312,UKUY,2011,9,8.095007,15.5716345854193,cnj02,stepwiseqtl,self,4.550004,11.64001,1,1,1,1,1,1
273+270,UKEC,all-years+2011,9,80.4650715,15.558832309392951,cnj02,stepwiseqtl,self,80.040071,80.890072,2,2,1,1,1,1
435+436,UMFM,all-years+2011,3,45.15005,15.552978115567301,cnj02,stepwiseqtl,self,43.300049,47.000051,2,2,1,1,1,1
444,UL,2011,11,50.305059,15.5273257537405,cnj02,stepwiseqtl,self,44.640053,55.970065,1,1,1,1,1,1
320+323,MFM,all-years+2011,3,45.15005,15.50287529165645,cnj02,stepwiseqtl,self,43.300049,47.000051,2,2,1,1,1,1
367,PAC,2011,12,48.720032,15.4671406092781,cnj02,stepwiseqtl,self,46.97003,50.470034,1,1,1,1,1,1
374,PFR,2012,11,29.805034,15.3891514931465,cnj02,stepwiseqtl,self,28.380033,31.230035,1,1,1,1,1,1
277,UKLvW,all-years,3,30.705028,15.2442158822947,cnj02,stepwiseqtl,self,28.640026,32.77003,1,1,1,1,1,1
240,UBW,2013,4,30.825034,15.2217589301138,cnj02,stepwiseqtl,self,29.330033,32.320035,1,1,1,1,1,1
428,ULvW,2011,10,67.550068,15.173422066543,cnj02,stepwiseqtl,self,65.460067,69.640069,1,1,1,1,1,1
296,UKTO,2011,9,6.3850055,14.9793738634767,cnj02,stepwiseqtl,self,1.130001,11.64001,1,1,1,1,1,1
217+218,BBITY,all-years+2012,12,56.095039,14.873606823434152,cnj02,stepwiseqtl,self,54.960038,57.23004,2,2,1,1,1,1
257,UCLS,2013,2,46.355044,14.6064550566769,cnj02,stepwiseqtl,self,43.420042,49.290046,1,1,1,1,1,1
358,UNS,all-years,10,19.770016499999997,14.5869834633717,cnj02,stepwiseqtl,self,18.530015,21.010018,1,1,1,1,1,1
395,SFY,all-years,11,23.7350245,14.4908441274526,cnj02,stepwiseqtl,self,20.18002,27.290029,1,1,1,1,1,1
379,PFR,2013,12,41.3550235,14.4715153771921,cnj02,stepwiseqtl,self,38.110019,44.600028,1,1,1,1,1,1
291,UKSO,2011,11,45.185052999999996,14.4642120607325,cnj02,stepwiseqtl,self,43.470052,46.900054,1,1,1,1,1,1
426,ULvW,2013,5,31.1100185,14.4478243103499,cnj02,stepwiseqtl,self,26.360017,35.86002,1,1,1,1,1,1
368,PFR,2011,4,62.375063,14.4340988386572,cnj02,stepwiseqtl,self,59.880062,64.870064,1,1,1,1,1,1
280+279,UKLvW,2012+2011,8,51.945052000000004,14.4336863971286,cnj02,stepwiseqtl,self,50.160048,53.730056,2,2,1,1,1,1
400+401,TA,all-years+2013,2,50.370048999999995,14.4186948439475,cnj02,stepwiseqtl,self,48.260045,52.480053,2,2,1,1,1,1
281,UKLvW,all-years,8,56.7400595,14.3559665377474,cnj02,stepwiseqtl,self,54.640058,58.840061,1,1,1,1,1,1
298,UKTO,2011,11,57.465068,14.3547159878222,cnj02,stepwiseqtl,self,56.580066,58.35007,1,1,1,1,1,1
246,UBW,2013,12,57.12504,14.3248299224486,cnj02,stepwiseqtl,self,56.660039,57.590041,1,1,1,1,1,1
212,BBISFY,2012,12,56.2750395,14.1877568312548,cnj02,stepwiseqtl,self,54.960038,57.590041,1,1,1,1,1,1
256,UCLP,2012,11,39.440046,14.0609104114651,cnj02,stepwiseqtl,self,37.210042,41.67005,1,1,1,1,1,1
413,UTBM,all-years,6,30.060035,13.999113575271,cnj02,stepwiseqtl,self,28.210033,31.910037,1,1,1,1,1,1
354,UNS,2011,6,76.8550985,13.9782329337855,cnj02,stepwiseqtl,self,74.470097,79.2401,1,1,1,1,1,1
304,UKUX,2011,8,51.2850505,13.9260484146241,cnj02,stepwiseqtl,self,50.160048,52.410053,1,1,1,1,1,1
264,UCLS,2011,11,34.3650395,13.8906839131299,cnj02,stepwiseqtl,self,31.230035,37.500044,1,1,1,1,1,1
373+375,PFR,2013+2011,11,34.2200385,13.879481725914701,cnj02,stepwiseqtl,self,31.230035,37.210042,2,2,1,1,1,1
214,BBITY,2012,11,11.810013999999999,13.850441667815,cnj02,stepwiseqtl,self,9.570013,14.050015,1,1,1,1,1,1
232+230,UBM,all-years+2011,3,46.255050499999996,13.797333043720151,cnj02,stepwiseqtl,self,45.51005,47.000051,2,2,1,1,1,1
211,BBISFY,all-years,11,29.375033000000002,13.7366135440644,cnj02,stepwiseqtl,self,27.520031,31.230035,1,1,1,1,1,1
274,UKEC,2011,11,28.19503,13.7281564251846,cnj02,stepwiseqtl,self,26.070026,30.320034,1,1,1,1,1,1
321+322,MFM,2012+2013,3,29.155026499999998,13.722191037974849,cnj02,stepwiseqtl,self,28.640026,29.670027,2,2,1,1,1,1
378+380,PFR,all-years+2012,12,19.515012499999997,13.721259485955951,cnj02,stepwiseqtl,self,18.170011,20.860014,2,2,1,1,1,1
387+388+389,URB,2011,11,47.3500545,13.7066665672561,cnj02,stepwiseqtl,self,44.640053,50.060056,3,1,1,1,1,1
376,PFR,all-years,11,17.1150175,13.6674755696405,cnj02,stepwiseqtl,self,14.050015,20.18002,1,1,1,1,1,1
425,ULvW,2013,4,72.5400695,13.6196530324293,cnj02,stepwiseqtl,self,69.820068,75.260071,1,1,1,1,1,1
