marker,consensus,X1,X2,X3,X4,X5,X6,LG
scaffold_53968_1097,0,NA,NA,NA,NA,0,NA,1
scaffold_2652_11004,0,NA,NA,NA,NA,0,NA,1
scaffold_11414_3187,0,NA,NA,NA,NA,0,NA,1
scaffold_11414_3221,0,NA,NA,NA,NA,0,NA,1
scaffold_14462_3128,0,NA,NA,NA,NA,0,NA,1
scaffold_39065_3280,0,NA,NA,NA,NA,0,NA,1
scaffold_8248_6311,0,NA,NA,NA,NA,0,NA,1
scaffold_93931_607,0,NA,NA,NA,NA,0,NA,1
scaffold_1312_1044,0.45,NA,NA,NA,NA,0,0,1
SCF138607,0.45,NA,NA,NA,NA,0,0,1
scaffold_19157_2172,0.45,NA,NA,NA,NA,0,0,1
scaffold_23874_167,1.47,0,NA,NA,NA,NA,NA,1
scaffold_7138_290,1.47,0,NA,NA,NA,NA,0,1
scaffold_18618_147,1.47,0,NA,NA,NA,NA,NA,1
scaffold_33444_1678,1.47,0,NA,NA,NA,NA,0,1
scaffold_33444_1679,1.47,0,NA,NA,NA,NA,0,1
scaffold_48833_933,1.47,0,NA,NA,NA,NA,NA,1
scaffold_48833_935,1.47,0,NA,NA,NA,NA,NA,1
scaffold_48833_937,1.47,0,NA,NA,NA,NA,NA,1
scaffold_48833_951,1.47,0,NA,NA,NA,NA,NA,1
scaffold_54537_1893,1.47,0,NA,NA,NA,NA,NA,1
scaffold_54537_1898,1.47,0,NA,NA,NA,NA,NA,1
scaffold_54537_1937,1.47,0,NA,NA,NA,NA,NA,1
scaffold_54537_2005,1.47,0,NA,NA,NA,NA,NA,1
scaffold_54537_2035,1.47,0,NA,NA,NA,NA,NA,1
scaffold_54537_2052,1.47,0,NA,NA,NA,NA,NA,1
scaffold_7514_3882,1.47,0,NA,NA,NA,NA,0,1
scaffold_91922_297,1.47,0,NA,NA,NA,NA,0,1
scaffold_53968_1134,2.11,0,0,NA,NA,NA,NA,1
scaffold_109849_178,2.11,NA,0,NA,NA,0,NA,1
scaffold_7138_265,2.11,NA,0,NA,NA,0,0,1
scaffold_7138_268,2.11,NA,0,NA,NA,0,0,1
scaffold_7138_293,2.11,NA,0,NA,NA,0,0,1
scaffold_35314_2820,2.11,NA,NA,NA,NA,NA,0,1
scaffold_14462_3037,2.11,NA,NA,NA,NA,NA,0,1
scaffold_17891_4953,2.11,NA,NA,NA,NA,NA,0,1
scaffold_124213_198,2.9,1.43,0,NA,NA,NA,NA,1
scaffold_27699_4259,2.9,NA,0,NA,NA,NA,NA,1
scaffold_65323_1244,2.9,NA,0,NA,NA,NA,NA,1
scaffold_76130_520,2.9,NA,0,NA,NA,NA,NA,1
scaffold_16810_3436,2.9,NA,0,NA,NA,NA,NA,1
scaffold_16810_3459,2.9,NA,0,NA,NA,NA,NA,1
scaffold_16810_3463,2.9,NA,0,NA,NA,NA,NA,1
scaffold_16810_3565,2.9,NA,0,NA,NA,NA,NA,1
scaffold_16810_3591,2.9,NA,0,NA,NA,NA,NA,1
scaffold_16810_3636,2.9,NA,0,NA,NA,NA,NA,1
scaffold_65323_1295,2.9,NA,0,NA,NA,NA,NA,1
scaffold_8624_6846,2.9,NA,0,NA,NA,NA,NA,1
SCF4386,2.9,NA,0,NA,NA,NA,NA,1
scaffold_9628_2399,6.31,NA,3.41,NA,NA,NA,NA,1
scaffold_53968_1035,6.31,NA,3.41,NA,NA,NA,NA,1
scaffold_9628_2504,6.31,NA,3.41,NA,NA,NA,NA,1
scaffold_76161_1307,7.51,0,NA,NA,NA,NA,8.98,1
scaffold_11402_4025,7.51,0,NA,NA,NA,NA,8.98,1
scaffold_3169_10335,7.51,0,NA,NA,NA,NA,8.98,1
scaffold_103838_294,7.51,1.43,3.41,NA,NA,9.01,NA,1
scaffold_19502_3457,7.51,6.04,NA,NA,NA,NA,8.98,1
scaffold_11266_2720,7.51,6.04,NA,NA,NA,NA,NA,1
scaffold_32919_297,7.51,6.04,NA,NA,NA,NA,NA,1
scaffold_34590_3437,7.51,6.04,NA,NA,NA,NA,NA,1
scaffold_11648_1119,7.51,7.11,3.41,NA,NA,NA,8.98,1
scaffold_119801_313,7.51,NA,5.4,NA,NA,7.51,4.49,1
