marker,LG,Composite Map Position,[BGx(BLxNL)]95,GH1x35,Mullica Queen,Crimson Queen,Mullica Queen,Stevens,Polashock et al. (2014) scaffold,Predicted CDS
scaffold_53968_1097,1,0,NA,NA,NA,NA,0,NA,>scaffold_53968,NA
scaffold_2652_11004,1,0,NA,NA,NA,NA,0,NA,>scaffold_2652,g4810.t1
scaffold_11414_3187,1,0,NA,NA,NA,NA,0,NA,>scaffold_11414,g14278.t1
scaffold_11414_3221,1,0,NA,NA,NA,NA,0,NA,#N/A,#N/A
scaffold_14462_3128,1,0,NA,NA,NA,NA,0,NA,>scaffold_14462,NA
scaffold_39065_3280,1,0,NA,NA,NA,NA,0,NA,>scaffold_39065,NA
scaffold_8248_6311,1,0,NA,NA,NA,NA,0,NA,>scaffold_8248,g11307.t1
scaffold_93931_607,1,0,NA,NA,NA,NA,0,NA,>scaffold_93931,NA
scaffold_1312_1044,1,0.45,NA,NA,NA,NA,0,0,>scaffold_1312,g2746.t1
SCF138607,1,0.45,NA,NA,NA,NA,0,0,>scaffold_46600,g32052.t1
scaffold_19157_2172,1,0.45,NA,NA,NA,NA,0,0,>scaffold_19157,NA
scaffold_23874_167,1,1.47,0,NA,NA,NA,NA,NA,>scaffold_23874,g22986.t1
scaffold_7138_290,1,1.47,0,NA,NA,NA,NA,0,>scaffold_7138,NA
scaffold_18618_147,1,1.47,0,NA,NA,NA,NA,NA,>scaffold_18618,g19702.t1
scaffold_33444_1678,1,1.47,0,NA,NA,NA,NA,0,>scaffold_33444,NA
scaffold_33444_1679,1,1.47,0,NA,NA,NA,NA,0,#N/A,#N/A
scaffold_48833_933,1,1.47,0,NA,NA,NA,NA,NA,>scaffold_48833,NA
scaffold_48833_935,1,1.47,0,NA,NA,NA,NA,NA,#N/A,#N/A
scaffold_48833_937,1,1.47,0,NA,NA,NA,NA,NA,#N/A,#N/A
scaffold_48833_951,1,1.47,0,NA,NA,NA,NA,NA,#N/A,#N/A
scaffold_54537_1893,1,1.47,0,NA,NA,NA,NA,NA,>scaffold_54537,NA
scaffold_54537_1898,1,1.47,0,NA,NA,NA,NA,NA,#N/A,#N/A
scaffold_54537_1937,1,1.47,0,NA,NA,NA,NA,NA,#N/A,#N/A
scaffold_54537_2005,1,1.47,0,NA,NA,NA,NA,NA,#N/A,#N/A
scaffold_54537_2035,1,1.47,0,NA,NA,NA,NA,NA,#N/A,#N/A
scaffold_54537_2052,1,1.47,0,NA,NA,NA,NA,NA,#N/A,#N/A
scaffold_7514_3882,1,1.47,0,NA,NA,NA,NA,0,>scaffold_7514,g10585.t1
scaffold_91922_297,1,1.47,0,NA,NA,NA,NA,0,>scaffold_91922,NA
scaffold_53968_1134,1,2.11,0,0,NA,NA,NA,NA,#N/A,#N/A
scaffold_109849_178,1,2.11,NA,0,NA,NA,0,NA,>scaffold_109849,NA
scaffold_7138_265,1,2.11,NA,0,NA,NA,0,0,#N/A,#N/A
scaffold_7138_268,1,2.11,NA,0,NA,NA,0,0,#N/A,#N/A
scaffold_7138_293,1,2.11,NA,0,NA,NA,0,0,#N/A,#N/A
scaffold_35314_2820,1,2.11,NA,NA,NA,NA,NA,0,>scaffold_35314,NA
scaffold_14462_3037,1,2.11,NA,NA,NA,NA,NA,0,#N/A,#N/A
scaffold_17891_4953,1,2.11,NA,NA,NA,NA,NA,0,>scaffold_17891,NA
scaffold_124213_198,1,2.9,1.43,0,NA,NA,NA,NA,>scaffold_124213,NA
scaffold_27699_4259,1,2.9,NA,0,NA,NA,NA,NA,>scaffold_27699,NA
scaffold_65323_1244,1,2.9,NA,0,NA,NA,NA,NA,>scaffold_65323,NA
scaffold_76130_520,1,2.9,NA,0,NA,NA,NA,NA,>scaffold_76130,NA
scaffold_16810_3436,1,2.9,NA,0,NA,NA,NA,NA,>scaffold_16810,NA
scaffold_16810_3459,1,2.9,NA,0,NA,NA,NA,NA,#N/A,#N/A
scaffold_16810_3463,1,2.9,NA,0,NA,NA,NA,NA,#N/A,#N/A
scaffold_16810_3565,1,2.9,NA,0,NA,NA,NA,NA,#N/A,#N/A
scaffold_16810_3591,1,2.9,NA,0,NA,NA,NA,NA,#N/A,#N/A
scaffold_16810_3636,1,2.9,NA,0,NA,NA,NA,NA,#N/A,#N/A
scaffold_65323_1295,1,2.9,NA,0,NA,NA,NA,NA,#N/A,#N/A
scaffold_8624_6846,1,2.9,NA,0,NA,NA,NA,NA,>scaffold_8624,g11662.t1
SCF4386,1,2.9,NA,0,NA,NA,NA,NA,>scaffold_60518,NA
scaffold_9628_2399,1,6.31,NA,3.41,NA,NA,NA,NA,>scaffold_9628,g12623.t1
scaffold_53968_1035,1,6.31,NA,3.41,NA,NA,NA,NA,#N/A,#N/A
scaffold_9628_2504,1,6.31,NA,3.41,NA,NA,NA,NA,#N/A,#N/A
scaffold_76161_1307,1,7.51,0,NA,NA,NA,NA,8.98,>scaffold_76161,NA
scaffold_11402_4025,1,7.51,0,NA,NA,NA,NA,8.98,>scaffold_11402,NA
scaffold_3169_10335,1,7.51,0,NA,NA,NA,NA,8.98,>scaffold_3169,g5534.t1
scaffold_103838_294,1,7.51,1.43,3.41,NA,NA,9.01,NA,>scaffold_103838,NA
scaffold_19502_3457,1,7.51,6.04,NA,NA,NA,NA,8.98,>scaffold_19502,NA
scaffold_11266_2720,1,7.51,6.04,NA,NA,NA,NA,NA,>scaffold_11266,NA
scaffold_32919_297,1,7.51,6.04,NA,NA,NA,NA,NA,>scaffold_32919,g27347.t1
scaffold_34590_3437,1,7.51,6.04,NA,NA,NA,NA,NA,>scaffold_34590,g28013.t1
scaffold_11648_1119,1,7.51,7.11,3.41,NA,NA,NA,8.98,>scaffold_11648,g14472.t1
scaffold_119801_313,1,7.51,NA,5.4,NA,NA,7.51,4.49,>scaffold_119801,NA
scaffold_2968_8231,1,7.51,NA,NA,NA,NA,7.51,8.98,>scaffold_2968,g5233.t1
scaffold_59245_719,1,8.9,NA,NA,0,NA,NA,NA,>scaffold_59245,NA
scaffold_81081_492,1,8.9,NA,NA,0,NA,NA,NA,>scaffold_81081,NA
scaffold_9160_2298,1,9.43,NA,5.4,NA,NA,NA,8.98,>scaffold_9160,g12179.t1
