id,trait,model,chr,position,mean_marker_variance,population,method,study,interval_left,interval_right,count,model_count,study_count,trait_count,method_count,population_count
344+141+142,UNB,all-years+2011,11,45.7700535,27.926871158621065,cnj02,scanone+stepwiseqtl,self,44.640053,46.900054,3,2,1,1,2,1
406+407+408+185+186+187,Tacy,all-years+2012+2013+2011,3,55.760054499999995,27.886389496733383,cnj02,scanone+stepwiseqtl,self,52.940053,58.580056,6,4,1,1,2,1
40,UCD,2013,4,21.865021,26.0951681185881,cnj02,scanone,self,20.23002,23.500022,1,1,1,1,1,1
207,UL,2013,9,85.65507600000001,23.0490886957586,cnj02,scanone,self,84.220074,87.090078,1,1,1,1,1,1
147+349,UNP,2013,11,32.855035,22.916540171764098,cnj02,scanone+stepwiseqtl,self,30.320034,35.390036,2,1,1,1,2,1
100+101+302+303,UKUX,all-years+2012+2011,3,29.450027499999997,22.861288941199696,cnj02,scanone+stepwiseqtl,self,28.640026,30.260029,4,3,1,1,2,1
106+310,UKUY,2012,2,37.870033500000005,22.552226088227947,cnj02,scanone+stepwiseqtl,self,36.020031,39.720036,2,1,1,1,2,1
329+331+131+132,UNAB,all-years+2011,3,36.0650355,22.288701082192077,cnj02,scanone+stepwiseqtl,self,35.940035,36.190036,4,2,1,1,2,1
148+350+340,UNP+UNAF,all-years+2013,11,23.9750235,21.46008174113747,cnj02,scanone+stepwiseqtl,self,21.880021,26.070026,3,2,1,2,2,1
138+338+341,UNAF,all-years+2011,11,9.115012499999999,20.907183996632867,cnj02,scanone+stepwiseqtl,self,8.660012,9.570013,3,2,1,1,2,1
52,UCLS,2011,1,41.6200345,20.6816738820705,cnj02,scanone,self,37.460031,45.780038,1,1,1,1,1,1
324,MFM,2011,10,52.980056000000005,20.5278000317071,cnj02,stepwiseqtl,self,51.790055,54.170057,1,1,1,1,1,1
41,UCD,all-years,4,40.185047,20.4967977907073,cnj02,scanone,self,35.640043,44.730051,1,1,1,1,1,1
301,UKUX,2011,3,27.305024500000002,20.465217737052,cnj02,stepwiseqtl,self,25.970023,28.640026,1,1,1,1,1,1
364,PAC,2013,7,45.065055,20.4628806771229,cnj02,stepwiseqtl,self,42.590053,47.540057,1,1,1,1,1,1
160+162+374,PFR,all-years+2012+2011,11,30.7750345,20.387993838142602,cnj02,scanone+stepwiseqtl,self,30.320034,31.230035,3,3,1,1,2,1
157,PAC,2013,7,58.7600765,20.3643564043877,cnj02,scanone,self,55.500073,62.02008,1,1,1,1,1,1
8,BBITY,2012,11,34.1950395,19.3745449413166,cnj02,scanone,self,30.320034,38.070045,1,1,1,1,1,1
184,TA,2011,11,52.42006000000001,19.2426536664195,cnj02,scanone,self,50.060056,54.780064,1,1,1,1,1,1
128+33+130+34+416+191+327+201+236+238+244+440+127+415,UBM+UTBM+UMFM+MFM+UBW,2013+all-years+2012+2011,11,29.350033500000002,18.92667495133977,cnj02,scanone+stepwiseqtl,self,28.380033,30.320034,14,4,1,5,2,1
143,UN0,2013,3,39.105042499999996,18.4799649739146,cnj02,scanone,self,37.130039,41.080046,1,1,1,1,1,1
43+44+45,UCD,all-years+2012+2011,7,46.085055499999996,18.2108559243113,cnj02,scanone,self,42.590053,49.580058,3,3,1,1,1,1
48+49,UCLP,all-years+2011,7,29.275041,18.056825471759453,cnj02,scanone,self,25.820039,32.730043,2,2,1,1,1,1
330,UNAB,2013,3,40.1750445,18.0107496388145,cnj02,stepwiseqtl,self,39.270043,41.080046,1,1,1,1,1,1
403+183,TA,2012,5,46.915033,17.9451195671187,cnj02,scanone+stepwiseqtl,self,45.18003,48.650036,2,1,1,1,2,1
24+228,UBBL,2011,7,54.9950725,17.8528186385682,cnj02,scanone+stepwiseqtl,self,54.490072,55.500073,2,1,1,1,2,1
192+31,UBM+UTBM,all-years+2013,11,43.6200515,17.802921712755648,cnj02,scanone,self,40.340049,46.900054,2,2,1,2,1,1
123,MFM,2013,3,37.3050385,17.6680447157928,cnj02,scanone,self,35.340034,39.270043,1,1,1,1,1,1
216+9,BBITY,all-years,11,19.56502,17.634876377023097,cnj02,scanone+stepwiseqtl,self,17.250019,21.880021,2,1,1,1,2,1
359,UNS,2012,11,17.7350185,17.5014468056659,cnj02,stepwiseqtl,self,15.290017,20.18002,1,1,1,1,1,1
252,UCD,2013,4,26.7750275,17.4607474964053,cnj02,stepwiseqtl,self,26.490026,27.060029,1,1,1,1,1,1
300,UKTO,2012,12,46.6800295,17.4146734128387,cnj02,stepwiseqtl,self,44.600028,48.760031,1,1,1,1,1,1
94,UKTO,2011,9,51.455044,17.3117495435904,cnj02,scanone,self,44.630038,58.28005,1,1,1,1,1,1
297,UKTO,2013,9,81.065072,17.2988809907831,cnj02,stepwiseqtl,self,77.91007,84.220074,1,1,1,1,1,1
363,PAC,2013,2,15.370018,17.1670857409358,cnj02,stepwiseqtl,self,13.690016,17.05002,1,1,1,1,1,1
377,PFR,2011,12,26.200015,16.974866977179,cnj02,stepwiseqtl,self,20.860014,31.540016,1,1,1,1,1,1
433+275+75+76+285,UKEC+UKLvW+ULvW,all-years+2013,11,21.0300205,16.96105149835122,cnj02,scanone+stepwiseqtl,self,20.18002,21.880021,5,2,1,3,2,1
394+158+175,PAC+SFY,2012,11,43.1550515,16.684415035775867,cnj02,scanone+stepwiseqtl,self,41.67005,44.640053,3,1,1,2,2,1
233+437+126,UBM+UMFM+MFM,all-years+2011,10,35.2850335,16.6748150781632,cnj02,scanone+stepwiseqtl,self,33.96003,36.610037,3,2,1,3,2,1
177+178+179+196+396+397+398,SFY+TY,2013+all-years+2012+2011,12,40.355021,16.5941309495532,cnj02,scanone+stepwiseqtl,self,38.110019,42.600023,7,4,1,2,2,1
243+325+189+200+27+28+125,UBM+UTBM+UMFM+MFM+UBW,2013+all-years+2012+2011,10,29.390023499999998,16.528336937947497,cnj02,scanone+stepwiseqtl,self,28.970023,29.810024,7,4,1,5,2,1
443+205+206,UL,all-years+2012,6,39.700049,16.350739282301035,cnj02,scanone+stepwiseqtl,self,38.900048,40.50005,3,2,1,1,2,1
432,ULvW,2011,11,77.485093,16.316991794658,cnj02,stepwiseqtl,self,75.640091,79.330095,1,1,1,1,1,1
355,UNS,all-years,6,51.4300755,16.2518450634,cnj02,stepwiseqtl,self,49.790074,53.070077,1,1,1,1,1,1
312+110,UKUY,2011,9,8.240008,16.2280369691507,cnj02,scanone+stepwiseqtl,self,4.840006,11.64001,2,1,1,1,2,1
29,UBM,2011,11,52.110060000000004,16.1983902973608,cnj02,scanone,self,50.630058,53.590062,1,1,1,1,1,1
380+378+164,PFR,all-years+2012,12,19.515012499999997,16.145278823757234,cnj02,scanone+stepwiseqtl,self,18.170011,20.860014,3,2,1,1,2,1
409,Tacy,all-years,7,33.8550445,16.0863624801906,cnj02,stepwiseqtl,self,29.450041,38.260048,1,1,1,1,1,1
384+385+386,URB,2011,7,51.760065,16.0851245272232,cnj02,stepwiseqtl,self,50.010061,53.510069,3,1,1,1,1,1
133,UNAB,2011,7,33.8550445,16.0648310735435,cnj02,scanone,self,29.450041,38.260048,1,1,1,1,1,1
1,BBISFY,2012,3,34.7750335,15.8972719757384,cnj02,scanone,self,33.360031,36.190036,1,1,1,1,1,1
379+163,PFR,2013,12,41.3550235,15.849798367484599,cnj02,scanone+stepwiseqtl,self,38.110019,44.600028,2,1,1,1,2,1
418+195+159,PAC+TY,2012+2011,12,56.095039,15.789067454970434,cnj02,scanone+stepwiseqtl,self,54.960038,57.23004,3,2,1,2,2,1
50+255,UCLP,2011,10,52.980056000000005,15.740850034190599,cnj02,scanone+stepwiseqtl,self,51.790055,54.170057,2,1,1,1,2,1
208+444,UL,2011,11,47.425055,15.69358081772765,cnj02,scanone+stepwiseqtl,self,44.640053,50.210057,2,1,1,1,2,1
417,TY,2013,6,42.0150515,15.6934836624253,cnj02,stepwiseqtl,self,40.50005,43.530053,1,1,1,1,1,1
217+10+11+218,BBITY,all-years+2012,12,56.095039,15.68373304994725,cnj02,scanone+stepwiseqtl,self,54.960038,57.23004,4,2,1,1,2,1
299,UKTO,all-years,11,8.220011,15.6785391208441,cnj02,stepwiseqtl,self,6.870009,9.570013,1,1,1,1,1,1
434,ULvW,all-years,11,81.035098,15.6181975399326,cnj02,stepwiseqtl,self,79.550096,82.5201,1,1,1,1,1,1
56+260,UCLS,all-years,3,60.400057000000004,15.510488645192499,cnj02,scanone+stepwiseqtl,self,58.580056,62.220058,2,1,1,1,2,1
98+99,UKUX,all-years+2012,2,50.370048999999995,15.4756453286009,cnj02,scanone,self,48.260045,52.480053,2,2,1,1,1,1
367,PAC,2011,12,48.720032,15.4671406092781,cnj02,stepwiseqtl,self,46.97003,50.470034,1,1,1,1,1,1
129+245+439+202+190+237+30,UBM+UTBM+UMFM+MFM+UBW,2013+all-years+2012+2011,11,38.3800455,15.363902326412415,cnj02,scanone+stepwiseqtl,self,38.070045,38.690046,7,4,1,5,2,1
39,UCD,2012,4,51.635057,15.3058553081052,cnj02,scanone,self,46.850055,56.420059,1,1,1,1,1,1
333+135,UNAB,2013,9,87.175078,15.27447118776185,cnj02,scanone+stepwiseqtl,self,87.010077,87.340079,2,1,1,1,2,1
80+65+277+265+63+78+79,UKEC+UKLvW,all-years+2012+2011,3,30.705028,15.257231878669073,cnj02,scanone+stepwiseqtl,self,28.640026,32.77003,7,3,1,2,2,1
240,UBW,2013,4,30.825034,15.2217589301138,cnj02,stepwiseqtl,self,29.330033,32.320035,1,1,1,1,1,1
26+323+230+121+122+124,UBM+MFM,all-years+2012+2011,3,42.9550475,15.173819932085848,cnj02,scanone+stepwiseqtl,self,42.860047,43.050048,6,3,1,2,2,1
428,ULvW,2011,10,67.550068,15.173422066543,cnj02,stepwiseqtl,self,65.460067,69.640069,1,1,1,1,1,1
92,UKTO,2013,3,34.480033,15.1489317077715,cnj02,scanone,self,32.77003,36.190036,1,1,1,1,1,1
83+69+281+267+269,UKEC+UKLvW,all-years+2011,8,56.7400595,15.130168115342542,cnj02,scanone+stepwiseqtl,self,54.640058,58.840061,5,2,1,2,2,1
58,UCLS,2012,5,34.6200205,15.06683764736,cnj02,scanone,self,31.090019,38.150022,1,1,1,1,1,1
