method,trait,chr,model,position,nearest_marker,qtl_lod,marker_variance,interval_left,interval_right,population,study,id
scanone,BBISFY,2,all-years,42.11004,bin_2@42.11cM_scaffold_20649_2180,10.1849000599344,11.2278087382736,40.850037,47.400043,cnj02,self,0
scanone,BBISFY,3,2012,34.750032,bin_3@34.75cM_scaffold_113156_448,13.7882459811804,15.8972719757384,33.360031,36.190036,cnj02,self,1
scanone,BBISFY,10,all-years,79.070077,bin_10@79.07cM_SCF201915,9.31699978902459,10.144213490906,76.350075,84.11008,cnj02,self,2
scanone,BBISFY,11,2012,20.18002,bin_11@20.18cM_scaffold_72495_1231,12.7609452118336,14.463676896347,17.250019,21.880021,cnj02,self,3
scanone,BBISFY,11,all-years,38.070045,bin_11@38.07cM_scaffold_7181_4242,13.766539136513,15.9825688410769,28.380033,38.690046,cnj02,self,4
scanone,BBISFY,12,2012,54.960038,bin_12@54.96cM_scaffold_2841_5173,13.3996827178589,15.349637758882,54.390037,57.590041,cnj02,self,5
scanone,BBITY,6,all-years,75.660098,bin_6@75.66cM_scaffold_7268_8243,9.48805741478725,11.048202233896,66.770091,79.2401,cnj02,self,6
scanone,BBITY,10,2012,38.730041,bin_10@38.73cM_scaffold_21095_4928,14.1359666653196,13.2213234076291,34.870032,44.990047,cnj02,self,7
scanone,BBITY,11,2012,35.390036,bin_11@35.39cM_scaffold_1773_837,19.0612513375028,19.3745449413166,30.320034,38.070045,cnj02,self,8
scanone,BBITY,11,all-years,23.860023,bin_11@23.86cM_scaffold_101041_374,15.3765346585018,19.4988948508651,17.250019,27.990032,cnj02,self,9
scanone,BBITY,12,2012,54.390037,bin_12@54.39cM_scaffold_70077_1397,16.497536835559,16.0541660331891,50.470034,57.590041,cnj02,self,10
scanone,BBITY,12,all-years,57.23004,bin_12@57.23cM_scaffold_5160_1395,13.6872875985862,16.9335525197316,54.960038,58.930042,cnj02,self,11
scanone,BBITBM,2,all-years,58.090065,bin_2@58.09cM_scaffold_6617_6407,15.5253632776546,13.0549191725708,56.670061,58.160066,cnj02,self,12
scanone,BBITBM,4,all-years,26.770027,bin_4@26.77cM_scaffold_4724_2880,13.5503915116967,11.070054203355,18.580019,32.880036,cnj02,self,13
scanone,BBITBM,9,2012,80.040071,bin_9@80.04cM_ct154206,8.53808405552769,10.1553105422594,75.260066,84.220074,cnj02,self,14
scanone,BBITBM,12,2012,56.660039,bin_12@56.66cM_SCF116567,10.6000988250712,13.0396400772805,50.470034,57.590041,cnj02,self,15
scanone,BBITBM,12,all-years,53.770035,bin_12@53.77cM_SCF69698,14.3090674825605,11.8198471328936,50.470034,57.23004,cnj02,self,16
scanone,UBL,2,2012,74.700085,bin_2@74.7cM_scaffold_47218_1068,11.1151204559101,13.5902151555558,67.310081,82.19009,cnj02,self,17
scanone,UBL,8,2013,20.010019,bin_8@20.01cM_scaffold_32841_3152,9.85572467448829,12.608304158076,14.950016,27.560028,cnj02,self,18
scanone,UBL,9,2012,3.370003,bin_9@3.37cM_SCF125251,8.652195285588,10.1612109113796,1.130001,6.820007,cnj02,self,19
scanone,UBL,10,2012,52.800056,bin_10@52.8cM_scaffold_4545_1974,10.2767826948292,12.3934227724934,50.000054,61.460062,cnj02,self,20
scanone,UBL,10,2013,51.790055,bin_10@51.79cM_scaffold_6929_8428,10.2425816658954,13.1864365638271,47.54005,54.170057,cnj02,self,21
scanone,UBL,10,all-years,51.790055,bin_10@51.79cM_scaffold_6929_8428,11.3958822919469,15.0311194664523,47.54005,54.170057,cnj02,self,22
scanone,UBBL,5,2011,47.120032,bin_5@47.12cM_scaffold_19438_3420,17.5277324552319,11.5665902921735,44.110028,48.310035,cnj02,self,23
scanone,UBBL,7,2011,54.490072,bin_7@54.49cM_scaffold_11311_2457,26.5309152436095,20.0531187888258,52.400067,55.500073,cnj02,self,24
scanone,UBBL,7,all-years,68.540087,bin_7@68.54cM_scaffold_49549_2235,10.7747850209454,15.6021133688002,59.000078,70.330089,cnj02,self,25
scanone,UBM,3,2011,45.51005,bin_3@45.51cM_scaffold_12440_4793,22.8835114403036,18.9356929292689,41.080046,52.940053,cnj02,self,26
scanone,UBM,10,2011,35.900034,bin_10@35.9cM_scaffold_10256_1367,16.5328371976459,12.4427829541333,28.270022,37.250038,cnj02,self,27
