"marker","chr","pos"
"SCAFFOLD00228_558729"," 9"," 94.7819184"
"SCAFFOLD00052_273059"," 9"," 94.7818184"
"SCAFFOLD00035.2_20651"," 9"," 94.1934434"
"SCAFFOLD00052_949788"," 9"," 94.1935434"
"SCAFFOLD00052_290320"," 9"," 93.0167771"
"SCAFFOLD00035.1_260902"," 9"," 93.0166771"
"SCAFFOLD00052_1669571"," 9"," 92.4275021"
"SCAFFOLD00035.1_439711"," 9"," 92.4274021"
"SCAFFOLD00240_635610"," 9"," 92.4276021"
"SCAFFOLD00240_635578"," 9"," 92.4279021"
"SCAFFOLD00161_432944"," 9"," 92.4284021"
"SCAFFOLD00069_704362"," 9"," 92.4280021"
"SCAFFOLD00069_1482772"," 9"," 92.4283021"
"SCAFFOLD00069_203813"," 9"," 92.4278021"
"SCAFFOLD00161_932372"," 9"," 92.4282021"
"SCAFFOLD00161_994410"," 9"," 92.4277021"
"SCAFFOLD00161_629822"," 9"," 92.4281021"
"SCAFFOLD00364_200785"," 9"," 91.8390271"
"SCAFFOLD00161_631176"," 9"," 91.8391271"
"SCAFFOLD00309_53485"," 9"," 91.2506521"
"SCAFFOLD00273_463682"," 9"," 91.2500521"
"SCAFFOLD00057.1_879034"," 9"," 91.2502521"
"SCAFFOLD00069_704398"," 9"," 91.2501521"
"SCAFFOLD00069_704376"," 9"," 91.2503521"
"SCAFFOLD00069_1545880"," 9"," 91.2504521"
"SCAFFOLD00069_965384"," 9"," 91.2505521"
"SCAFFOLD00134_1047492"," 9"," 91.2507521"
"SCAFFOLD00035.2_949282"," 9"," 90.0733836"
"SCAFFOLD00052_1985276"," 9"," 89.4849109"
"SCAFFOLD00035.2_1019515"," 9"," 89.4850109"
"SCAFFOLD00035.2_572082"," 9"," 89.4851109"
"SCAFFOLD00035.2_1171659"," 9"," 88.3081446"
"SCAFFOLD00228_657039"," 9"," 88.3082446"
"SCAFFOLD00052_1352675"," 9"," 87.7198696"
"SCAFFOLD00052_1618719"," 9"," 87.1315946"
"SCAFFOLD00041.2_288602"," 9"," 86.5433218"
"SCAFFOLD00041.2_288705"," 9"," 85.3666510"
"SCAFFOLD00228_305330"," 9"," 84.7783805"
"SCAFFOLD00214_270179"," 9"," 83.6017120"
"SCAFFOLD00035.2_1145967"," 9"," 83.6015120"
"SCAFFOLD00186_218638"," 9"," 83.6016120"
"SCAFFOLD00304_216923"," 9"," 83.6014120"
"SCAFFOLD00022.2_2101316"," 9"," 81.8360029"
"SCAFFOLD00041.2_674928"," 9"," 78.3007165"
"SCAFFOLD00175.1_57123"," 9"," 76.5353096"
"SCAFFOLD00175.1_229142"," 9"," 74.1806450"
"SCAFFOLD00175.2_174576"," 9"," 72.4152428"
"SCAFFOLD00326_90742"," 9"," 67.6953787"
"SCAFFOLD00139_648052"," 9"," 66.5187285"
"SCAFFOLD00139_739632"," 9"," 64.7533148"
"SCAFFOLD00086_1650153"," 9"," 61.8087509"
"SCAFFOLD00086_1006197"," 9"," 58.2734667"
"SCAFFOLD00086_1269911"," 9"," 57.0967096"
"SCAFFOLD00202_727739"," 9"," 57.0968096"
"SCAFFOLD00202_596915"," 9"," 55.3312892"
"SCAFFOLD00202_471941"," 9"," 54.7430278"
"SCAFFOLD00170_425395"," 9"," 51.7984575"
"SCAFFOLD00170_535450"," 9"," 51.7983575"
"SCAFFOLD00058.1_549027"," 9"," 50.6214913"
"SCAFFOLD00058.2_241950"," 9"," 50.6213913"
"SCAFFOLD00013.1_1504771"," 9"," 50.6216913"
"SCAFFOLD00058.2_241856"," 9"," 50.6215913"
"SCAFFOLD00058.1_789428"," 9"," 49.4447251"
"SCAFFOLD00058.1_789416"," 9"," 49.4446251"
"SCAFFOLD00058.1_553389"," 9"," 48.2677588"
"SCAFFOLD00053_750639"," 9"," 48.2679588"
"SCAFFOLD00285_284730"," 9"," 48.2678588"
"SCAFFOLD00001.1_28000"," 9"," 47.0910971"
"SCAFFOLD00116_739407"," 9"," 44.7364280"
"SCAFFOLD00116_694597"," 9"," 43.5597662"
"SCAFFOLD00116_1052759"," 9"," 42.3830999"
"SCAFFOLD00116_739475"," 9"," 41.2064336"
"SCAFFOLD00117_87005"," 9"," 40.0297673"
"SCAFFOLD00117_1103687"," 9"," 38.8531009"
"SCAFFOLD00117_1246299"," 9"," 37.6764369"
"SCAFFOLD00183_398518"," 9"," 35.9110278"
"SCAFFOLD00240_487058"," 9"," 31.7840342"
"SCAFFOLD00008_4272889"," 9"," 31.1957798"
"SCAFFOLD00008_3432865"," 9"," 28.8411085"
"SCAFFOLD00008_3118728"," 9"," 27.6644467"
"SCAFFOLD00008_3073784"," 9"," 26.4877805"
"SCAFFOLD00008_2352221"," 9"," 26.4876805"
"SCAFFOLD00008_1637204"," 9"," 24.7222691"
"SCAFFOLD00008_1168008"," 9"," 21.7776940"
"SCAFFOLD00270_322582"," 9"," 21.1893281"
"SCAFFOLD00195_460058"," 9"," 21.1894281"
"SCAFFOLD00008_1298018"," 9"," 20.0126640"
"SCAFFOLD00008_516308"," 9"," 18.2472503"
"SCAFFOLD00020.2_1781585"," 9"," 15.3026752"
"SCAFFOLD00020.2_1977923"," 9"," 14.7144093"
"SCAFFOLD00020.2_1499362"," 9"," 14.1261387"
"SCAFFOLD00020.2_184032"," 9"," 12.3606183"
