marker,consensus,LG
scaffold_426_4354,0,1
scaffold_42029_822,0,1
SCF3551,0,1
scaffold_3612_3319,2.979178921,1
scaffold_55219_1486,2.979178921,1
scaffold_31849_429,6.550887268,1
scaffold_62395_1380,6.550887268,1
scaffold_24552_1898,6.550887268,1
scaffold_62395_1781,6.550887268,1
scaffold_1696_10596,12.51780024,1
scaffold_7031_3957,12.51780024,1
scaffold_37334_1854,12.51780024,1
scaffold_37334_3131,12.51780024,1
scaffold_97035_932,12.51780024,1
scaffold_7031_3963,12.51780024,1
scaffold_7031_3989,12.51780024,1
scaffold_16222_2345,12.51780024,1
scaffold_16222_2363,12.51780024,1
scaffold_23101_1174,12.51780024,1
scaffold_23101_1209,12.51780024,1
scaffold_37334_1887,12.51780024,1
scaffold_37334_1895,12.51780024,1
scaffold_62258_1328,12.51780024,1
SCF43220,13.11306646,1
scaffold_7154_809,13.11306646,1
scaffold_15113_397,13.11306646,1
scaffold_15113_423,13.11306646,1
SCF3914,13.70833267,1
scaffold_86507_811,13.70833267,1
SCF124322,13.70833267,1
SCF111370,13.70833267,1
scaffold_90664_544,14.30359889,1
scaffold_44369_1307,14.30359889,1
scaffold_90664_610,14.30359889,1
scaffold_16102_1339,17.87604043,1
scaffold_57172_1336,17.87604043,1
SCF142441,22.65240346,1
162108_K70,22.65240346,1
scaffold_9500_1040,26.82875557,1
scaffold_9500_1026,26.82875557,1
scaffold_9500_1042,26.82875557,1
scaffold_58358_2203,29.80818126,1
scaffold_18380,34.57657523,1
scaffold_3916_8681,37.54360393,1
SCF121995,37.54360393,1
scaffold_3916_8762,37.54360393,1
scaffold_3916_8718,37.54360393,1
scaffold_3916_8685,37.54360393,1
242569_K70,39.32459865,1
scaffold_15888_4098,39.32459865,1
scaffold_15888_1770,39.32459865,1
scaffold_15888_1791,39.32459865,1
scaffold_29472_3905,42.30358354,1
scaffold_22145_997,42.30358354,1
scaffold_17674_2425,42.30358354,1
1trimcontig440230,47.07996446,1
scaffold_62235_1297,51.25631658,1
scaffold_81148_991,54.83383767,1
scaffold_5332_2697,57.21659216,1
scf11l,63.44353294,1
scaffold_22_11172,63.44353294,1
scaffold_22_11196,63.44353294,1
scaffold_78314_1267,68.21986337,1
scaffold_93026_936,68.21986337,1
scaffold_20176_1206,75.37899878,1
1trimcontig179737,75.37899878,1
1trimcontig239742,79.54708172,1
SCF149633,79.54708172,1
scaffold_25202_2628,80.14234793,1
scf8l,80.73761415,1
scaffold_1825_2668,80.73761415,1
scaffold_1825_2736,83.71497693,1
scaffold_21342_3504,88.48046131,1
scaffold_33830_310,88.48046131,1
scaffold_75017_350,92.05794199,1
scaffold_30424_1045,92.05794199,1
scaffold_75017_368,92.05794199,1
scaffold_75017_369,92.05794199,1
scaffold_134769_24,92.05794199,1
scaffold_134769_26,92.05794199,1
scaffold_134769_48,92.05794199,1
scaffold_75017_264,95.03615301,1
scaffold_12748_4086,95.03615301,1
SCF23691,95.03615301,1
SCF39242,95.03615301,1
scaffold_75017_271,95.03615301,1
SCF69981,97.41755546,1
vm89040,99.20402956,1
SCF29735,99.20402956,1
scaffold_2363_13188,100.3947308,1
scaffold_2363_13195,100.3947308,1
scaffold_8541_630,100.3947308,1
SCF172019,106.9796935,1
scaffold_48000_2071,106.9796935,1
SCF153722,106.9796935,1
scaffold_50439_2370,106.9796935,1
vm28527,0,2
scaffold_55806_2202,0,2
scf1p,0,2
1trimcontig440337,1.7864741,2
KAN-11325_188,2.381740317,2
SCF102538,2.381740317,2
scaffold_92400_851,6.014754178,2
1trimcontig326802,10.23561135,2
scf2505a,15.80729243,2
scaffold_60441_1041,20.51260758,2
scaffold_8319_2283,20.51260758,2
SCF107477,24.68048413,2
scaffold_135908_399,24.68048413,2
scaffold_54259,28.25199355,2
scaffold_37046,28.25199355,2
36394_K70,33.62977804,2
scaffold_2111_5324,40.20597919,2
scaffold_12153_3062,40.20597919,2
SCF8850,40.20597919,2
scaffold_2111_5344,40.20597919,2
scaffold_12153_3075,40.20597919,2
scaffold_88867_763,40.80124541,2
SCF92564,41.99194664,2
scaffold_64256_140,41.99194664,2
scaffold_51424_477,54.0676726,2
scaffold_48718_487,57.09920997,2
scaffold_9117_993,57.09920997,2
scaffold_9117_925,57.09920997,2
scaffold_9117_954,57.09920997,2
SCF77645,57.09920997,2
scaffold_9117_957,57.09920997,2
scaffold_9117_1000,57.09920997,2
scaffold_112042_455,57.69447618,2
scaffold_21953_4193,57.69447618,2
SCF71184,59.48095028,2
scaffold_68225_846,63.6572596,2
scaffold_40880_1057,63.6572596,2
scaffold_13234_3890,66.0395143,2
scaffold_19566_4605,67.22672327,2
scaffold_34921_1026,67.22672327,2
scaffold_34921_1071,67.22672327,2
scaffold_30561_1958,67.22672327,2
scaffold_34921_1172,67.22672327,2
SCF142767,67.82198949,2
scaffold_48237,67.82198949,2
SCF197903,67.82198949,2
SCF64632,68.4172557,2
SCF82870,68.4172557,2
SCF54155,69.60778814,2
scaffold_67983_1364,69.60778814,2
scaffold_18446_63,69.60778814,2
scaffold_67225_1449,69.60778814,2
SCF127023,69.60778814,2
scaffold_126870_338,73.18530908,2
SCF30010,76.16502201,2
scaffold_46999_2563,76.16502201,2
SCF189612,79.14398005,2
scaffold_11726_3057,79.73924627,2
vm13884,80.92994749,2
scaffold_53844_1279,80.92994749,2
Pr031818828_179,80.92994749,2
scaffold_2876_8520,82.71591494,2
scaffold_108_8874,82.71591494,2
scaffold_932_9501,83.90661616,2
scaffold_932_9467,83.90661616,2
scaffold_68878_1743,89.86350442,2
scaffold_37461_3312,92.24555768,2
scaffold_25396_1327,92.24555768,2
scaffold_12609_6206,93.4362589,2
scaffold_58152_507,93.4362589,2
SCF172149,97.01378,2
scaffold_2175_6019,97.01378,2
scaffold_2175_6126,97.62066443,2
scaffold_17469_2953,102.4369473,2
scaffold_88816_801,102.5371358,2
scaffold_2412_5491,110.2811261,2
ct89379,110.2811261,2
Ig6523b,111.4718274,2
scaffold_74170_1008,111.4718274,2
scaffold_19702_448,111.4718274,2
scaffold_21550_579,112.0670936,2
scaffold_21550_518,112.0670936,2
scaffold_21550_542,112.0670936,2
scf45d,0,3
1trimcontig328266,0,3
scaffold_16942_3323,0,3
SCF125251,6.583291179,3
scf55c,6.583291179,3
SCF61189,6.583291179,3
1trimcontig439861,10.74449479,3
scaffold_10258_1783,16.10393406,3
scaffold_614_11943,16.10393406,3
scaffold_13813_4139,16.10393406,3
SCF11802,16.10393406,3
scaffold_3406_2136,16.69225845,3
scaffold_26405_1611,24.49103309,3
SCF141985,24.49103309,3
1trimcontig238343,24.49103309,3
214102_K63,24.49103309,3
scaffold_444_4247,29.2550707,3
scaffold_5282_2230,31.63647315,3
scaffold_4922_2193,34.01922765,3
scaffold_36997_758,34.01922765,3
scaffold_4922_2218,34.01922765,3
scf21n,36.40198214,3
scaffold_26793_1933,36.40198214,3
scaffold_8155_3594,36.40198214,3
Pr031818814,38.17962331,3
SCF136207,38.17962331,3
scaffold_3365_2593,38.17962331,3
scf6i,38.77488953,3
SCF56032,38.77488953,3
scaffold_71_9387,38.77488953,3
scaffold_22894_4102,38.77488953,3
Ig1296a,38.77488953,3
scaffold_28599_2618,38.77488953,3
scaffold_56350_923,43.55126983,3
scaffold_19050_2248,43.55126983,3
SCF118468,45.33774393,3
scf275d,48.91524416,3
scaffold_12738_3868,48.91524416,3
scaffold_9114_6439,50.10594538,3
scaffold_9114_6484,50.10594538,3
scaffold_98423_683,50.10594538,3
scaffold_98423_717,50.10594538,3
scaffold_2866_662,51.29664661,3
scaffold_2866_1048,51.29664661,3
scaffold_2866_1049,51.29664661,3
scaffold_2866_7913,51.29664661,3
scaffold_48462_1064,55.4658752,3
scf35k,59.04339571,3
309124_K70,59.04339571,3
scf13a,59.04339571,3
scaffold_49889_117,59.04339571,3
scaffold_16137_2835,60.82986981,3
scaffold_72724_1068,60.82986981,3
NA619,65.59417367,3
scaffold_103203_439,65.59417367,3
scaffold_103203_440,65.59417367,3
scaffold_23339_1008,67.37506481,3
scaffold_74624_182,69.16153891,3
scaffold_51678_1380,69.16153891,3
scaffold_37146_830,69.16153891,3
scaffold_31978_561,75.12101328,3
SCF155797,79.8973942,3
scaffold_17741_2859,83.47491529,3
scaffold_17741_2943,83.47491529,3
VCC_J9,87.05243639,3
ct154206,90.62724752,3
scaffold_30128_1137,94.80359963,3
scaffold_2924_1269,94.80359963,3
scaffold_6147_6091,96.58939828,3
scaffold_6147_6056,96.58939828,3
scaffold_15378_527,96.58939828,3
scaffold_6147_6103,96.58939828,3
scaffold_6147_6123,96.58939828,3
scaffold_15378_550,96.58939828,3
scaffold_57514_1484,99.55484855,3
KAN-11281,100.1617069,3
scaffold_18559_4426,100.1617069,3
1trimcontig352078,100.1617069,3
scaffold_21323_449,100.1617069,3
407841_K63,100.1617069,3
scaffold_111292_465,100.1617069,3
scaffold_160418_71,100.1617069,3
