method,trait,chr,model,position,nearest_marker,qtl_lod,marker_variance,interval_left,interval_right,population,study,count,id
stepwiseqtl,BL,2,2014,58.09,bin_2@58.09cM_scaffold_6617_6407,,7.75,56.14,60.040000000000006,gryg,diazGarcia2018_image,1,743
stepwiseqtl,BL,6,2014,2.19,bin_6@2.19cM_SCF109269,,7.61,1.25,3.13,gryg,diazGarcia2018_image,1,744
stepwiseqtl,BL,10,2014,44.43,bin_10@44.43cM_scaffold_46144_2710,,6.4,40.325,48.535,gryg,diazGarcia2018_image,1,745
stepwiseqtl,BL,11,2014,81.23,bin_11@81.23cM_scaffold_2449_1103,,11.3,78.53,83.93,gryg,diazGarcia2018_image,1,746
stepwiseqtl,BL,12,2014,49.4,bin_12@49.4cM_scaffold_40948_2457,,8.95,47.004999999999995,51.795,gryg,diazGarcia2018_image,1,747
stepwiseqtl,BW,1,2014,105.72,bin_1@105.72cM_scaffold_75017_350,,16.28,103.535,107.905,gryg,diazGarcia2018_image,1,748
stepwiseqtl,BW,7,2014,60.62,bin_7@60.62cM_scaffold_94354_1052,,8.62,56.464999999999996,64.77499999999999,gryg,diazGarcia2018_image,1,749
stepwiseqtl,BW,9,2014,84.22,bin_9@84.22cM_scaffold_30128_1137,,8.47,81.12,87.32,gryg,diazGarcia2018_image,1,750
stepwiseqtl,BA,1,2014,101.6,bin_1@101.6cM_scaffold_29057_3354,,10.75,99.21499999999999,103.985,gryg,diazGarcia2018_image,1,751
stepwiseqtl,BA,2,2014,54.47,bin_2@54.47cM_scaffold_5394_8263,,9.83,49.31,59.629999999999995,gryg,diazGarcia2018_image,1,752
stepwiseqtl,BA,6,2014,2.19,bin_6@2.19cM_SCF109269,,8.21,1.25,3.13,gryg,diazGarcia2018_image,1,753
stepwiseqtl,BA,9,2014,88.8,bin_9@88.8cM_scaffold_78646_1274,,6.17,86.42999999999999,91.17,gryg,diazGarcia2018_image,1,754
stepwiseqtl,BA,10,2014,44.43,bin_10@44.43cM_scaffold_46144_2710,,6.19,42.705,46.155,gryg,diazGarcia2018_image,1,755
stepwiseqtl,BA,11,2014,79.75,bin_11@79.75cM_scaffold_27128_4325,,9.59,77.05,82.45,gryg,diazGarcia2018_image,1,756
stepwiseqtl,EC,1,2014,106.17,bin_1@106.17cM_scaffold_32417_1191,,7.85,101.125,111.215,gryg,diazGarcia2018_image,1,757
stepwiseqtl,EC,2,2014,62.07,bin_2@62.07cM_scaffold_20695_3165,,7.11,59.795,64.345,gryg,diazGarcia2018_image,1,758
stepwiseqtl,EC,12,2014,40.53,bin_12@40.53cM_scaffold_3092_8217,,8.85,35.455,45.605000000000004,gryg,diazGarcia2018_image,1,759
stepwiseqtl,LvW,1,2014,106.17,bin_1@106.17cM_scaffold_32417_1191,,9.67,101.125,111.215,gryg,diazGarcia2018_image,1,760
stepwiseqtl,LvW,2,2014,59.23,bin_2@59.23cM_scaffold_2711_7365,,9.84,57.279999999999994,61.18,gryg,diazGarcia2018_image,1,761
stepwiseqtl,LvW,11,2014,81.23,bin_11@81.23cM_scaffold_2449_1103,,8.53,76.685,85.775,gryg,diazGarcia2018_image,1,762
stepwiseqtl,PH_PC1,1,2014,105.72,bin_1@105.72cM_scaffold_75017_350,,16.95,103.395,108.045,gryg,diazGarcia2018_image,1,763
stepwiseqtl,PH_PC1,2,2014,19.17,bin_2@19.17cM_scaffold_4235_7663,,7.48,13.500000000000002,24.840000000000003,gryg,diazGarcia2018_image,1,764
