method,trait,chr,model,position,nearest_marker,qtl_lod,marker_variance,interval_left,interval_right,population,study,id,count
CIM,MFM,6,all-years,74.47,SCF171621,5.16***,9.3,79.54,74.47,cnj02,schlautman,841,
CIM,MFM,10,all-years,39.03,SCF35507,5.51***,10.0,44.99,39.03,cnj02,schlautman,842,
CIM,MFM,11,all-years,11.07,SCF122746,5.24***,9.5,8.3,13.447659574468085,cnj02,schlautman,843,
CIM,MFM,11,all-years,84.31,SCF118608,5.15***,9.3,81.03802739726027,84.31,cnj02,schlautman,844,
CIM,MFM,10,2011,39.03,SCF35507,6.07***,11.5,44.99,39.03,cnj02,schlautman,845,
CIM,MFM,11,2011,39.89,SCF21596,5.08***,9.5,37.5,46.33166666666666,cnj02,schlautman,846,
CIM,MFM,11,2011,84.31,SCF118608,4.68**,8.7,81.03802739726027,84.31,cnj02,schlautman,847,
CIM,MFM,10,2012,31.73,SCF172906,4.59**,10.6,34.87,31.73,cnj02,schlautman,848,
CIM,MFM,11,2012,11.07,SCF122746,3.99*,9.2,8.3,13.447659574468085,cnj02,schlautman,849,
CIM,TY,4,all-years,77.19,SCF11084,6.65***,11.8,77.19,83.27940397350991,cnj02,schlautman,850,
CIM,TY,6,all-years,42.97,1TRIMCONTIG344502,4.29**,7.6,45.8,36.007433155080214,cnj02,schlautman,851,
CIM,TY,11,all-years,23.86,SCF204332,4.8**,8.6,14.62,23.86,cnj02,schlautman,852,
CIM,TY,11,2012,23.86,SCF204332,6.79***,11.9,14.62,23.86,cnj02,schlautman,853,
CIM,BBITY,11,all-years,23.86,SCF204332,6.37***,15.3,14.62,23.86,cnj02,schlautman,854,
stepwiseqtl,BL,2,2014,58.09,bin_2@58.09cM_scaffold_6617_6407,,7.75,56.14,60.040000000000006,gryg,diazGarcia2018_image,743,1.0
stepwiseqtl,BL,6,2014,2.19,bin_6@2.19cM_SCF109269,,7.61,1.25,3.13,gryg,diazGarcia2018_image,744,1.0
stepwiseqtl,BL,10,2014,44.43,bin_10@44.43cM_scaffold_46144_2710,,6.4,40.325,48.535,gryg,diazGarcia2018_image,745,1.0
stepwiseqtl,BL,11,2014,81.23,bin_11@81.23cM_scaffold_2449_1103,,11.3,78.53,83.93,gryg,diazGarcia2018_image,746,1.0
stepwiseqtl,BL,12,2014,49.4,bin_12@49.4cM_scaffold_40948_2457,,8.95,47.004999999999995,51.795,gryg,diazGarcia2018_image,747,1.0
stepwiseqtl,BW,1,2014,105.72,bin_1@105.72cM_scaffold_75017_350,,16.28,103.535,107.905,gryg,diazGarcia2018_image,748,1.0
stepwiseqtl,BW,7,2014,60.62,bin_7@60.62cM_scaffold_94354_1052,,8.62,56.464999999999996,64.77499999999999,gryg,diazGarcia2018_image,749,1.0
stepwiseqtl,BW,9,2014,84.22,bin_9@84.22cM_scaffold_30128_1137,,8.47,81.12,87.32,gryg,diazGarcia2018_image,750,1.0
stepwiseqtl,BA,1,2014,101.6,bin_1@101.6cM_scaffold_29057_3354,,10.75,99.21499999999999,103.985,gryg,diazGarcia2018_image,751,1.0
stepwiseqtl,BA,2,2014,54.47,bin_2@54.47cM_scaffold_5394_8263,,9.83,49.31,59.629999999999995,gryg,diazGarcia2018_image,752,1.0
stepwiseqtl,BA,6,2014,2.19,bin_6@2.19cM_SCF109269,,8.21,1.25,3.13,gryg,diazGarcia2018_image,753,1.0
stepwiseqtl,BA,9,2014,88.8,bin_9@88.8cM_scaffold_78646_1274,,6.17,86.42999999999999,91.17,gryg,diazGarcia2018_image,754,1.0
stepwiseqtl,BA,10,2014,44.43,bin_10@44.43cM_scaffold_46144_2710,,6.19,42.705,46.155,gryg,diazGarcia2018_image,755,1.0
stepwiseqtl,BA,11,2014,79.75,bin_11@79.75cM_scaffold_27128_4325,,9.59,77.05,82.45,gryg,diazGarcia2018_image,756,1.0
stepwiseqtl,EC,1,2014,106.17,bin_1@106.17cM_scaffold_32417_1191,,7.85,101.125,111.215,gryg,diazGarcia2018_image,757,1.0
stepwiseqtl,EC,2,2014,62.07,bin_2@62.07cM_scaffold_20695_3165,,7.11,59.795,64.345,gryg,diazGarcia2018_image,758,1.0
stepwiseqtl,EC,12,2014,40.53,bin_12@40.53cM_scaffold_3092_8217,,8.85,35.455,45.605000000000004,gryg,diazGarcia2018_image,759,1.0
stepwiseqtl,LvW,1,2014,106.17,bin_1@106.17cM_scaffold_32417_1191,,9.67,101.125,111.215,gryg,diazGarcia2018_image,760,1.0
stepwiseqtl,LvW,2,2014,59.23,bin_2@59.23cM_scaffold_2711_7365,,9.84,57.279999999999994,61.18,gryg,diazGarcia2018_image,761,1.0
stepwiseqtl,LvW,11,2014,81.23,bin_11@81.23cM_scaffold_2449_1103,,8.53,76.685,85.775,gryg,diazGarcia2018_image,762,1.0
stepwiseqtl,PH_PC1,1,2014,105.72,bin_1@105.72cM_scaffold_75017_350,,16.95,103.395,108.045,gryg,diazGarcia2018_image,763,1.0
stepwiseqtl,PH_PC1,2,2014,19.17,bin_2@19.17cM_scaffold_4235_7663,,7.48,13.500000000000002,24.840000000000003,gryg,diazGarcia2018_image,764,1.0
stepwiseqtl,PH_PC1,2,2014,63.49,bin_2@63.49cM_scaffold_209315_135,,7.5,60.49,66.49000000000001,gryg,diazGarcia2018_image,765,1.0
stepwiseqtl,PH_PC1,11,2014,75.64,bin_11@75.64cM_scaffold_28041_700,,7.37,74.305,76.975,gryg,diazGarcia2018_image,766,1.0
stepwiseqtl,PH_PC2,1,2014,105.72,bin_1@105.72cM_scaffold_75017_350,,7.31,103.63,107.81,gryg,diazGarcia2018_image,767,1.0
stepwiseqtl,PH_PC2,2,2014,57.45,bin_2@57.45cM_SCF125667,,7.86,56.74,58.160000000000004,gryg,diazGarcia2018_image,768,1.0
stepwiseqtl,PH_PC2,9,2014,85.12,bin_9@85.12cM_scaffold_52643_2159,,6.16,81.345,88.89500000000001,gryg,diazGarcia2018_image,769,1.0
stepwiseqtl,PH_PC2,10,2014,35.42,bin_10@35.42cM_scaffold_2979_9917,,8.87,33.335,37.505,gryg,diazGarcia2018_image,770,1.0
stepwiseqtl,PH_PC2,12,2014,54.96,bin_12@54.96cM_scaffold_2841_5173,,7.88,51.865,58.055,gryg,diazGarcia2018_image,771,1.0
stepwiseqtl,BL,2,2015,21.4,bin_2@21.4cM_scaffold_8019_6341,,6.31,16.729999999999997,26.07,gryg,diazGarcia2018_image,772,1.0
stepwiseqtl,BL,11,2015,14.62,bin_11@14.62cM_scaffold_57381_750,,10.36,12.79,16.45,gryg,diazGarcia2018_image,773,1.0
stepwiseqtl,BL,11,2015,79.33,bin_11@79.33cM_scaffold_56695_1863,,18.73,77.27499999999999,81.385,gryg,diazGarcia2018_image,774,1.0
