"method","model","trait","chr","position","chr2","position2","nearest_marker","qtl_lod","marker_variance","qtl_pvalue","model_variance","interval_left","interval_marker_left","interval","interval_right","interval_marker_right","GLRpvalue","GxYLRpvalue","GZRpvalue","GxYZRpvalue","position_consensus","genotype","effect_mean","effect_se","AvB","CvD","Int"
"scanone","2012","BBI_SFY",3,34.750032,NA,NA,"bin_3@34.75cM_scaffold_113156_448",13.7882459811804,15.8972719757384,5.23603382873716e-12,70.3284658023223,33.360031,"X82171_K70",2.830005,36.190036,"scaffold_57453_1060",0.28109,Inf,0.17679960575614,Inf,34.750032,"AD",-0.00621072099660978,0.00352256654458318,0.00464668966890076,0.0359209668706925,-0.00472435048176231
"scanone","2012","BBI_SFY",3,34.750032,NA,NA,"bin_3@34.75cM_scaffold_113156_448",13.7882459811804,15.8972719757384,5.23603382873716e-12,70.3284658023223,33.360031,"X82171_K70",2.830005,36.190036,"scaffold_57453_1060",0.28109,Inf,0.17679960575614,Inf,34.750032,"BD",-0.0108962410719413,0.00370809005073635,0.00464668966890076,0.0359209668706925,-0.00472435048176231
"scanone","2012","BBI_SFY",3,34.750032,NA,NA,"bin_3@34.75cM_scaffold_113156_448",13.7882459811804,15.8972719757384,5.23603382873716e-12,70.3284658023223,33.360031,"X82171_K70",2.830005,36.190036,"scaffold_57453_1060",0.28109,Inf,0.17679960575614,Inf,34.750032,"AC",0.0093875871978553,0.00405107503653873,0.00464668966890076,0.0359209668706925,-0.00472435048176231
"scanone","2012","BBI_SFY",3,34.750032,NA,NA,"bin_3@34.75cM_scaffold_113156_448",13.7882459811804,15.8972719757384,5.23603382873716e-12,70.3284658023223,33.360031,"X82171_K70",2.830005,36.190036,"scaffold_57453_1060",0.28109,Inf,0.17679960575614,Inf,34.750032,"BC",0.00942641760428608,0.00361175955947068,0.00464668966890076,0.0359209668706925,-0.00472435048176231
"scanone","2012","BBI_SFY",12,54.960038,NA,NA,"bin_12@54.96cM_scaffold_2841_5173",13.3996827178589,15.349637758882,1.12956310971413e-11,70.3284658023223,54.390037,"scaffold_70077_1397",3.200004,57.590041,"scaffold_9105_1938",0.28109,Inf,0.17679960575614,Inf,54.960038,"BC",-0.00264359465860488,0.00377638034823919,-0.0139771525927349,-0.0274962372608955,-0.00115892743036768
"scanone","2012","BBI_SFY",12,54.960038,NA,NA,"bin_12@54.96cM_scaffold_2841_5173",13.3996827178589,15.349637758882,1.12956310971413e-11,70.3284658023223,54.390037,"scaffold_70077_1397",3.200004,57.590041,"scaffold_9105_1938",0.28109,Inf,0.17679960575614,Inf,54.960038,"BD",0.010525060256659,0.00372635985697268,-0.0139771525927349,-0.0274962372608955,-0.00115892743036768
"scanone","2012","BBI_SFY",12,54.960038,NA,NA,"bin_12@54.96cM_scaffold_2841_5173",13.3996827178589,15.349637758882,1.12956310971413e-11,70.3284658023223,54.390037,"scaffold_70077_1397",3.200004,57.590041,"scaffold_9105_1938",0.28109,Inf,0.17679960575614,Inf,54.960038,"AD",0.00411594767547543,0.0041256819408119,-0.0139771525927349,-0.0274962372608955,-0.00115892743036768
"scanone","2012","BBI_SFY",12,54.960038,NA,NA,"bin_12@54.96cM_scaffold_2841_5173",13.3996827178589,15.349637758882,1.12956310971413e-11,70.3284658023223,54.390037,"scaffold_70077_1397",3.200004,57.590041,"scaffold_9105_1938",0.28109,Inf,0.17679960575614,Inf,54.960038,"AC",-0.0102116346701562,0.00354447523075058,-0.0139771525927349,-0.0274962372608955,-0.00115892743036768
"scanone","2012","BBI_SFY",11,20.18002,NA,NA,"bin_11@20.18cM_scaffold_72495_1231",12.7609452118336,14.463676896347,3.99418276231245e-11,70.3284658023223,17.250019,"scaffold_26864_4373",4.630002,21.880021,"scaffold_1122_2182",0.28109,Inf,0.17679960575614,Inf,20.18002,"BD",0.014439509056459,0.00368137636881653,-0.0371226413867609,-0.0161812567068122,0.00705570419341766
"scanone","2012","BBI_SFY",11,20.18002,NA,NA,"bin_11@20.18cM_scaffold_72495_1231",12.7609452118336,14.463676896347,3.99418276231245e-11,70.3284658023223,17.250019,"scaffold_26864_4373",4.630002,21.880021,"scaffold_1122_2182",0.28109,Inf,0.17679960575614,Inf,20.18002,"BC",0.0028210286063441,0.00373316966806396,-0.0371226413867609,-0.0161812567068122,0.00705570419341766
"scanone","2012","BBI_SFY",11,20.18002,NA,NA,"bin_11@20.18cM_scaffold_72495_1231",12.7609452118336,14.463676896347,3.99418276231245e-11,70.3284658023223,17.250019,"scaffold_26864_4373",4.630002,21.880021,"scaffold_1122_2182",0.28109,Inf,0.17679960575614,Inf,20.18002,"AD",-0.00764966373363027,0.00456591072003415,-0.0371226413867609,-0.0161812567068122,0.00705570419341766
"scanone","2012","BBI_SFY",11,20.18002,NA,NA,"bin_11@20.18cM_scaffold_72495_1231",12.7609452118336,14.463676896347,3.99418276231245e-11,70.3284658023223,17.250019,"scaffold_26864_4373",4.630002,21.880021,"scaffold_1122_2182",0.28109,Inf,0.17679960575614,Inf,20.18002,"AC",-0.0122124399903275,0.00368426386975613,-0.0371226413867609,-0.0161812567068122,0.00705570419341766
"scanone","2012","BBI_SFY",6,11.650015,NA,NA,"bin_6@11.65cM_scaffold_42330_2535",9.2826710631141,9.93633721642349,3.78509561471674e-08,70.3284658023223,7.850012,"scaffold_430_12130",8.030005,15.880017,"scaffold_78853_330",0.28109,Inf,0.17679960575614,Inf,11.650015,"AD",-0.00525566903099139,0.00390128912006775,-0.0222957415829247,-0.0154950915685754,0.0161891663305096
"scanone","2012","BBI_SFY",6,11.650015,NA,NA,"bin_6@11.65cM_scaffold_42330_2535",9.2826710631141,9.93633721642349,3.78509561471674e-08,70.3284658023223,7.850012,"scaffold_430_12130",8.030005,15.880017,"scaffold_78853_330",0.28109,Inf,0.17679960575614,Inf,11.650015,"BD",0.0139867849257258,0.00401986380945787,-0.0222957415829247,-0.0154950915685754,0.0161891663305096
"scanone","2012","BBI_SFY",6,11.650015,NA,NA,"bin_6@11.65cM_scaffold_42330_2535",9.2826710631141,9.93633721642349,3.78509561471674e-08,70.3284658023223,7.850012,"scaffold_430_12130",8.030005,15.880017,"scaffold_78853_330",0.28109,Inf,0.17679960575614,Inf,11.650015,"AC",-0.00490863165002428,0.00351971850071077,-0.0222957415829247,-0.0154950915685754,0.0161891663305096
"scanone","2012","BBI_SFY",6,11.650015,NA,NA,"bin_6@11.65cM_scaffold_42330_2535",9.2826710631141,9.93633721642349,3.78509561471674e-08,70.3284658023223,7.850012,"scaffold_430_12130",8.030005,15.880017,"scaffold_78853_330",0.28109,Inf,0.17679960575614,Inf,11.650015,"BC",-0.00185534402381674,0.00382213251226739,-0.0222957415829247,-0.0154950915685754,0.0161891663305096
"scanone","2012","BBI_SFY",10,38.730041,NA,NA,"bin_10@38.73cM_scaffold_21095_4928",6.3491244978455,6.48101969960485,1.16660220443876e-05,70.3284658023223,32.910029,"scaffold_12381_1637",12.840019,45.750048,"SCF107715",0.28109,Inf,0.17679960575614,Inf,38.730041,"AC",-0.00189039513153896,0.00428298555561191,-0.0220252395292051,0.0199286088920312,-0.00161536725529677
"scanone","2012","BBI_SFY",10,38.730041,NA,NA,"bin_10@38.73cM_scaffold_21095_4928",6.3491244978455,6.48101969960485,1.16660220443876e-05,70.3284658023223,32.910029,"scaffold_12381_1637",12.840019,45.750048,"SCF107715",0.28109,Inf,0.17679960575614,Inf,38.730041,"BD",-0.000842079812952006,0.00355089041861267,-0.0220252395292051,0.0199286088920312,-0.00161536725529677
"scanone","2012","BBI_SFY",10,38.730041,NA,NA,"bin_10@38.73cM_scaffold_21095_4928",6.3491244978455,6.48101969960485,1.16660220443876e-05,70.3284658023223,32.910029,"scaffold_12381_1637",12.840019,45.750048,"SCF107715",0.28109,Inf,0.17679960575614,Inf,38.730041,"BC",0.00992990826071199,0.00347827565757205,-0.0220252395292051,0.0199286088920312,-0.00161536725529677
"scanone","2012","BBI_SFY",10,38.730041,NA,NA,"bin_10@38.73cM_scaffold_21095_4928",6.3491244978455,6.48101969960485,1.16660220443876e-05,70.3284658023223,32.910029,"scaffold_12381_1637",12.840019,45.750048,"SCF107715",0.28109,Inf,0.17679960575614,Inf,38.730041,"AD",-0.0110470159499062,0.00411872796332273,-0.0220252395292051,0.0199286088920312,-0.00161536725529677
"scanone","2012","BBI_SFY",4,12.510013,NA,NA,"bin_4@12.51cM_scaffold_9204_4798",6.0521991844252,6.14853974442514,2.07512475527416e-05,70.3284658023223,7.750008,"scaffold_14868_593",77.350075,85.100083,"SCF145739",0.28109,Inf,0.17679960575614,Inf,12.510013,"BD",-0.00437966895836284,0.00406124723814614,-0.0142073394106752,0.0198551535586543,-0.00962327936180125
"scanone","2012","BBI_SFY",4,12.510013,NA,NA,"bin_4@12.51cM_scaffold_9204_4798",6.0521991844252,6.14853974442514,2.07512475527416e-05,70.3284658023223,7.750008,"scaffold_14868_593",77.350075,85.100083,"SCF145739",0.28109,Inf,0.17679960575614,Inf,12.510013,"AC",-0.00155576188437325,0.00388299494673425,-0.0142073394106752,0.0198551535586543,-0.00962327936180125
"scanone","2012","BBI_SFY",4,12.510013,NA,NA,"bin_4@12.51cM_scaffold_9204_4798",6.0521991844252,6.14853974442514,2.07512475527416e-05,70.3284658023223,7.750008,"scaffold_14868_593",77.350075,85.100083,"SCF145739",0.28109,Inf,0.17679960575614,Inf,12.510013,"AD",-0.00667169898279979,0.00388834819710168,-0.0142073394106752,0.0198551535586543,-0.00962327936180125
"scanone","2012","BBI_SFY",4,12.510013,NA,NA,"bin_4@12.51cM_scaffold_9204_4798",6.0521991844252,6.14853974442514,2.07512475527416e-05,70.3284658023223,7.750008,"scaffold_14868_593",77.350075,85.100083,"SCF145739",0.28109,Inf,0.17679960575614,Inf,12.510013,"BC",0.010359547501865,0.00359072493824253,-0.0142073394106752,0.0198551535586543,-0.00962327936180125
"scanone","all-years","BBI_SFY",11,38.070045,NA,NA,"bin_11@38.07cM_scaffold_7181_4242",13.766539136513,15.9825688410769,5.99131855238966e-12,65.1367487449393,28.380033,"scaffold_115280_182",10.310013,38.690046,"scaffold_4716_3230",0.01014,Inf,0.0132652378894212,Inf,38.070045,"AD",-0.0101254820401711,0.00615822849341862,-0.029929339840948,-0.0340033363831296,0.0382125847225592
"scanone","all-years","BBI_SFY",11,38.070045,NA,NA,"bin_11@38.07cM_scaffold_7181_4242",13.766539136513,15.9825688410769,5.99131855238966e-12,65.1367487449393,28.380033,"scaffold_115280_182",10.310013,38.690046,"scaffold_4716_3230",0.01014,Inf,0.0132652378894212,Inf,38.070045,"BD",0.0239454802415825,0.00522543015335103,-0.029929339840948,-0.0340033363831296,0.0382125847225592
"scanone","all-years","BBI_SFY",11,38.070045,NA,NA,"bin_11@38.07cM_scaffold_7181_4242",13.766539136513,15.9825688410769,5.99131855238966e-12,65.1367487449393,28.380033,"scaffold_115280_182",10.310013,38.690046,"scaffold_4716_3230",0.01014,Inf,0.0132652378894212,Inf,38.070045,"AC",-0.00802085787045635,0.00584220851728503,-0.029929339840948,-0.0340033363831296,0.0382125847225592
"scanone","all-years","BBI_SFY",11,38.070045,NA,NA,"bin_11@38.07cM_scaffold_7181_4242",13.766539136513,15.9825688410769,5.99131855238966e-12,65.1367487449393,28.380033,"scaffold_115280_182",10.310013,38.690046,"scaffold_4716_3230",0.01014,Inf,0.0132652378894212,Inf,38.070045,"BC",-0.012162480311262,0.005701411718199,-0.029929339840948,-0.0340033363831296,0.0382125847225592
"scanone","all-years","BBI_SFY",2,42.11004,NA,NA,"bin_2@42.11cM_scaffold_20649_2180",10.1849000599344,11.2278087382736,6.87632217832856e-09,65.1367487449393,40.850037,"SCF48645",6.550006,47.400043,"scaffold_44145_2859",0.01014,Inf,0.0132652378894212,Inf,42.11004,"AC",0.0158158585978629,0.00610679067690624,0.0475581833828349,0.0174957633814968,-0.00418142531336756
"scanone","all-years","BBI_SFY",2,42.11004,NA,NA,"bin_2@42.11cM_scaffold_20649_2180",10.1849000599344,11.2278087382736,6.87632217832856e-09,65.1367487449393,40.850037,"SCF48645",6.550006,47.400043,"scaffold_44145_2859",0.01014,Inf,0.0132652378894212,Inf,42.11004,"BC",-0.00587252043687072,0.00544812793627392,0.0475581833828349,0.0174957633814968,-0.00418142531336756
"scanone","all-years","BBI_SFY",2,42.11004,NA,NA,"bin_2@42.11cM_scaffold_20649_2180",10.1849000599344,11.2278087382736,6.87632217832856e-09,65.1367487449393,40.850037,"SCF48645",6.550006,47.400043,"scaffold_44145_2859",0.01014,Inf,0.0132652378894212,Inf,42.11004,"BD",-0.0167111147843029,0.00595598244540814,0.0475581833828349,0.0174957633814968,-0.00418142531336756
"scanone","all-years","BBI_SFY",2,42.11004,NA,NA,"bin_2@42.11cM_scaffold_20649_2180",10.1849000599344,11.2278087382736,6.87632217832856e-09,65.1367487449393,40.850037,"SCF48645",6.550006,47.400043,"scaffold_44145_2859",0.01014,Inf,0.0132652378894212,Inf,42.11004,"AD",0.00915868956379834,0.00610679067690624,0.0475581833828349,0.0174957633814968,-0.00418142531336756
"scanone","all-years","BBI_SFY",10,79.070077,NA,NA,"bin_10@79.07cM_SCF201915",9.31699978902459,10.144213490906,3.76396269707868e-08,65.1367487449393,76.350075,"scaffold_4805_2602",7.76000499999999,84.11008,"scaffold_65155_1342",0.01014,Inf,0.0132652378894212,Inf,79.070077,"BC",0.00841165834246108,0.00599884580884825,-0.0534074510703113,0.0034891301217543,0.021724355095
"scanone","all-years","BBI_SFY",10,79.070077,NA,NA,"bin_10@79.07cM_SCF201915",9.31699978902459,10.144213490906,3.76396269707868e-08,65.1367487449393,76.350075,"scaffold_4805_2602",7.76000499999999,84.11008,"scaffold_65155_1342",0.01014,Inf,0.0132652378894212,Inf,79.070077,"AC",-0.00742988964519458,0.00558462152402095,-0.0534074510703113,0.0034891301217543,0.021724355095
"scanone","all-years","BBI_SFY",10,79.070077,NA,NA,"bin_10@79.07cM_SCF201915",9.31699978902459,10.144213490906,3.76396269707868e-08,65.1367487449393,76.350075,"scaffold_4805_2602",7.76000499999999,84.11008,"scaffold_65155_1342",0.01014,Inf,0.0132652378894212,Inf,79.070077,"AD",-0.0200366322535717,0.00599884580884825,-0.0534074510703113,0.0034891301217543,0.021724355095
"scanone","all-years","BBI_SFY",10,79.070077,NA,NA,"bin_10@79.07cM_SCF201915",9.31699978902459,10.144213490906,3.76396269707868e-08,65.1367487449393,76.350075,"scaffold_4805_2602",7.76000499999999,84.11008,"scaffold_65155_1342",0.01014,Inf,0.0132652378894212,Inf,79.070077,"BD",0.0175292708290839,0.00558462152402095,-0.0534074510703113,0.0034891301217543,0.021724355095
"scanone","all-years","BBI_SFY",4,1.340003,NA,NA,"bin_4@1.34cM_scaffold_13942_3967",6.11109107536574,6.35779114575971,1.927023143522e-05,65.1367487449393,1.190002,"scaffold_66266_726",1.200002,2.390004,"scaffold_9495_6618",0.01014,Inf,0.0132652378894212,Inf,1.340003,"BD",-0.00160093018113624,0.00589680894560452,-0.0228325481448456,0.00440712838715938,-0.0255281045545627
"scanone","all-years","BBI_SFY",4,1.340003,NA,NA,"bin_4@1.34cM_scaffold_13942_3967",6.11109107536574,6.35779114575971,1.927023143522e-05,65.1367487449393,1.190002,"scaffold_66266_726",1.200002,2.390004,"scaffold_9495_6618",0.01014,Inf,0.0132652378894212,Inf,1.340003,"AC",-0.0108136400599793,0.00570550993973278,-0.0228325481448456,0.00440712838715938,-0.0255281045545627
"scanone","all-years","BBI_SFY",4,1.340003,NA,NA,"bin_4@1.34cM_scaffold_13942_3967",6.11109107536574,6.35779114575971,1.927023143522e-05,65.1367487449393,1.190002,"scaffold_66266_726",1.200002,2.390004,"scaffold_9495_6618",0.01014,Inf,0.0132652378894212,Inf,1.340003,"BC",0.0133666862897248,0.00589680894560452,-0.0228325481448456,0.00440712838715938,-0.0255281045545627
"scanone","all-years","BBI_SFY",4,1.340003,NA,NA,"bin_4@1.34cM_scaffold_13942_3967",6.11109107536574,6.35779114575971,1.927023143522e-05,65.1367487449393,1.190002,"scaffold_66266_726",1.200002,2.390004,"scaffold_9495_6618",0.01014,Inf,0.0132652378894212,Inf,1.340003,"AD",-0.000253151976277663,0.00680904846420913,-0.0228325481448456,0.00440712838715938,-0.0255281045545627
"scanone","all-years","BBI_SFY",3,1.16,NA,NA,"bin_3@1.16cM_scaffold_59355_1495",5.40486990073444,5.56747802599053,7.51724057264092e-05,65.1367487449393,1.16,"contig130Fb",59.800057,60.960057,"scaffold_72821_1430",0.01014,Inf,0.0132652378894212,Inf,1.16,"AD",-0.00797290391134303,0.00592357752401906,-0.027928027263796,0.0193555431667047,-0.0189102006373721
"scanone","all-years","BBI_SFY",3,1.16,NA,NA,"bin_3@1.16cM_scaffold_59355_1495",5.40486990073444,5.56747802599053,7.51724057264092e-05,65.1367487449393,1.16,"contig130Fb",59.800057,60.960057,"scaffold_72821_1430",0.01014,Inf,0.0132652378894212,Inf,1.16,"AC",-0.0077502326466767,0.00676178463840083,-0.027928027263796,0.0193555431667047,-0.0189102006373721
"scanone","all-years","BBI_SFY",3,1.16,NA,NA,"bin_3@1.16cM_scaffold_59355_1495",5.40486990073444,5.56747802599053,7.51724057264092e-05,65.1367487449393,1.16,"contig130Fb",59.800057,60.960057,"scaffold_72821_1430",0.01014,Inf,0.0132652378894212,Inf,1.16,"BD",-0.00346399059813105,0.0058558772717745,-0.027928027263796,0.0193555431667047,-0.0189102006373721
"scanone","all-years","BBI_SFY",3,1.16,NA,NA,"bin_3@1.16cM_scaffold_59355_1495",5.40486990073444,5.56747802599053,7.51724057264092e-05,65.1367487449393,1.16,"contig130Fb",59.800057,60.960057,"scaffold_72821_1430",0.01014,Inf,0.0132652378894212,Inf,1.16,"BC",0.0156688813039074,0.00560657563969113,-0.027928027263796,0.0193555431667047,-0.0189102006373721
"scanone","all-years","BBI_SFY",6,75.660098,NA,NA,"bin_6@75.66cM_scaffold_7268_8243",4.14065540567689,4.19037831185515,0.00084303138368779,65.1367487449393,66.770091,"X319429_K63",21.610022,88.380113,"X16720_K63",0.01014,Inf,0.0132652378894212,Inf,75.660098,"BD",-0.0133439713481138,0.00534001252536566,-0.000190820706144051,0.0494023672635103,-0.00564281532492686
"scanone","all-years","BBI_SFY",6,75.660098,NA,NA,"bin_6@75.66cM_scaffold_7268_8243",4.14065540567689,4.19037831185515,0.00084303138368779,65.1367487449393,66.770091,"X319429_K63",21.610022,88.380113,"X16720_K63",0.01014,Inf,0.0132652378894212,Inf,75.660098,"BC",0.0141786199461048,0.00626940753768857,-0.000190820706144051,0.0494023672635103,-0.00564281532492686
"scanone","all-years","BBI_SFY",6,75.660098,NA,NA,"bin_6@75.66cM_scaffold_7268_8243",4.14065540567689,4.19037831185515,0.00084303138368779,65.1367487449393,66.770091,"X319429_K63",21.610022,88.380113,"X16720_K63",0.01014,Inf,0.0132652378894212,Inf,75.660098,"AC",0.0112618019305693,0.0056227457750218,-0.000190820706144051,0.0494023672635103,-0.00564281532492686
"scanone","all-years","BBI_SFY",6,75.660098,NA,NA,"bin_6@75.66cM_scaffold_7268_8243",4.14065540567689,4.19037831185515,0.00084303138368779,65.1367487449393,66.770091,"X319429_K63",21.610022,88.380113,"X16720_K63",0.01014,Inf,0.0132652378894212,Inf,75.660098,"AD",-0.0106179740387224,0.00654015295360844,-0.000190820706144051,0.0494023672635103,-0.00564281532492686
