id,trait,model,chr,position,mean_marker_variance,population,method,study,interval_left,interval_right,count,model_count,study_count,trait_count,method_count,population_count
514,Tacy,all-years,3,53.980044500000005,56.0081722737565,cnj04,scanone,self,47.000042,60.960047,1,1,1,1,1,1
513,Tacy,2014,3,36.155031,43.7379599277215,cnj04,scanone,self,33.360027,38.950035,1,1,1,1,1,1
451,UBBL,2012,3,32.990028,41.9896554374154,cnj04,scanone,self,25.500019,40.480037,1,1,1,1,1,1
506,USL,2012,9,87.63006,39.5405084635819,cnj04,scanone,self,85.400056,89.860064,1,1,1,1,1,1
518,ULvW,2014,11,16.7150125,36.1008233598513,cnj04,scanone,self,9.570008,23.860017,1,1,1,1,1,1
466,UKSO,all-years,12,57.7700355,31.7464423434815,cnj04,scanone,self,54.960034,60.580037,1,1,1,1,1,1
512,TA,2014,11,38.635035,30.256130962199,cnj04,scanone,self,36.93003,40.34004,1,1,1,1,1,1
519,UL,all-years,2,59.735065500000005,30.2366245499068,cnj04,scanone,self,56.670059,62.800072,1,1,1,1,1,1
449+450,UBBL,all-years+2011,1,11.770007,30.23318261851655,cnj04,scanone,self,9.430005,14.110009,2,2,1,1,1,1
448,UBL,2014,11,14.270011,29.5236735283753,cnj04,scanone,self,8.360007,20.180015,1,1,1,1,1,1
490+491+492,PAC,all-years+2012+2014,7,26.465021,28.898978676797203,cnj04,scanone,self,19.780016,33.150026,3,3,1,1,1,1
508,SFY,2011,6,80.9700905,27.534370216996,cnj04,scanone,self,79.240088,82.700093,1,1,1,1,1,1
473,UKUY,2012,12,52.1000305,26.216980317114,cnj04,scanone,self,46.970026,57.230035,1,1,1,1,1,1
494,PFR,2014,1,61.125057,25.9383705681292,cnj04,scanone,self,58.000054,64.25006,1,1,1,1,1,1
456,Brix,2011,9,82.560056,25.2681147041346,cnj04,scanone,self,75.260048,89.860064,1,1,1,1,1,1
457,Brix,2014,11,40.175033,24.7443199035339,cnj04,scanone,self,32.730024,47.620042,1,1,1,1,1,1
465,UKLvW,2014,7,51.7800465,24.0160034622234,cnj04,scanone,self,46.010038,57.550055,1,1,1,1,1,1
493,PAC,2012,11,40.175033,22.9710728565275,cnj04,scanone,self,32.730024,47.620042,1,1,1,1,1,1
472,UKUY,all-years,11,38.635035,22.4056326909214,cnj04,scanone,self,36.93003,40.34004,1,1,1,1,1,1
515,UTBM,2011,3,39.435034,21.4577695246383,cnj04,scanone,self,33.360027,45.510041,1,1,1,1,1,1
488+487,UNP,2014+2011,11,14.270011,21.33660500730635,cnj04,scanone,self,8.360007,20.180015,2,2,1,1,1,1
470,UKUY,all-years,7,42.6400345,21.2601567387611,cnj04,scanone,self,35.700029,49.58004,1,1,1,1,1,1
458+459,UCD,all-years+2012,2,57.725062,20.8177309637993,cnj04,scanone,self,56.670059,58.780065,2,2,1,1,1,1
511,TA,2012,10,68.12507249999999,20.1278370136181,cnj04,scanone,self,64.86007,71.390075,1,1,1,1,1,1
486,UNP,2011,1,67.6400645,19.4742577895385,cnj04,scanone,self,66.530063,68.750066,1,1,1,1,1,1
460,UCLS,2014,1,10.8100065,19.2995569281719,cnj04,scanone,self,7.510004,14.110009,1,1,1,1,1,1
495,PFR,2012,4,51.3900455,18.9501272895072,cnj04,scanone,self,45.880042,56.900049,1,1,1,1,1,1
454+455,UBBL,all-years+2014,9,87.5700595,18.73619136284215,cnj04,scanone,self,87.340059,87.80006,2,2,1,1,1,1
485,UN0,2012,2,50.435052,18.5038317844817,cnj04,scanone,self,43.420044,57.45006,1,1,1,1,1,1
468,UKUY,2012,2,48.290048999999996,18.3057240796724,cnj04,scanone,self,42.110042,54.470056,1,1,1,1,1,1
478,UNAF,2011,11,37.8650335,18.2830658548866,cnj04,scanone,self,35.390027,40.34004,1,1,1,1,1,1
489,PAC,2011,7,51.470045,18.000609482957,cnj04,scanone,self,47.540039,55.400051,1,1,1,1,1,1
505,USL,2014,6,47.090061500000004,17.7407376125599,cnj04,scanone,self,44.390054,49.790069,1,1,1,1,1,1
503,USL,2014,2,47.5400475,17.5543677748974,cnj04,scanone,self,42.110042,52.970053,1,1,1,1,1,1
483,UNB,2011,7,32.0400275,17.4211149339828,cnj04,scanone,self,25.820025,38.26003,1,1,1,1,1,1
447,UBL,2014,7,16.05001,16.961886295099,cnj04,scanone,self,11.040003,21.060017,1,1,1,1,1,1
464,UKEC,2011,12,50.9150295,16.5881701224579,cnj04,scanone,self,44.600024,57.230035,1,1,1,1,1,1
476,UNAF,2011,7,39.7250325,16.4209534175401,cnj04,scanone,self,35.700029,43.750036,1,1,1,1,1,1
446,BBITY,2011,3,36.155031,16.3404948712475,cnj04,scanone,self,33.360027,38.950035,1,1,1,1,1,1
469,UKUY,all-years,2,6.530006,16.1230302174307,cnj04,scanone,self,0.0,13.060012,1,1,1,1,1,1
516+517,UTBM,2014+2011,9,84.700057,15.51942554480975,cnj04,scanone,self,80.890052,88.510062,2,2,1,1,1,1
499,PFR,all-years,10,41.4100445,15.2042207171007,cnj04,scanone,self,39.030042,43.790047,1,1,1,1,1,1
482,UNB,all-years,6,27.885030999999998,14.8692783415679,cnj04,scanone,self,21.610024,34.160038,1,1,1,1,1,1
475,UNAB,2011,6,44.565053,14.8408496611047,cnj04,scanone,self,43.530051,45.600055,1,1,1,1,1,1
500,PFR,all-years,11,26.5550195,14.8319712502961,cnj04,scanone,self,21.880016,31.230023,1,1,1,1,1,1
507,USL,2014,11,3.6100015,14.6333414477389,cnj04,scanone,self,1.19,6.030003,1,1,1,1,1,1
467,UKTO,all-years,7,42.6400345,14.2119200887445,cnj04,scanone,self,35.700029,49.58004,1,1,1,1,1,1
481,UNB,2011,3,63.0250485,13.9324724825969,cnj04,scanone,self,56.180046,69.870051,1,1,1,1,1,1
452,UBBL,2014,5,50.9900235,13.6218129148483,cnj04,scanone,self,45.840018,56.140029,1,1,1,1,1,1
474,UNAB,all-years,3,37.630033,13.6133685132804,cnj04,scanone,self,34.780029,40.480037,1,1,1,1,1,1
501,URB,2012,3,19.4350135,13.5836980544826,cnj04,scanone,self,14.320009,24.550018,1,1,1,1,1,1
496+497,PFR,all-years+2012,6,59.535075,13.378690953497049,cnj04,scanone,self,53.270072,65.800078,2,2,1,1,1,1
462,UKEC,2011,2,56.765061,13.2850859011114,cnj04,scanone,self,54.150055,59.380067,1,1,1,1,1,1
480+479,UNAF,all-years+2012,12,55.8500345,13.00325534023085,cnj04,scanone,self,54.110033,57.590036,2,2,1,1,1,1
471,UKUY,all-years,10,72.3100765,12.8904964065849,cnj04,scanone,self,64.86007,79.760083,1,1,1,1,1,1
504,USL,2014,4,6.3100065,12.5485380554261,cnj04,scanone,self,2.390004,10.230009,1,1,1,1,1,1
463,UKEC,2011,5,46.52502,12.1052948192772,cnj04,scanone,self,44.740017,48.310023,1,1,1,1,1,1
498,PFR,2012,8,66.9500645,11.9072887678276,cnj04,scanone,self,60.930057,72.970072,1,1,1,1,1,1
510,TA,2014,8,58.1450535,11.7843524437402,cnj04,scanone,self,53.870049,62.420058,1,1,1,1,1,1
453,UBBL,2014,6,34.2650395,11.6745399162863,cnj04,scanone,self,28.170032,40.360047,1,1,1,1,1,1
509,TA,2014,6,28.695031999999998,11.5969955401288,cnj04,scanone,self,21.610024,35.78004,1,1,1,1,1,1
484,UNB,2011,9,21.465014,11.3300725099232,cnj04,scanone,self,14.02001,28.910018,1,1,1,1,1,1
445,BBISFY,2011,12,52.715032,11.278902586624,cnj04,scanone,self,50.47003,54.960034,1,1,1,1,1,1
477,UNAF,2011,10,32.6150295,11.0817604066098,cnj04,scanone,self,29.810025,35.420034,1,1,1,1,1,1
502,USL,2014,1,65.5650615,11.0007958622004,cnj04,scanone,self,63.890059,67.240064,1,1,1,1,1,1
461,UCLS,2012,3,34.6050295,10.4849355273839,cnj04,scanone,self,30.260024,38.950035,1,1,1,1,1,1
