"method","model","trait","chr","position","chr2","position2","nearest.marker","qtl.lod","marker.variance","qtl.pvalue","model.variance","interval.left","interval.marker.left","interval","interval.right","interval.marker.right","GLRpvalue","GxYLRpvalue","GZRpvalue","GxYZRpvalue","position.consensus"
"scanone","all-years","BBI_SFY",1,8.9,NA,NA,"bin_1@8.9cM_scaffold_59245_719",7.94704884068869,8.48540206444892,5.46280422231149e-07,65.1367487449393,8.9,"scaffold_59245_719",14.310008,23.210008,"scaffold_31849_429",0.01014,NA,0.0132652378894212,NA,7.95540523809524
"scanone","all-years","BBI_SFY",2,42.11004,NA,NA,"bin_2@42.11cM_scaffold_20649_2180",10.1849000599344,11.2278087382736,6.87632217832856e-09,65.1367487449393,40.850037,"SCF48645",6.550006,47.400043,"scaffold_44145_2859",0.01014,NA,0.0132652378894212,NA,42.78314045
"scanone","2012","BBI_SFY",3,34.750032,NA,NA,"bin_3@34.75cM_scaffold_113156_448",13.7882459811804,15.8972719757384,5.23603382873716e-12,70.3284658023223,33.360031,"X82171_K70",2.830005,36.190036,"scaffold_57453_1060",0.28109,NA,0.17679960575614,NA,35.8390288655462
"scanone","all-years","BBI_SFY",3,1.16,NA,NA,"bin_3@1.16cM_scaffold_59355_1495",5.40486990073444,5.56747802599053,7.51724057264092e-05,65.1367487449393,1.16,"contig130Fb",59.800057,60.960057,"scaffold_72821_1430",0.01014,NA,0.0132652378894212,NA,1.80240955555556
"scanone","2012","BBI_SFY",4,12.510013,NA,NA,"bin_4@12.51cM_scaffold_9204_4798",6.0521991844252,6.14853974442514,2.07512475527416e-05,70.3284658023223,7.750008,"scaffold_14868_593",77.350075,85.100083,"SCF145739",0.28109,NA,0.17679960575614,NA,11.7806784
"scanone","all-years","BBI_SFY",4,1.340003,NA,NA,"bin_4@1.34cM_scaffold_13942_3967",6.11109107536574,6.35779114575971,1.927023143522e-05,65.1367487449393,1.190002,"scaffold_66266_726",1.200002,2.390004,"scaffold_9495_6618",0.01014,NA,0.0132652378894212,NA,1.80240955555556
"scanone","2012","BBI_SFY",6,11.650015,NA,NA,"bin_6@11.65cM_scaffold_42330_2535",9.2826710631141,9.93633721642349,3.78509561471674e-08,70.3284658023223,7.850012,"scaffold_430_12130",8.030005,15.880017,"scaffold_78853_330",0.28109,NA,0.17679960575614,NA,11.7806784
"scanone","all-years","BBI_SFY",6,75.660098,NA,NA,"bin_6@75.66cM_scaffold_7268_8243",4.14065540567689,4.19037831185515,0.000843031383687798,65.1367487449393,66.770091,"X319429_K63",21.610022,88.380113,"X16720_K63",0.01014,NA,0.0132652378894212,NA,74.2744349193548
"scanone","2012","BBI_SFY",10,38.730041,NA,NA,"bin_10@38.73cM_scaffold_21095_4928",6.3491244978455,6.48101969960485,1.16660220443876e-05,70.3284658023223,32.910029,"scaffold_12381_1637",12.840019,45.750048,"SCF107715",0.28109,NA,0.17679960575614,NA,39.148212688172
"scanone","all-years","BBI_SFY",10,79.070077,NA,NA,"bin_10@79.07cM_SCF201915",9.31699978902459,10.144213490906,3.76396269707868e-08,65.1367487449393,76.350075,"scaffold_4805_2602",7.76000499999999,84.11008,"scaffold_65155_1342",0.01014,NA,0.0132652378894212,NA,80.9061962777778
"scanone","2012","BBI_SFY",11,20.18002,NA,NA,"bin_11@20.18cM_scaffold_72495_1231",12.7609452118336,14.463676896347,3.99418276231245e-11,70.3284658023223,17.250019,"scaffold_26864_4373",4.630002,21.880021,"scaffold_1122_2182",0.28109,NA,0.17679960575614,NA,18.8971745882353
"scanone","all-years","BBI_SFY",11,38.070045,NA,NA,"bin_11@38.07cM_scaffold_7181_4242",13.766539136513,15.9825688410769,5.99131855238966e-12,65.1367487449393,28.380033,"scaffold_115280_182",10.310013,38.690046,"scaffold_4716_3230",0.01014,NA,0.0132652378894212,NA,39.148212688172
