id,trait,model,chr,position,mean_marker_variance,population,method,study,interval_left,interval_right,count,model_count,study_count,trait_count,method_count,population_count
798,PH_PC1,2015,11,19.61,20.89,gryg,stepwiseqtl,diazGarcia2018_image,14.719999999999999,24.5,1,1,1,1,1,1
813,BW,2016,7,54.49,16.95,gryg,stepwiseqtl,diazGarcia2018_image,52.56,56.42,1,1,1,1,1,1
763,PH_PC1,2014,1,105.72,16.95,gryg,stepwiseqtl,diazGarcia2018_image,103.395,108.045,1,1,1,1,1,1
748,BW,2014,1,105.72,16.28,gryg,stepwiseqtl,diazGarcia2018_image,103.535,107.905,1,1,1,1,1,1
746+774,BL,2014+2015,11,79.95750000000001,15.015,gryg,stepwiseqtl,diazGarcia2018_image,78.53,81.385,2,2,1,1,1,1
784+824+819+790,LvW+EC,2016+2015,2,21.965,14.9575,gryg,stepwiseqtl,diazGarcia2018_image,20.305,23.625,4,2,1,2,1,1
808,BL,2016,7,54.49,14.42,gryg,stepwiseqtl,diazGarcia2018_image,52.93,56.050000000000004,1,1,1,1,1,1
809,BL,2016,11,91.56,13.8,gryg,stepwiseqtl,diazGarcia2018_image,88.575,94.545,1,1,1,1,1,1
831,PH_PC1,2016,6,53.07,13.6,gryg,stepwiseqtl,diazGarcia2018_image,50.18,55.96,1,1,1,1,1,1
781,BA,2015,11,15.29,12.35,gryg,stepwiseqtl,diazGarcia2018_image,13.459999999999999,17.119999999999997,1,1,1,1,1,1
810+775,BW,2016+2015,1,101.6025,12.285,gryg,stepwiseqtl,diazGarcia2018_image,99.79,103.415,2,2,1,1,1,1
801,PH_PC2,2015,1,68.75,12.09,gryg,stepwiseqtl,diazGarcia2018_image,65.305,72.195,1,1,1,1,1,1
771+805,PH_PC2,2014+2015,12,54.96,11.725,gryg,stepwiseqtl,diazGarcia2018_image,53.825,56.095,2,2,1,1,1,1
835,PH_PC2,2016,2,22.53,11.64,gryg,stepwiseqtl,diazGarcia2018_image,19.305,25.755000000000003,1,1,1,1,1,1
793+787,LvW+EC,2015,11,14.620000000000001,10.52,gryg,stepwiseqtl,diazGarcia2018_image,12.51,16.73,2,1,1,2,1,1
773,BL,2015,11,14.62,10.36,gryg,stepwiseqtl,diazGarcia2018_image,12.79,16.45,1,1,1,1,1,1
777,BW,2015,11,14.619999999999997,10.36,gryg,stepwiseqtl,diazGarcia2018_image,8.799999999999999,20.439999999999998,1,1,1,1,1,1
804,PH_PC2,2015,11,84.73,10.1,gryg,stepwiseqtl,diazGarcia2018_image,81.7,87.76,1,1,1,1,1,1
752,BA,2014,2,54.47,9.83,gryg,stepwiseqtl,diazGarcia2018_image,49.31,59.629999999999995,1,1,1,1,1,1
779+815+751,BA,2016+2014+2015,1,102.33,9.796666666666667,gryg,stepwiseqtl,diazGarcia2018_image,100.675,103.985,3,3,1,1,1,1
833+766+799,PH_PC1,2016+2014+2015,11,76.3725,9.703333333333333,gryg,stepwiseqtl,diazGarcia2018_image,75.77,76.975,3,3,1,1,1,1
795+789,LvW+EC,2015,12,49.935,9.305,gryg,stepwiseqtl,diazGarcia2018_image,48.074999999999996,51.795,2,1,1,2,1,1
829,PH_PC1,2016,1,32.27,9.08,gryg,stepwiseqtl,diazGarcia2018_image,30.840000000000003,33.7,1,1,1,1,1,1
747,BL,2014,12,49.4,8.95,gryg,stepwiseqtl,diazGarcia2018_image,47.004999999999995,51.795,1,1,1,1,1,1
770,PH_PC2,2014,10,35.42,8.87,gryg,stepwiseqtl,diazGarcia2018_image,33.335,37.505,1,1,1,1,1,1
796,PH_PC1,2015,1,78.6,8.86,gryg,stepwiseqtl,diazGarcia2018_image,75.04499999999999,82.155,1,1,1,1,1,1
803+838,PH_PC2,2016+2015,11,26.815,8.76,gryg,stepwiseqtl,diazGarcia2018_image,24.880000000000003,28.75,2,2,1,1,1,1
794+762+788,LvW+EC,2014+2015,11,77.75999999999999,8.653333333333334,gryg,stepwiseqtl,diazGarcia2018_image,76.685,78.835,3,2,1,2,1,1
832,PH_PC1,2016,9,82.31,8.64,gryg,stepwiseqtl,diazGarcia2018_image,80.19500000000001,84.425,1,1,1,1,1,1
749,BW,2014,7,60.61999999999999,8.62,gryg,stepwiseqtl,diazGarcia2018_image,56.464999999999996,64.77499999999999,1,1,1,1,1,1
761+758,LvW+EC,2014,2,60.4875,8.475,gryg,stepwiseqtl,diazGarcia2018_image,59.795,61.18,2,1,1,2,1,1
780,BA,2015,7,56.06,8.39,gryg,stepwiseqtl,diazGarcia2018_image,52.995000000000005,59.125,1,1,1,1,1,1
753,BA,2014,6,2.19,8.21,gryg,stepwiseqtl,diazGarcia2018_image,1.25,3.13,1,1,1,1,1,1
818+756+782,BA,2016+2014+2015,11,82.38250000000001,8.096666666666666,gryg,stepwiseqtl,diazGarcia2018_image,82.31500000000001,82.45,3,3,1,1,1,1
828+823+759,LvW+EC,2016+2014,12,43.51,8.003333333333332,gryg,stepwiseqtl,diazGarcia2018_image,41.765,45.254999999999995,3,2,1,2,1,1
800,PH_PC2,2015,1,6.31,7.96,gryg,stepwiseqtl,diazGarcia2018_image,3.0449999999999995,9.575,1,1,1,1,1,1
760+757+783,LvW+EC,2014+2015,1,107.52,7.913333333333333,gryg,stepwiseqtl,diazGarcia2018_image,103.97,111.07,3,2,1,2,1,1
768,PH_PC2,2014,2,57.45,7.86,gryg,stepwiseqtl,diazGarcia2018_image,56.74,58.160000000000004,1,1,1,1,1,1
776,BW,2015,8,70.35,7.82,gryg,stepwiseqtl,diazGarcia2018_image,65.47,75.22999999999999,1,1,1,1,1,1
743,BL,2014,2,58.09,7.75,gryg,stepwiseqtl,diazGarcia2018_image,56.14,60.040000000000006,1,1,1,1,1,1
802,PH_PC2,2015,5,58.41,7.7,gryg,stepwiseqtl,diazGarcia2018_image,53.245,63.574999999999996,1,1,1,1,1,1
830,PH_PC1,2016,2,52.96,7.65,gryg,stepwiseqtl,diazGarcia2018_image,51.285000000000004,54.635,1,1,1,1,1,1
814+750,BW,2016+2014,9,86.2125,7.65,gryg,stepwiseqtl,diazGarcia2018_image,85.105,87.32,2,2,1,1,1,1
744,BL,2014,6,2.19,7.61,gryg,stepwiseqtl,diazGarcia2018_image,1.25,3.13,1,1,1,1,1,1
765,PH_PC1,2014,2,63.49000000000001,7.5,gryg,stepwiseqtl,diazGarcia2018_image,60.49,66.49000000000001,1,1,1,1,1,1
764,PH_PC1,2014,2,19.17,7.48,gryg,stepwiseqtl,diazGarcia2018_image,13.500000000000002,24.840000000000003,1,1,1,1,1,1
836,PH_PC2,2016,6,46.16,7.42,gryg,stepwiseqtl,diazGarcia2018_image,40.54,51.779999999999994,1,1,1,1,1,1
769+837,PH_PC2,2016+2014,9,88.3675,7.38,gryg,stepwiseqtl,diazGarcia2018_image,87.84,88.89500000000001,2,2,1,1,1,1
767,PH_PC2,2014,1,105.72,7.31,gryg,stepwiseqtl,diazGarcia2018_image,103.63,107.81,1,1,1,1,1,1
827,LvW,2016,11,23.86,7.3,gryg,stepwiseqtl,diazGarcia2018_image,20.4,27.32,1,1,1,1,1,1
791,LvW,2015,2,87.96,7.26,gryg,stepwiseqtl,diazGarcia2018_image,84.225,91.695,1,1,1,1,1,1
825+820+785,LvW+EC,2016+2015,2,78.4,6.973333333333334,gryg,stepwiseqtl,diazGarcia2018_image,72.59,84.21000000000001,3,2,1,2,1,1
816,BA,2016,6,11.65,6.95,gryg,stepwiseqtl,diazGarcia2018_image,5.7700000000000005,17.53,1,1,1,1,1,1
812,BW,2016,6,11.65,6.87,gryg,stepwiseqtl,diazGarcia2018_image,5.7700000000000005,17.53,1,1,1,1,1,1
797,PH_PC1,2015,10,70.47,6.84,gryg,stepwiseqtl,diazGarcia2018_image,65.405,75.535,1,1,1,1,1,1
792+826+786+821,LvW+EC,2016+2015,6,45.66,6.790000000000001,gryg,stepwiseqtl,diazGarcia2018_image,44.235,47.085,4,2,1,2,1,1
806,BL,2016,1,102.54,6.72,gryg,stepwiseqtl,diazGarcia2018_image,100.155,104.92500000000001,1,1,1,1,1,1
839,PH_PC2,2016,11,75.64,6.68,gryg,stepwiseqtl,diazGarcia2018_image,74.305,76.975,1,1,1,1,1,1
834,PH_PC1,2016,12,27.1,6.58,gryg,stepwiseqtl,diazGarcia2018_image,24.115000000000002,30.085,1,1,1,1,1,1
745,BL,2014,10,44.43,6.4,gryg,stepwiseqtl,diazGarcia2018_image,40.325,48.535,1,1,1,1,1,1
772,BL,2015,2,21.4,6.31,gryg,stepwiseqtl,diazGarcia2018_image,16.729999999999997,26.07,1,1,1,1,1,1
840,PH_PC2,2016,12,38.11,6.31,gryg,stepwiseqtl,diazGarcia2018_image,33.035,43.185,1,1,1,1,1,1
817+754,BA,2016+2014,9,87.96249999999999,6.279999999999999,gryg,stepwiseqtl,diazGarcia2018_image,86.42999999999999,89.49499999999999,2,2,1,1,1,1
811,BW,2016,2,50.21,6.26,gryg,stepwiseqtl,diazGarcia2018_image,46.075,54.345,1,1,1,1,1,1
822,EC,2016,11,91.56,6.26,gryg,stepwiseqtl,diazGarcia2018_image,88.575,94.545,1,1,1,1,1,1
778,BW,2015,12,38.11,6.23,gryg,stepwiseqtl,diazGarcia2018_image,30.955,45.265,1,1,1,1,1,1
755,BA,2014,10,44.43,6.19,gryg,stepwiseqtl,diazGarcia2018_image,42.705,46.155,1,1,1,1,1,1
807,BL,2016,6,19.74,6.03,gryg,stepwiseqtl,diazGarcia2018_image,14.589999999999998,24.89,1,1,1,1,1,1
