id,trait,model,chr,position,mean_marker_variance,population,method,study,interval_left,interval_right,count,model_count,study_count,trait_count,method_count,population_count
344+141+142,UNB,all-years+2011,11,45.7700535,27.926871158621065,cnj02,scanone+stepwiseqtl,self,44.640053,46.900054,3,2,1,1,2,1
406+407+408+185+186+187,Tacy,all-years+2012+2013+2011,3,55.760054499999995,27.886389496733383,cnj02,scanone+stepwiseqtl,self,52.940053,58.580056,6,4,1,1,2,1
40,UCD,2013,4,21.865021,26.0951681185881,cnj02,scanone,self,20.23002,23.500022,1,1,1,1,1,1
30,UBM,2012,11,38.200044,24.2153254981613,cnj02,scanone,self,37.200041,39.200047,1,1,1,1,1,1
148+350,UNP,all-years,11,23.9750235,23.9651467666386,cnj02,scanone+stepwiseqtl,self,21.880021,26.070026,2,1,1,1,2,1
285,UKLvW,2013,11,19.56502,23.0908939813315,cnj02,stepwiseqtl,self,17.250019,21.880021,1,1,1,1,1,1
207,UL,2013,9,85.65507600000001,23.0490886957586,cnj02,scanone,self,84.220074,87.090078,1,1,1,1,1,1
147+349,UNP,2013,11,32.855035,22.916540171764098,cnj02,scanone+stepwiseqtl,self,30.320034,35.390036,2,1,1,1,2,1
100+101+302+303,UKUX,all-years+2012+2011,3,29.450027499999997,22.861288941199696,cnj02,scanone+stepwiseqtl,self,28.640026,30.260029,4,3,1,1,2,1
325+125,MFM,2012,10,31.115026,22.634646888136203,cnj02,scanone+stepwiseqtl,self,28.270022,33.96003,2,1,1,1,2,1
106+310,UKUY,2012,2,37.870033500000005,22.552226088227947,cnj02,scanone+stepwiseqtl,self,36.020031,39.720036,2,1,1,1,2,1
329+331+131+132,UNAB,all-years+2011,3,36.0650355,22.288701082192077,cnj02,scanone+stepwiseqtl,self,35.940035,36.190036,4,2,1,1,2,1
33+34+244,UBW,all-years+2012,11,29.805034,21.685913631300334,cnj02,scanone+stepwiseqtl,self,28.380033,31.230035,3,2,1,1,2,1
138+338+341,UNAF,all-years+2011,11,9.115012499999999,20.907183996632867,cnj02,scanone+stepwiseqtl,self,8.660012,9.570013,3,2,1,1,2,1
236+237+238,UBM,all-years+2012+2013,11,30.7750345,20.861423223867835,cnj02,stepwiseqtl,self,30.320034,31.230035,3,3,1,1,1,1
52,UCLS,2011,1,41.6200345,20.6816738820705,cnj02,scanone,self,37.460031,45.780038,1,1,1,1,1,1
324,MFM,2011,10,52.980056000000005,20.5278000317071,cnj02,stepwiseqtl,self,51.790055,54.170057,1,1,1,1,1,1
41,UCD,all-years,4,40.185047,20.4967977907073,cnj02,scanone,self,35.640043,44.730051,1,1,1,1,1,1
301,UKUX,2011,3,27.305024500000002,20.465217737052,cnj02,stepwiseqtl,self,25.970023,28.640026,1,1,1,1,1,1
364,PAC,2013,7,45.065055,20.4628806771229,cnj02,stepwiseqtl,self,42.590053,47.540057,1,1,1,1,1,1
160+162+374,PFR,all-years+2012+2011,11,30.7750345,20.387993838142602,cnj02,scanone+stepwiseqtl,self,30.320034,31.230035,3,3,1,1,2,1
157,PAC,2013,7,58.7600765,20.3643564043877,cnj02,scanone,self,55.500073,62.02008,1,1,1,1,1,1
226,UBL,2013,11,29.805034,19.9257905124305,cnj02,stepwiseqtl,self,28.380033,31.230035,1,1,1,1,1,1
326+126,MFM,all-years,10,39.5600405,19.7160544519883,cnj02,scanone+stepwiseqtl,self,37.250038,41.870043,2,1,1,1,2,1
8,BBITY,2012,11,34.1950395,19.3745449413166,cnj02,scanone,self,30.320034,38.070045,1,1,1,1,1,1
184,TA,2011,11,52.42006000000001,19.2426536664195,cnj02,scanone,self,50.060056,54.780064,1,1,1,1,1,1
440,UMFM,all-years,11,29.805034,18.5729444858927,cnj02,stepwiseqtl,self,28.380033,31.230035,1,1,1,1,1,1
143,UN0,2013,3,39.105042499999996,18.4799649739146,cnj02,scanone,self,37.130039,41.080046,1,1,1,1,1,1
43+44+45,UCD,all-years+2012+2011,7,46.085055499999996,18.2108559243113,cnj02,scanone,self,42.590053,49.580058,3,3,1,1,1,1
48+49,UCLP,all-years+2011,7,29.275041,18.056825471759453,cnj02,scanone,self,25.820039,32.730043,2,2,1,1,1,1
416+191+415,UTBM,2012+2013+2011,11,29.805034,18.017542803262433,cnj02,scanone+stepwiseqtl,self,28.380033,31.230035,3,3,1,1,2,1
330,UNAB,2013,3,40.1750445,18.0107496388145,cnj02,stepwiseqtl,self,39.270043,41.080046,1,1,1,1,1,1
403+183,TA,2012,5,46.915033,17.9451195671187,cnj02,scanone+stepwiseqtl,self,45.18003,48.650036,2,1,1,1,2,1
243,UBW,all-years,10,25.660021999999998,17.8657987449515,cnj02,stepwiseqtl,self,21.51002,29.810024,1,1,1,1,1,1
24+228,UBBL,2011,7,54.9950725,17.8528186385682,cnj02,scanone+stepwiseqtl,self,54.490072,55.500073,2,1,1,1,2,1
123,MFM,2013,3,37.3050385,17.6680447157928,cnj02,scanone,self,35.340034,39.270043,1,1,1,1,1,1
216+9,BBITY,all-years,11,19.56502,17.634876377023097,cnj02,scanone+stepwiseqtl,self,17.250019,21.880021,2,1,1,1,2,1
359,UNS,2012,11,17.7350185,17.5014468056659,cnj02,stepwiseqtl,self,15.290017,20.18002,1,1,1,1,1,1
252,UCD,2013,4,26.7750275,17.4607474964053,cnj02,stepwiseqtl,self,26.490026,27.060029,1,1,1,1,1,1
300,UKTO,2012,12,46.6800295,17.4146734128387,cnj02,stepwiseqtl,self,44.600028,48.760031,1,1,1,1,1,1
31,UBM,2013,11,43.6200515,17.3361960936453,cnj02,scanone,self,40.340049,46.900054,1,1,1,1,1,1
94,UKTO,2011,9,51.455044,17.3117495435904,cnj02,scanone,self,44.630038,58.28005,1,1,1,1,1,1
297,UKTO,2013,9,81.065072,17.2988809907831,cnj02,stepwiseqtl,self,77.91007,84.220074,1,1,1,1,1,1
201+202+439,UMFM,all-years+2012+2013,11,38.095045,17.1703874863112,cnj02,scanone+stepwiseqtl,self,37.500044,38.690046,3,3,1,1,2,1
363,PAC,2013,2,15.370018,17.1670857409358,cnj02,stepwiseqtl,self,13.690016,17.05002,1,1,1,1,1,1
377,PFR,2011,12,26.200015,16.974866977179,cnj02,stepwiseqtl,self,20.860014,31.540016,1,1,1,1,1,1
192+190,UTBM,all-years+2011,11,44.375051,16.81400017580105,cnj02,scanone,self,38.690046,50.060056,2,2,1,1,1,1
394,SFY,2012,11,41.6650495,16.5129881936296,cnj02,stepwiseqtl,self,38.690046,44.640053,1,1,1,1,1,1
340,UNAF,2013,11,23.125023,16.4499516901352,cnj02,stepwiseqtl,self,20.18002,26.070026,1,1,1,1,1,1
419+196,TY,2013,12,44.905028,16.40669265500625,cnj02,scanone+stepwiseqtl,self,43.510027,46.300029,2,1,1,1,2,1
443+205+206,UL,all-years+2012,6,39.700049,16.350739282301035,cnj02,scanone+stepwiseqtl,self,38.900048,40.50005,3,2,1,1,2,1
432,ULvW,2011,11,77.485093,16.316991794658,cnj02,stepwiseqtl,self,75.640091,79.330095,1,1,1,1,1,1
355,UNS,all-years,6,51.4300755,16.2518450634,cnj02,stepwiseqtl,self,49.790074,53.070077,1,1,1,1,1,1
312+110,UKUY,2011,9,8.240008,16.2280369691507,cnj02,scanone+stepwiseqtl,self,4.840006,11.64001,2,1,1,1,2,1
29,UBM,2011,11,52.110060000000004,16.1983902973608,cnj02,scanone,self,50.630058,53.590062,1,1,1,1,1,1
380+378+164,PFR,all-years+2012,12,19.515012499999997,16.145278823757234,cnj02,scanone+stepwiseqtl,self,18.170011,20.860014,3,2,1,1,2,1
409,Tacy,all-years,7,33.8550445,16.0863624801906,cnj02,stepwiseqtl,self,29.450041,38.260048,1,1,1,1,1,1
384+385+386,URB,2011,7,51.760065,16.0851245272232,cnj02,stepwiseqtl,self,50.010061,53.510069,3,1,1,1,1,1
133,UNAB,2011,7,33.8550445,16.0648310735435,cnj02,scanone,self,29.450041,38.260048,1,1,1,1,1,1
367+159,PAC,2011,12,48.720032,16.060368837327452,cnj02,scanone+stepwiseqtl,self,46.97003,50.470034,2,1,1,1,2,1
174+175,SFY,2012+2011,11,37.950044000000005,16.0419967784319,cnj02,scanone,self,37.210042,38.690046,2,2,1,1,1,1
177+178+179+396+397+398,SFY,2013+all-years+2012+2011,12,40.355021,16.002660803549833,cnj02,scanone+stepwiseqtl,self,38.110019,42.600023,6,4,1,1,2,1
1,BBISFY,2012,3,34.7750335,15.8972719757384,cnj02,scanone,self,33.360031,36.190036,1,1,1,1,1,1
379+163,PFR,2013,12,41.3550235,15.849798367484599,cnj02,scanone+stepwiseqtl,self,38.110019,44.600028,2,1,1,1,2,1
50+255,UCLP,2011,10,52.980056000000005,15.740850034190599,cnj02,scanone+stepwiseqtl,self,51.790055,54.170057,2,1,1,1,2,1
208+444,UL,2011,11,47.425055,15.69358081772765,cnj02,scanone+stepwiseqtl,self,44.640053,50.210057,2,1,1,1,2,1
417,TY,2013,6,42.0150515,15.6934836624253,cnj02,stepwiseqtl,self,40.50005,43.530053,1,1,1,1,1,1
217+10+11+218,BBITY,all-years+2012,12,56.095039,15.68373304994725,cnj02,scanone+stepwiseqtl,self,54.960038,57.23004,4,2,1,1,2,1
299,UKTO,all-years,11,8.220011,15.6785391208441,cnj02,stepwiseqtl,self,6.870009,9.570013,1,1,1,1,1,1
434,ULvW,all-years,11,81.035098,15.6181975399326,cnj02,stepwiseqtl,self,79.550096,82.5201,1,1,1,1,1,1
267+69+269,UKEC,all-years+2011,8,56.7400595,15.574199033361367,cnj02,scanone+stepwiseqtl,self,54.640058,58.840061,3,2,1,1,2,1
435+436,UMFM,all-years+2011,3,45.15005,15.552978115567301,cnj02,stepwiseqtl,self,43.300049,47.000051,2,2,1,1,1,1
56+260,UCLS,all-years,3,60.400057000000004,15.510488645192499,cnj02,scanone+stepwiseqtl,self,58.580056,62.220058,2,1,1,1,2,1
232+26+230,UBM,all-years+2011,3,46.255050499999996,15.5101196722364,cnj02,scanone+stepwiseqtl,self,45.51005,47.000051,3,2,1,1,2,1
98+99,UKUX,all-years+2012,2,50.370048999999995,15.4756453286009,cnj02,scanone,self,48.260045,52.480053,2,2,1,1,1,1
