marker,consensus,X1,X2,X3,X4,X5,X6,LG,,gaccession,blast1,blast2,,,,,,,,,,,,,,,,,
scaffold_53968_1097,0,,,,,0,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_2652_11004,0,,,,,0,,1,14,g4810.t1,XP_002872928 hypothetical protein ARALYDRAFT_912161 [Arabidopsis lyrata subsp. lyrata].,0,,,,,,,,,,,,,,,,,
scaffold_11414_3187,0,,,,,0,,1,15,g14278.t1,XP_002328755 predicted protein [Populus trichocarpa]., AP-4 complex subunit epsilon-1,,,,,,,,,,,,,,,,,
scaffold_11414_3221,0,,,,,0,,1,15,g14278.t1,XP_002328755 predicted protein [Populus trichocarpa]., AP-4 complex subunit epsilon-1,,,,,,,,,,,,,,,,,
scaffold_14462_3128,0,,,,,0,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_39065_3280,0,,,,,0,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_8248_6311,0,,,,,0,,1,14,g11307.t1,"XP_003534318 PREDICTED: ATP-dependent Clp protease proteolytic subunit 4, chloroplastic-like [Glycine max].",0,,,,,,,,,,,,,,,,,
scaffold_93931_607,0,,,,,0,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_1312_1044,0.45,,,,,0,0,1,14,g2746.t1,XP_002528720 conserved hypothetical protein [Ricinus communis].,0,,,,,,,,,,,,,,,,,
SCF138607,0.45,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,
scaffold_19157_2172,0.45,,,,,0,0,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_23874_167,1.47,0,,,,,,1,15,g22986.t1,XP_002280969 PREDICTED: beta-amyrin 28-oxidase [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_7138_290,1.47,0,,,,,0,1,14,,,,,,,,,,,,,,,,,,,,
scaffold_18618_147,1.47,0,,,,,,1,15,g19702.t1,XP_002278508 PREDICTED: uncharacterized protein LOC100250890 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_33444_1678,1.47,0,,,,,0,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_33444_1679,1.47,0,,,,,0,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_48833_933,1.47,0,,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_48833_935,1.47,0,,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_48833_937,1.47,0,,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_48833_951,1.47,0,,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_54537_1893,1.47,0,,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_54537_1898,1.47,0,,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_54537_1937,1.47,0,,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_54537_2005,1.47,0,,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_54537_2035,1.47,0,,,,,,1,15,,,,,,,,,,,,,,,,,,,,
